index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,999.799053295759,0,Ant-v3,DDPG,0,0
1,999.799053295759,10000,Ant-v3,DDPG,5000,5000
2,773.1947583832454,20000,Ant-v3,DDPG,10000,10000
3,-32.295653179265244,30000,Ant-v3,DDPG,15000,15000
4,-44.25823534751309,40000,Ant-v3,DDPG,20000,20000
5,-187.2958576308833,50000,Ant-v3,DDPG,25000,25000
6,-11.716352316370607,60000,Ant-v3,DDPG,30000,30000
7,-135.2361441228324,70000,Ant-v3,DDPG,35000,35000
8,-33.37829745602465,80000,Ant-v3,DDPG,40000,40000
9,-183.96318743470485,90000,Ant-v3,DDPG,45000,45000
10,173.29110148430897,100000,Ant-v3,DDPG,50000,50000
11,-151.7181008611199,110000,Ant-v3,DDPG,55000,55000
12,37.77202132321223,120000,Ant-v3,DDPG,60000,60000
13,-191.11224215272597,130000,Ant-v3,DDPG,65000,65000
14,-704.8762286952689,140000,Ant-v3,DDPG,70000,70000
15,58.347089420415,150000,Ant-v3,DDPG,75000,75000
16,136.3428191102476,160000,Ant-v3,DDPG,80000,80000
17,-385.6847173184261,170000,Ant-v3,DDPG,85000,85000
18,-903.9018856228313,180000,Ant-v3,DDPG,90000,90000
19,-359.1780435456897,190000,Ant-v3,DDPG,95000,95000
20,-172.62850121278038,200000,Ant-v3,DDPG,100000,100000
21,-966.3395434633787,210000,Ant-v3,DDPG,105000,105000
22,-320.27868749317815,220000,Ant-v3,DDPG,110000,110000
23,-422.3119841576992,230000,Ant-v3,DDPG,115000,115000
24,-510.22445965255287,240000,Ant-v3,DDPG,120000,120000
25,9.193300166956949,250000,Ant-v3,DDPG,125000,125000
26,-33.57446092215527,260000,Ant-v3,DDPG,130000,130000
27,-252.29535898662286,270000,Ant-v3,DDPG,135000,135000
28,-465.63852030042534,280000,Ant-v3,DDPG,140000,140000
29,-337.92820240245163,290000,Ant-v3,DDPG,145000,145000
30,115.12794872921127,300000,Ant-v3,DDPG,150000,150000
31,-315.7280782973447,310000,Ant-v3,DDPG,155000,155000
32,-180.6536359052348,320000,Ant-v3,DDPG,160000,160000
33,-1059.4769202498446,330000,Ant-v3,DDPG,165000,165000
34,-1024.7833262803447,340000,Ant-v3,DDPG,170000,170000
35,-585.678149173435,350000,Ant-v3,DDPG,175000,175000
36,-1445.8755760312629,360000,Ant-v3,DDPG,180000,180000
37,-843.9989920382889,370000,Ant-v3,DDPG,185000,185000
38,-1653.6937342929666,380000,Ant-v3,DDPG,190000,190000
39,-830.701059549524,390000,Ant-v3,DDPG,195000,195000
40,346.2299606549537,400000,Ant-v3,DDPG,200000,200000
41,-8.617184732262919,410000,Ant-v3,DDPG,205000,205000
42,136.02534339354943,420000,Ant-v3,DDPG,210000,210000
43,-178.50208458578652,430000,Ant-v3,DDPG,215000,215000
44,-112.66403771694296,440000,Ant-v3,DDPG,220000,220000
45,533.3069568525674,450000,Ant-v3,DDPG,225000,225000
46,180.55037993512784,460000,Ant-v3,DDPG,230000,230000
47,542.6736624738621,470000,Ant-v3,DDPG,235000,235000
48,411.81499848714594,480000,Ant-v3,DDPG,240000,240000
49,73.28471155482013,490000,Ant-v3,DDPG,245000,245000
50,306.5130528000093,500000,Ant-v3,DDPG,250000,250000
51,331.92637027064563,510000,Ant-v3,DDPG,255000,255000
52,185.64567250493457,520000,Ant-v3,DDPG,260000,260000
53,243.58375119291364,530000,Ant-v3,DDPG,265000,265000
54,451.44229799935056,540000,Ant-v3,DDPG,270000,270000
55,112.10253536653131,550000,Ant-v3,DDPG,275000,275000
56,611.86746736598,560000,Ant-v3,DDPG,280000,280000
57,588.778427399204,570000,Ant-v3,DDPG,285000,285000
58,464.15502178345434,580000,Ant-v3,DDPG,290000,290000
59,628.2366377204366,590000,Ant-v3,DDPG,295000,295000
