index,Average Return,Timesteps,env,algorithm_name
0,991.7601625181562,0,Ant-v3,DDPG
1,991.7601625181562,5000,Ant-v3,DDPG
2,991.7601625181562,10000,Ant-v3,DDPG
3,693.1169045698763,15000,Ant-v3,DDPG
4,575.9848069529477,20000,Ant-v3,DDPG
5,-47.09737984559949,25000,Ant-v3,DDPG
6,-107.9427444558492,30000,Ant-v3,DDPG
7,-55.92168835191611,35000,Ant-v3,DDPG
8,-0.4344108464996148,40000,Ant-v3,DDPG
9,303.2663309519478,45000,Ant-v3,DDPG
10,138.96994574294075,50000,Ant-v3,DDPG
11,169.46754854026767,55000,Ant-v3,DDPG
12,311.2484185756903,60000,Ant-v3,DDPG
13,61.60209188579969,65000,Ant-v3,DDPG
14,-94.20910836910778,70000,Ant-v3,DDPG
15,-118.05618333359004,75000,Ant-v3,DDPG
16,-206.27175074365385,80000,Ant-v3,DDPG
17,-219.52527581526752,85000,Ant-v3,DDPG
18,-604.9030264963143,90000,Ant-v3,DDPG
19,-144.70928634177545,95000,Ant-v3,DDPG
20,-372.6123480365958,100000,Ant-v3,DDPG
21,-464.787422502337,105000,Ant-v3,DDPG
22,-230.88657537008507,110000,Ant-v3,DDPG
23,-543.2606930676994,115000,Ant-v3,DDPG
24,-208.72422143948145,120000,Ant-v3,DDPG
25,100.8127701087628,125000,Ant-v3,DDPG
26,92.0981946242096,130000,Ant-v3,DDPG
27,-530.8710830548682,135000,Ant-v3,DDPG
28,-190.40482033951304,140000,Ant-v3,DDPG
29,-214.7846860944059,145000,Ant-v3,DDPG
30,65.27464768411228,150000,Ant-v3,DDPG
31,-272.2865352042824,155000,Ant-v3,DDPG
32,-190.50705495690505,160000,Ant-v3,DDPG
33,-221.5796255724657,165000,Ant-v3,DDPG
34,-418.8644242783638,170000,Ant-v3,DDPG
35,-177.2738300182984,175000,Ant-v3,DDPG
36,-493.65770732536174,180000,Ant-v3,DDPG
37,-637.3418621412887,185000,Ant-v3,DDPG
38,-349.96740044556304,190000,Ant-v3,DDPG
39,-1076.2075745923312,195000,Ant-v3,DDPG
40,-500.9618291576465,200000,Ant-v3,DDPG
41,-176.3404616811922,205000,Ant-v3,DDPG
42,-146.35919346074354,210000,Ant-v3,DDPG
43,193.13085296147156,215000,Ant-v3,DDPG
44,346.0152845282392,220000,Ant-v3,DDPG
45,29.32745990349208,225000,Ant-v3,DDPG
46,-655.0400384933052,230000,Ant-v3,DDPG
47,-127.29977049508628,235000,Ant-v3,DDPG
48,-277.1167763664343,240000,Ant-v3,DDPG
49,-8.463698956959346,245000,Ant-v3,DDPG
50,-670.7027896981533,250000,Ant-v3,DDPG
51,-264.5861153794116,255000,Ant-v3,DDPG
52,-231.14506547785564,260000,Ant-v3,DDPG
53,-100.64064662665638,265000,Ant-v3,DDPG
54,-293.5299249862234,270000,Ant-v3,DDPG
55,302.4686708020881,275000,Ant-v3,DDPG
56,-101.62084730201605,280000,Ant-v3,DDPG
57,-1325.6257754031817,285000,Ant-v3,DDPG
58,531.68997972589,290000,Ant-v3,DDPG
59,-108.1099609236838,295000,Ant-v3,DDPG
60,18.51620247910896,300000,Ant-v3,DDPG
61,451.16889257419706,305000,Ant-v3,DDPG
62,368.69353419222136,310000,Ant-v3,DDPG
63,-287.7362913780881,315000,Ant-v3,DDPG
64,-769.3344937247788,320000,Ant-v3,DDPG
65,-318.04169133859955,325000,Ant-v3,DDPG
66,-494.23228804169713,330000,Ant-v3,DDPG
67,423.0442373342802,335000,Ant-v3,DDPG
68,-699.459441599638,340000,Ant-v3,DDPG
69,-997.6650779743948,345000,Ant-v3,DDPG
70,-436.5858874866137,350000,Ant-v3,DDPG
71,-121.38052747254014,355000,Ant-v3,DDPG
72,-76.32455783826452,360000,Ant-v3,DDPG
73,450.4500389493596,365000,Ant-v3,DDPG
74,-496.68765690204793,370000,Ant-v3,DDPG
75,-373.0590813884781,375000,Ant-v3,DDPG
76,-310.9974767558808,380000,Ant-v3,DDPG
77,-439.5979283092432,385000,Ant-v3,DDPG
78,-355.00803700346114,390000,Ant-v3,DDPG
79,-444.1381012415653,395000,Ant-v3,DDPG
80,-282.94596987564216,400000,Ant-v3,DDPG
81,42.35309000672789,405000,Ant-v3,DDPG
82,-195.7906668292437,410000,Ant-v3,DDPG
83,-613.3912044213297,415000,Ant-v3,DDPG
84,12.452898697206134,420000,Ant-v3,DDPG
85,-492.3724649247303,425000,Ant-v3,DDPG
86,-297.307376939522,430000,Ant-v3,DDPG
87,206.35199130446944,435000,Ant-v3,DDPG
88,-500.34721107942414,440000,Ant-v3,DDPG
89,-347.2923264066396,445000,Ant-v3,DDPG
90,-694.9462390446615,450000,Ant-v3,DDPG
91,-550.141544702302,455000,Ant-v3,DDPG
92,-527.4052456936615,460000,Ant-v3,DDPG
93,-172.9245875784049,465000,Ant-v3,DDPG
94,-249.59299263178585,470000,Ant-v3,DDPG
95,-191.5592990203069,475000,Ant-v3,DDPG
96,-427.4023334574775,480000,Ant-v3,DDPG
97,-170.4536151068576,485000,Ant-v3,DDPG
98,-86.15581758115493,490000,Ant-v3,DDPG
99,-464.9376929261474,495000,Ant-v3,DDPG
100,-350.18401688640427,500000,Ant-v3,DDPG
101,-581.2623504599477,505000,Ant-v3,DDPG
102,-491.17240306916017,510000,Ant-v3,DDPG
103,110.63235078907591,515000,Ant-v3,DDPG
104,151.7786814600948,520000,Ant-v3,DDPG
105,-248.06231287955967,525000,Ant-v3,DDPG
106,-462.4044580606361,530000,Ant-v3,DDPG
107,-84.0038462897709,535000,Ant-v3,DDPG
108,-238.16379140245084,540000,Ant-v3,DDPG
109,-52.23142757517521,545000,Ant-v3,DDPG
110,-685.4048802507883,550000,Ant-v3,DDPG
111,-243.41069791911917,555000,Ant-v3,DDPG
112,-254.2231404425609,560000,Ant-v3,DDPG
113,-509.8551432260935,565000,Ant-v3,DDPG
114,-563.8434653653097,570000,Ant-v3,DDPG
115,-88.73597807293822,575000,Ant-v3,DDPG
116,-634.0887621150075,580000,Ant-v3,DDPG
117,-289.2634925501374,585000,Ant-v3,DDPG
118,-501.7483374614824,590000,Ant-v3,DDPG
119,-319.1217301816215,595000,Ant-v3,DDPG
120,-578.8565190172977,600000,Ant-v3,DDPG
121,-718.9642871810275,605000,Ant-v3,DDPG
122,-593.5070779268515,610000,Ant-v3,DDPG
123,-657.1026803100842,615000,Ant-v3,DDPG
124,-583.8391322341892,620000,Ant-v3,DDPG
125,-686.6599637520724,625000,Ant-v3,DDPG
126,-598.0510985957981,630000,Ant-v3,DDPG
127,-554.5578858274278,635000,Ant-v3,DDPG
128,-409.9836402117092,640000,Ant-v3,DDPG
129,-812.3651469798149,645000,Ant-v3,DDPG
130,-337.3770800042913,650000,Ant-v3,DDPG
131,-798.8890038161724,655000,Ant-v3,DDPG
132,-464.5447638441266,660000,Ant-v3,DDPG
133,-302.355172319182,665000,Ant-v3,DDPG
134,-141.7188933321326,670000,Ant-v3,DDPG
135,-876.7685298955832,675000,Ant-v3,DDPG
136,-377.4110667013159,680000,Ant-v3,DDPG
137,-598.410197488412,685000,Ant-v3,DDPG
138,-420.6620007943029,690000,Ant-v3,DDPG
139,-525.6324529745187,695000,Ant-v3,DDPG
140,-388.3552790342063,700000,Ant-v3,DDPG
141,-240.66908241953496,705000,Ant-v3,DDPG
142,-870.8409992495469,710000,Ant-v3,DDPG
143,-272.9261920032226,715000,Ant-v3,DDPG
144,-239.1631101545742,720000,Ant-v3,DDPG
145,-152.35698635759607,725000,Ant-v3,DDPG
146,99.49453271429888,730000,Ant-v3,DDPG
147,-251.35998289127104,735000,Ant-v3,DDPG
148,-803.6078711134921,740000,Ant-v3,DDPG
149,-901.2704588077712,745000,Ant-v3,DDPG
150,-293.6136681334044,750000,Ant-v3,DDPG
151,-526.2933643896373,755000,Ant-v3,DDPG
152,-689.9582949616495,760000,Ant-v3,DDPG
153,-860.8590409552955,765000,Ant-v3,DDPG
154,-857.9477951391403,770000,Ant-v3,DDPG
155,-687.7626659407698,775000,Ant-v3,DDPG
156,-541.8242201755991,780000,Ant-v3,DDPG
157,-241.47653257633183,785000,Ant-v3,DDPG
158,-364.1246088521782,790000,Ant-v3,DDPG
159,-209.0689808234137,795000,Ant-v3,DDPG
160,-196.51638205426485,800000,Ant-v3,DDPG
161,-359.79289725349724,805000,Ant-v3,DDPG
162,-401.5616418921119,810000,Ant-v3,DDPG
163,-355.1455486566374,815000,Ant-v3,DDPG
164,-404.5122963598407,820000,Ant-v3,DDPG
165,-590.0648121538336,825000,Ant-v3,DDPG
166,-309.08327259140754,830000,Ant-v3,DDPG
167,-931.4061414550664,835000,Ant-v3,DDPG
