index,Average Return,Timesteps,env,algorithm_name
0,814.147627662469,0,Ant-v3,SAC
1,-303.355628681763,5000,Ant-v3,SAC
2,-1071.92586270148,10000,Ant-v3,SAC
3,-346.000318263351,15000,Ant-v3,SAC
4,254.257704235158,20000,Ant-v3,SAC
5,623.52428267479,25000,Ant-v3,SAC
6,742.856732725512,30000,Ant-v3,SAC
7,757.715743151967,35000,Ant-v3,SAC
8,795.541032467014,40000,Ant-v3,SAC
9,850.993676473831,45000,Ant-v3,SAC
10,906.930688204107,50000,Ant-v3,SAC
11,905.39905051728,55000,Ant-v3,SAC
12,890.348502473503,60000,Ant-v3,SAC
13,911.393598893034,65000,Ant-v3,SAC
14,918.38638752722,70000,Ant-v3,SAC
15,919.098176930211,75000,Ant-v3,SAC
16,770.24149936974,80000,Ant-v3,SAC
17,913.054505643084,85000,Ant-v3,SAC
18,910.171751174508,90000,Ant-v3,SAC
19,839.237466681447,95000,Ant-v3,SAC
20,915.31566914153,100000,Ant-v3,SAC
21,931.139326722217,105000,Ant-v3,SAC
22,892.02250159708,110000,Ant-v3,SAC
23,911.330312493828,115000,Ant-v3,SAC
24,928.555247241617,120000,Ant-v3,SAC
25,936.780204706169,125000,Ant-v3,SAC
26,832.981347410015,130000,Ant-v3,SAC
27,919.755076180543,135000,Ant-v3,SAC
28,948.020760869633,140000,Ant-v3,SAC
29,933.988212427026,145000,Ant-v3,SAC
30,945.384255877346,150000,Ant-v3,SAC
31,955.065873382639,155000,Ant-v3,SAC
32,951.908268479252,160000,Ant-v3,SAC
33,855.27687798074,165000,Ant-v3,SAC
34,839.395954239843,170000,Ant-v3,SAC
35,703.076454545837,175000,Ant-v3,SAC
36,951.883142159467,180000,Ant-v3,SAC
37,739.517474801789,185000,Ant-v3,SAC
38,923.746839544637,190000,Ant-v3,SAC
39,909.075210436942,195000,Ant-v3,SAC
40,841.750302543616,200000,Ant-v3,SAC
41,998.98362363551,205000,Ant-v3,SAC
42,816.794722689867,210000,Ant-v3,SAC
43,903.699332073515,215000,Ant-v3,SAC
44,954.342861255557,220000,Ant-v3,SAC
45,953.668671267034,225000,Ant-v3,SAC
46,934.058819418424,230000,Ant-v3,SAC
47,955.84948390009,235000,Ant-v3,SAC
48,899.390099125499,240000,Ant-v3,SAC
49,1008.54578465314,245000,Ant-v3,SAC
50,866.682550835604,250000,Ant-v3,SAC
51,917.063428761108,255000,Ant-v3,SAC
52,819.248622846485,260000,Ant-v3,SAC
53,990.169054611304,265000,Ant-v3,SAC
54,876.203371422876,270000,Ant-v3,SAC
55,813.210416838085,275000,Ant-v3,SAC
56,976.794304774022,280000,Ant-v3,SAC
57,847.261073023419,285000,Ant-v3,SAC
58,974.587540484689,290000,Ant-v3,SAC
59,878.095766255717,295000,Ant-v3,SAC
60,942.702636486548,300000,Ant-v3,SAC
61,1029.11478355025,305000,Ant-v3,SAC
62,912.110839350047,310000,Ant-v3,SAC
63,1271.31097303002,315000,Ant-v3,SAC
64,1159.27621762505,320000,Ant-v3,SAC
65,1471.66427254911,325000,Ant-v3,SAC
