index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,838.8368959478612,0,Ant-v3,SACSYS,0,0
1,-351.6560181533406,5000,Ant-v3,SACSYS,5000,5000
2,-1149.1886396351233,10000,Ant-v3,SACSYS,10000,10000
3,-268.17511795500354,15000,Ant-v3,SACSYS,15000,15000
4,125.05120421704204,20000,Ant-v3,SACSYS,20000,20000
5,754.0768848782683,25000,Ant-v3,SACSYS,25000,25000
6,754.8558825910518,30000,Ant-v3,SACSYS,30000,30000
7,848.652947730389,35000,Ant-v3,SACSYS,35000,35000
8,885.0974961600059,40000,Ant-v3,SACSYS,40000,40000
9,904.0829054687981,45000,Ant-v3,SACSYS,45000,45000
10,922.2398759959924,50000,Ant-v3,SACSYS,50000,50000
11,934.5895835026997,55000,Ant-v3,SACSYS,55000,55000
12,928.546137222086,60000,Ant-v3,SACSYS,60000,60000
13,925.9035347912393,65000,Ant-v3,SACSYS,65000,65000
14,903.194848160085,70000,Ant-v3,SACSYS,70000,70000
15,924.3785311149246,75000,Ant-v3,SACSYS,75000,75000
16,937.3876900656114,80000,Ant-v3,SACSYS,80000,80000
17,578.5007268855571,85000,Ant-v3,SACSYS,85000,85000
18,909.2731336384453,90000,Ant-v3,SACSYS,90000,90000
19,838.3207473437396,95000,Ant-v3,SACSYS,95000,95000
20,950.0631476716103,100000,Ant-v3,SACSYS,100000,100000
21,938.0774878209816,105000,Ant-v3,SACSYS,105000,105000
22,851.4419483813057,110000,Ant-v3,SACSYS,110000,110000
23,938.1506277832966,115000,Ant-v3,SACSYS,115000,115000
24,943.1198999622657,120000,Ant-v3,SACSYS,120000,120000
25,931.3764540156993,125000,Ant-v3,SACSYS,125000,125000
26,944.6628682697313,130000,Ant-v3,SACSYS,130000,130000
27,937.768033409036,135000,Ant-v3,SACSYS,135000,135000
28,958.1713693566337,140000,Ant-v3,SACSYS,140000,140000
29,946.0749323028951,145000,Ant-v3,SACSYS,145000,145000
30,960.250637404577,150000,Ant-v3,SACSYS,150000,150000
31,952.117732224065,155000,Ant-v3,SACSYS,155000,155000
32,964.6688186655472,160000,Ant-v3,SACSYS,160000,160000
33,966.3367606123027,165000,Ant-v3,SACSYS,165000,165000
34,931.9810415704953,170000,Ant-v3,SACSYS,170000,170000
35,962.3991685357704,175000,Ant-v3,SACSYS,175000,175000
36,953.2669827167084,180000,Ant-v3,SACSYS,180000,180000
37,973.6362889199268,185000,Ant-v3,SACSYS,185000,185000
38,960.652036003384,190000,Ant-v3,SACSYS,190000,190000
39,935.7838544467227,195000,Ant-v3,SACSYS,195000,195000
40,968.988532854184,200000,Ant-v3,SACSYS,200000,200000
41,969.1590488108117,205000,Ant-v3,SACSYS,205000,205000
42,971.1689283480356,210000,Ant-v3,SACSYS,210000,210000
43,971.3280014791991,215000,Ant-v3,SACSYS,215000,215000
44,955.3913215974902,220000,Ant-v3,SACSYS,220000,220000
45,972.9268901035276,225000,Ant-v3,SACSYS,225000,225000
46,961.8197270801253,230000,Ant-v3,SACSYS,230000,230000
47,937.0805442764433,235000,Ant-v3,SACSYS,235000,235000
48,948.7956162404017,240000,Ant-v3,SACSYS,240000,240000
49,958.8168287378844,245000,Ant-v3,SACSYS,245000,245000
50,962.763195907189,250000,Ant-v3,SACSYS,250000,250000
51,971.6779513205174,255000,Ant-v3,SACSYS,255000,255000
52,970.9218983619353,260000,Ant-v3,SACSYS,260000,260000
53,973.8381852317821,265000,Ant-v3,SACSYS,265000,265000
54,950.5305984244212,270000,Ant-v3,SACSYS,270000,270000
55,977.394756073896,275000,Ant-v3,SACSYS,275000,275000
56,974.7302426270785,280000,Ant-v3,SACSYS,280000,280000
57,971.9701559792752,285000,Ant-v3,SACSYS,285000,285000
58,953.063294153718,290000,Ant-v3,SACSYS,290000,290000
59,978.455067093719,295000,Ant-v3,SACSYS,295000,295000
60,978.1526904153448,300000,Ant-v3,SACSYS,300000,300000
61,973.9902249498397,305000,Ant-v3,SACSYS,305000,305000
62,967.4135874336363,310000,Ant-v3,SACSYS,310000,310000
63,982.7078927212536,315000,Ant-v3,SACSYS,315000,315000
64,981.8104130158804,320000,Ant-v3,SACSYS,320000,320000
65,974.7609010795843,325000,Ant-v3,SACSYS,325000,325000
66,977.8207228617888,330000,Ant-v3,SACSYS,330000,330000
67,986.3187152603323,335000,Ant-v3,SACSYS,335000,335000
68,971.7727478076723,340000,Ant-v3,SACSYS,340000,340000
69,984.2220935068402,345000,Ant-v3,SACSYS,345000,345000
70,982.5736919988453,350000,Ant-v3,SACSYS,350000,350000
71,970.6248214394283,355000,Ant-v3,SACSYS,355000,355000
72,969.138441506195,360000,Ant-v3,SACSYS,360000,360000
73,973.7899854818213,365000,Ant-v3,SACSYS,365000,365000
74,968.6906796909793,370000,Ant-v3,SACSYS,370000,370000
75,961.2162707298703,375000,Ant-v3,SACSYS,375000,375000
76,988.6644961048877,380000,Ant-v3,SACSYS,380000,380000
77,977.1771236495108,385000,Ant-v3,SACSYS,385000,385000
78,998.3552628710762,390000,Ant-v3,SACSYS,390000,390000
79,1000.900333469736,395000,Ant-v3,SACSYS,395000,395000
