index,Average Return,Timesteps,env,algorithm_name
0,-11.85096766773,0,BipedalWalker-v3,DDPG
1,-11.85096766773,5000,BipedalWalker-v3,DDPG
2,-11.85096766773,10000,BipedalWalker-v3,DDPG
3,-104.31649102400756,15000,BipedalWalker-v3,DDPG
4,-172.1654724992335,20000,BipedalWalker-v3,DDPG
5,-138.9810698186434,25000,BipedalWalker-v3,DDPG
6,-120.84408923603512,30000,BipedalWalker-v3,DDPG
7,-125.1233982352923,35000,BipedalWalker-v3,DDPG
8,-181.18643263143252,40000,BipedalWalker-v3,DDPG
9,-178.33190887990636,45000,BipedalWalker-v3,DDPG
10,-136.65257068217107,50000,BipedalWalker-v3,DDPG
11,-143.308890094223,55000,BipedalWalker-v3,DDPG
12,-130.16303659243957,60000,BipedalWalker-v3,DDPG
13,-114.31994089377731,65000,BipedalWalker-v3,DDPG
14,-116.96629827734304,70000,BipedalWalker-v3,DDPG
15,-127.28469671714392,75000,BipedalWalker-v3,DDPG
16,-119.054360223833,80000,BipedalWalker-v3,DDPG
17,-126.75078153987168,85000,BipedalWalker-v3,DDPG
18,-138.02900152576106,90000,BipedalWalker-v3,DDPG
19,-112.18980015118322,95000,BipedalWalker-v3,DDPG
20,-144.5852758405795,100000,BipedalWalker-v3,DDPG
21,-128.71884686895334,105000,BipedalWalker-v3,DDPG
22,-170.62874027003062,110000,BipedalWalker-v3,DDPG
23,-116.09148934699436,115000,BipedalWalker-v3,DDPG
24,-119.37769638626578,120000,BipedalWalker-v3,DDPG
25,-113.95995150920892,125000,BipedalWalker-v3,DDPG
26,-108.19910703722108,130000,BipedalWalker-v3,DDPG
27,-134.85720950874588,135000,BipedalWalker-v3,DDPG
28,-112.934271398142,140000,BipedalWalker-v3,DDPG
29,-128.71969357766568,145000,BipedalWalker-v3,DDPG
30,-107.93008026327747,150000,BipedalWalker-v3,DDPG
31,-112.4040682885518,155000,BipedalWalker-v3,DDPG
32,-172.17195830322422,160000,BipedalWalker-v3,DDPG
33,-136.7348578724146,165000,BipedalWalker-v3,DDPG
34,-152.24159363499535,170000,BipedalWalker-v3,DDPG
35,-105.261698848189,175000,BipedalWalker-v3,DDPG
36,-104.17315824457832,180000,BipedalWalker-v3,DDPG
37,-180.2380012849888,185000,BipedalWalker-v3,DDPG
38,-111.30498779874613,190000,BipedalWalker-v3,DDPG
39,-113.11677656988442,195000,BipedalWalker-v3,DDPG
40,-119.10707291853264,200000,BipedalWalker-v3,DDPG
41,-141.4048325518927,205000,BipedalWalker-v3,DDPG
42,-177.9338200924508,210000,BipedalWalker-v3,DDPG
43,-142.9820808949111,215000,BipedalWalker-v3,DDPG
44,-123.61749040241088,220000,BipedalWalker-v3,DDPG
45,-101.64909862363533,225000,BipedalWalker-v3,DDPG
46,-109.167584042848,230000,BipedalWalker-v3,DDPG
47,-112.01228941046112,235000,BipedalWalker-v3,DDPG
48,-127.90738947657186,240000,BipedalWalker-v3,DDPG
49,-104.16042830578668,245000,BipedalWalker-v3,DDPG
50,-109.62520417156432,250000,BipedalWalker-v3,DDPG
51,-109.4015793672778,255000,BipedalWalker-v3,DDPG
52,-103.67913725897851,260000,BipedalWalker-v3,DDPG
53,-106.99548154274366,265000,BipedalWalker-v3,DDPG
54,-102.81870384858212,270000,BipedalWalker-v3,DDPG
55,-107.4973458975082,275000,BipedalWalker-v3,DDPG
56,-104.74253275001313,280000,BipedalWalker-v3,DDPG
57,-104.9949104790912,285000,BipedalWalker-v3,DDPG
58,-121.77253962480104,290000,BipedalWalker-v3,DDPG
59,-132.0151464491368,295000,BipedalWalker-v3,DDPG
60,-103.22086269182846,300000,BipedalWalker-v3,DDPG
61,-134.19446870565727,305000,BipedalWalker-v3,DDPG
62,-147.3694274833456,310000,BipedalWalker-v3,DDPG
63,-116.78855102449316,315000,BipedalWalker-v3,DDPG
64,-116.35379561444284,320000,BipedalWalker-v3,DDPG
65,-121.417518653652,325000,BipedalWalker-v3,DDPG
66,-95.73918909103088,330000,BipedalWalker-v3,DDPG
67,-124.94410551393946,335000,BipedalWalker-v3,DDPG
68,-85.18828261135934,340000,BipedalWalker-v3,DDPG
69,-102.71362639436072,345000,BipedalWalker-v3,DDPG
70,-108.141387414063,350000,BipedalWalker-v3,DDPG
71,-106.96234955315649,355000,BipedalWalker-v3,DDPG
72,-91.1129114993014,360000,BipedalWalker-v3,DDPG
73,-136.573285552129,365000,BipedalWalker-v3,DDPG
74,-101.65850192662144,370000,BipedalWalker-v3,DDPG
75,-99.84182235701114,375000,BipedalWalker-v3,DDPG
76,-98.69873741493412,380000,BipedalWalker-v3,DDPG
77,-81.69101572681659,385000,BipedalWalker-v3,DDPG
78,-95.75744409612052,390000,BipedalWalker-v3,DDPG
79,-96.92993720775016,395000,BipedalWalker-v3,DDPG
80,-100.82228761513214,400000,BipedalWalker-v3,DDPG
81,-139.17516005456056,405000,BipedalWalker-v3,DDPG
82,-110.20005737551666,410000,BipedalWalker-v3,DDPG
83,-170.0689068284845,415000,BipedalWalker-v3,DDPG
84,-140.75970233204663,420000,BipedalWalker-v3,DDPG
85,-135.70442024411207,425000,BipedalWalker-v3,DDPG
86,-139.15272317394437,430000,BipedalWalker-v3,DDPG
87,-97.74885991542996,435000,BipedalWalker-v3,DDPG
88,-89.29547556046515,440000,BipedalWalker-v3,DDPG
89,-105.57192120918668,445000,BipedalWalker-v3,DDPG
90,-99.48878524077683,450000,BipedalWalker-v3,DDPG
91,-96.4720181261472,455000,BipedalWalker-v3,DDPG
92,-159.33853846291117,460000,BipedalWalker-v3,DDPG
93,-120.35808044567912,465000,BipedalWalker-v3,DDPG
94,-98.04211557691912,470000,BipedalWalker-v3,DDPG
95,-121.24159999659568,475000,BipedalWalker-v3,DDPG
96,-96.04574891055611,480000,BipedalWalker-v3,DDPG
97,-96.31917385866488,485000,BipedalWalker-v3,DDPG
98,-127.167938155063,490000,BipedalWalker-v3,DDPG
99,-101.83596704806884,495000,BipedalWalker-v3,DDPG
100,-97.18317447271411,500000,BipedalWalker-v3,DDPG
101,-129.5324597271035,505000,BipedalWalker-v3,DDPG
102,-79.00653172295947,510000,BipedalWalker-v3,DDPG
103,-98.45811801362036,515000,BipedalWalker-v3,DDPG
104,-99.3202852542263,520000,BipedalWalker-v3,DDPG
105,-99.5989760086632,525000,BipedalWalker-v3,DDPG
106,-96.07613160966297,530000,BipedalWalker-v3,DDPG
107,-97.21440500771584,535000,BipedalWalker-v3,DDPG
108,-94.45002534114296,540000,BipedalWalker-v3,DDPG
109,-130.91373759987616,545000,BipedalWalker-v3,DDPG
110,-100.63808231855052,550000,BipedalWalker-v3,DDPG
111,-86.44536797425195,555000,BipedalWalker-v3,DDPG
112,-112.5067162708533,560000,BipedalWalker-v3,DDPG
113,-130.31122753092563,565000,BipedalWalker-v3,DDPG
114,-69.0253740080115,570000,BipedalWalker-v3,DDPG
115,-117.24025043649291,575000,BipedalWalker-v3,DDPG
116,-107.13839703349394,580000,BipedalWalker-v3,DDPG
117,-117.1487821251396,585000,BipedalWalker-v3,DDPG
118,-110.426944825171,590000,BipedalWalker-v3,DDPG
119,-96.24459847460804,595000,BipedalWalker-v3,DDPG
120,-127.00989986898044,600000,BipedalWalker-v3,DDPG
121,-106.04837065407318,605000,BipedalWalker-v3,DDPG
122,-137.44801672880175,610000,BipedalWalker-v3,DDPG
123,-153.52047584892355,615000,BipedalWalker-v3,DDPG
124,-176.2871286883938,620000,BipedalWalker-v3,DDPG
125,-177.27010041390622,625000,BipedalWalker-v3,DDPG
126,-177.32584613479796,630000,BipedalWalker-v3,DDPG
127,-103.44098265659568,635000,BipedalWalker-v3,DDPG
128,-107.46956821841692,640000,BipedalWalker-v3,DDPG
129,-155.33673579302786,645000,BipedalWalker-v3,DDPG
130,-100.29031134919992,650000,BipedalWalker-v3,DDPG
131,-103.3287241342637,655000,BipedalWalker-v3,DDPG
132,-103.31944131464118,660000,BipedalWalker-v3,DDPG
133,-121.91964447553256,665000,BipedalWalker-v3,DDPG
134,-117.50726633890623,670000,BipedalWalker-v3,DDPG
135,-144.59944319442224,675000,BipedalWalker-v3,DDPG
136,-166.26548479489068,680000,BipedalWalker-v3,DDPG
137,-105.65411692878388,685000,BipedalWalker-v3,DDPG
138,-91.23724863501592,690000,BipedalWalker-v3,DDPG
139,-74.74639599941534,695000,BipedalWalker-v3,DDPG
140,-132.56635676532403,700000,BipedalWalker-v3,DDPG
141,-111.37092570112384,705000,BipedalWalker-v3,DDPG
142,-103.84340425764624,710000,BipedalWalker-v3,DDPG
143,-119.15329107765562,715000,BipedalWalker-v3,DDPG
144,-135.66920879641174,720000,BipedalWalker-v3,DDPG
145,-155.46792295498852,725000,BipedalWalker-v3,DDPG
146,-104.52533505408265,730000,BipedalWalker-v3,DDPG
147,-111.15096248549294,735000,BipedalWalker-v3,DDPG
148,-102.37651199698414,740000,BipedalWalker-v3,DDPG
149,-101.48271913163248,745000,BipedalWalker-v3,DDPG
150,-99.11107815314402,750000,BipedalWalker-v3,DDPG
151,-102.64057466886791,755000,BipedalWalker-v3,DDPG
152,-103.14414198947011,760000,BipedalWalker-v3,DDPG
153,-28.965640707611744,765000,BipedalWalker-v3,DDPG
154,-4.249254310708055,770000,BipedalWalker-v3,DDPG
155,4.450272250630767,775000,BipedalWalker-v3,DDPG
156,5.524873722837399,780000,BipedalWalker-v3,DDPG
157,-109.71143691110714,785000,BipedalWalker-v3,DDPG
158,-133.58573346922873,790000,BipedalWalker-v3,DDPG
159,-142.84013303263532,795000,BipedalWalker-v3,DDPG
160,-132.92478986099053,800000,BipedalWalker-v3,DDPG
161,-85.36954255888784,805000,BipedalWalker-v3,DDPG
162,-68.24846950538095,810000,BipedalWalker-v3,DDPG
163,-98.39115541749555,815000,BipedalWalker-v3,DDPG
164,-114.28509450379129,820000,BipedalWalker-v3,DDPG
165,-126.40615601383404,825000,BipedalWalker-v3,DDPG
166,-96.81352016261545,830000,BipedalWalker-v3,DDPG
167,-102.90417959835445,835000,BipedalWalker-v3,DDPG
168,-115.2757972042116,840000,BipedalWalker-v3,DDPG
169,-88.08383931448337,845000,BipedalWalker-v3,DDPG
170,-120.21368906320356,850000,BipedalWalker-v3,DDPG
171,-55.33927210355561,855000,BipedalWalker-v3,DDPG
172,3.9032670610369977,860000,BipedalWalker-v3,DDPG
173,-133.74899851236475,865000,BipedalWalker-v3,DDPG
174,-39.52273816555057,870000,BipedalWalker-v3,DDPG
175,-109.39828909694498,875000,BipedalWalker-v3,DDPG
176,14.801393891028038,880000,BipedalWalker-v3,DDPG
177,-40.37175303304868,885000,BipedalWalker-v3,DDPG
178,-97.53051626926212,890000,BipedalWalker-v3,DDPG
179,-112.8865502926338,895000,BipedalWalker-v3,DDPG
180,-110.58386904516716,900000,BipedalWalker-v3,DDPG
181,66.45919300741956,905000,BipedalWalker-v3,DDPG
182,-71.49168986670045,910000,BipedalWalker-v3,DDPG
183,-97.59975638070776,915000,BipedalWalker-v3,DDPG
184,-145.3023052647234,920000,BipedalWalker-v3,DDPG
185,-77.42533258258759,925000,BipedalWalker-v3,DDPG
186,-116.72525835537206,930000,BipedalWalker-v3,DDPG
187,-127.40472184654756,935000,BipedalWalker-v3,DDPG
188,-121.81774184186904,940000,BipedalWalker-v3,DDPG
189,-117.6570347665953,945000,BipedalWalker-v3,DDPG
190,-74.99358387624133,950000,BipedalWalker-v3,DDPG
191,-149.41317381857613,955000,BipedalWalker-v3,DDPG
192,-161.3649582357449,960000,BipedalWalker-v3,DDPG
193,-134.40733444268716,965000,BipedalWalker-v3,DDPG
194,-111.9054081904878,970000,BipedalWalker-v3,DDPG
195,-115.6894082808756,975000,BipedalWalker-v3,DDPG
196,-73.4960739363933,980000,BipedalWalker-v3,DDPG
197,-154.17803215436282,985000,BipedalWalker-v3,DDPG
198,-47.92102858319006,990000,BipedalWalker-v3,DDPG
