index,Average Return,Timesteps,env,algorithm_name
0,-101.511069652701,0,BipedalWalker-v3,SAC
1,-99.2521599596202,5000,BipedalWalker-v3,SAC
2,-113.107398189847,10000,BipedalWalker-v3,SAC
3,-117.026487217375,15000,BipedalWalker-v3,SAC
4,-125.668668642631,20000,BipedalWalker-v3,SAC
5,-106.423974379652,25000,BipedalWalker-v3,SAC
6,-77.9914771957719,30000,BipedalWalker-v3,SAC
7,-98.2241039845386,35000,BipedalWalker-v3,SAC
8,-112.187914598156,40000,BipedalWalker-v3,SAC
9,-85.0390192375771,45000,BipedalWalker-v3,SAC
10,-123.177837912632,50000,BipedalWalker-v3,SAC
11,-54.9853241307675,55000,BipedalWalker-v3,SAC
12,-105.502044152622,60000,BipedalWalker-v3,SAC
13,-94.3829484195545,65000,BipedalWalker-v3,SAC
14,-56.3638325836592,70000,BipedalWalker-v3,SAC
15,-98.3100500308958,75000,BipedalWalker-v3,SAC
16,-73.0388721932095,80000,BipedalWalker-v3,SAC
17,-67.931800430337,85000,BipedalWalker-v3,SAC
18,-90.0699440546557,90000,BipedalWalker-v3,SAC
19,-98.3292635116442,95000,BipedalWalker-v3,SAC
20,-109.442741247946,100000,BipedalWalker-v3,SAC
21,-86.5493557747548,105000,BipedalWalker-v3,SAC
22,-55.2889705456336,110000,BipedalWalker-v3,SAC
23,-100.560045305453,115000,BipedalWalker-v3,SAC
24,-77.9012863658148,120000,BipedalWalker-v3,SAC
25,-66.0920145533276,125000,BipedalWalker-v3,SAC
26,-73.5787978425886,130000,BipedalWalker-v3,SAC
27,-74.9622082802515,135000,BipedalWalker-v3,SAC
28,-74.4755825363439,140000,BipedalWalker-v3,SAC
29,-61.5593398132721,145000,BipedalWalker-v3,SAC
30,-92.4144180475291,150000,BipedalWalker-v3,SAC
31,-53.7299017442575,155000,BipedalWalker-v3,SAC
32,-55.3468219248534,160000,BipedalWalker-v3,SAC
33,-77.8997229005652,165000,BipedalWalker-v3,SAC
34,-48.1993312227142,170000,BipedalWalker-v3,SAC
35,-63.0589847065282,175000,BipedalWalker-v3,SAC
36,-90.3186103832031,180000,BipedalWalker-v3,SAC
37,-75.5193983907662,185000,BipedalWalker-v3,SAC
38,-106.708045936988,190000,BipedalWalker-v3,SAC
39,-87.0902232841094,195000,BipedalWalker-v3,SAC
40,-63.0215499225772,200000,BipedalWalker-v3,SAC
41,-59.3862339787309,205000,BipedalWalker-v3,SAC
42,-63.4324083081968,210000,BipedalWalker-v3,SAC
43,-41.2021020420201,215000,BipedalWalker-v3,SAC
44,-28.0123711627568,220000,BipedalWalker-v3,SAC
45,-18.4557687003671,225000,BipedalWalker-v3,SAC
46,-33.307344432106,230000,BipedalWalker-v3,SAC
47,-42.5877437809615,235000,BipedalWalker-v3,SAC
48,-59.8036157318663,240000,BipedalWalker-v3,SAC
49,-36.3607279620035,245000,BipedalWalker-v3,SAC
50,-56.5693018965837,250000,BipedalWalker-v3,SAC
51,-35.657199581503,255000,BipedalWalker-v3,SAC
52,-88.1471614940964,260000,BipedalWalker-v3,SAC
53,-54.8214873092866,265000,BipedalWalker-v3,SAC
54,-85.2315953908643,270000,BipedalWalker-v3,SAC
55,-43.1237304772382,275000,BipedalWalker-v3,SAC
56,-64.1137544190665,280000,BipedalWalker-v3,SAC
57,-28.767442831105,285000,BipedalWalker-v3,SAC
58,-79.3472180452398,290000,BipedalWalker-v3,SAC
59,-52.0972208057002,295000,BipedalWalker-v3,SAC
60,-42.8684304514694,300000,BipedalWalker-v3,SAC
61,-51.7609753776441,305000,BipedalWalker-v3,SAC
62,-64.6655398553349,310000,BipedalWalker-v3,SAC
63,-71.5329137836893,315000,BipedalWalker-v3,SAC
64,-83.3025334625006,320000,BipedalWalker-v3,SAC
65,-62.1216898338233,325000,BipedalWalker-v3,SAC
66,-60.617278675197,330000,BipedalWalker-v3,SAC
67,-48.942340107664,335000,BipedalWalker-v3,SAC
68,-44.0386807403146,340000,BipedalWalker-v3,SAC
69,-88.8112322342169,345000,BipedalWalker-v3,SAC
70,-82.9614266398286,350000,BipedalWalker-v3,SAC
71,-89.924908500056,355000,BipedalWalker-v3,SAC
72,-122.853058453725,360000,BipedalWalker-v3,SAC
73,-13.254343751587,365000,BipedalWalker-v3,SAC
74,-53.106753483614,370000,BipedalWalker-v3,SAC
75,-45.2133037247789,375000,BipedalWalker-v3,SAC
76,-56.8284268519068,380000,BipedalWalker-v3,SAC
77,-46.5979026648521,385000,BipedalWalker-v3,SAC
78,-30.1346688067592,390000,BipedalWalker-v3,SAC
79,-23.3859957393681,395000,BipedalWalker-v3,SAC
80,-27.2991461755492,400000,BipedalWalker-v3,SAC
81,-51.2375537951345,405000,BipedalWalker-v3,SAC
82,-53.5866286630285,410000,BipedalWalker-v3,SAC
83,-34.0330360252356,415000,BipedalWalker-v3,SAC
84,-49.3477732119835,420000,BipedalWalker-v3,SAC
85,-33.5965412251209,425000,BipedalWalker-v3,SAC
86,-38.7668811816905,430000,BipedalWalker-v3,SAC
87,-40.7225336609333,435000,BipedalWalker-v3,SAC
88,-31.504971331161,440000,BipedalWalker-v3,SAC
89,-52.7087861554871,445000,BipedalWalker-v3,SAC
90,-16.1728620352485,450000,BipedalWalker-v3,SAC
91,-54.7843668998757,455000,BipedalWalker-v3,SAC
92,-11.1683923804897,460000,BipedalWalker-v3,SAC
93,-43.2328408498549,465000,BipedalWalker-v3,SAC
94,-34.7552742649375,470000,BipedalWalker-v3,SAC
95,-23.3757596128543,475000,BipedalWalker-v3,SAC
96,-32.8647395624779,480000,BipedalWalker-v3,SAC
97,-51.3469483623823,485000,BipedalWalker-v3,SAC
98,-18.1101834827935,490000,BipedalWalker-v3,SAC
99,-49.4043784428563,495000,BipedalWalker-v3,SAC
100,-62.22531570374,500000,BipedalWalker-v3,SAC
101,-40.2674937611005,505000,BipedalWalker-v3,SAC
102,-16.5996167505721,510000,BipedalWalker-v3,SAC
103,-37.3125253171041,515000,BipedalWalker-v3,SAC
104,-3.20141251037427,520000,BipedalWalker-v3,SAC
105,70.9806799671472,525000,BipedalWalker-v3,SAC
106,34.9352828618736,530000,BipedalWalker-v3,SAC
107,76.1778605588743,535000,BipedalWalker-v3,SAC
108,219.658768519276,540000,BipedalWalker-v3,SAC
109,125.777216099371,545000,BipedalWalker-v3,SAC
110,-14.5933595549909,550000,BipedalWalker-v3,SAC
111,149.595507354137,555000,BipedalWalker-v3,SAC
112,122.599373235471,560000,BipedalWalker-v3,SAC
113,90.0275166150905,565000,BipedalWalker-v3,SAC
114,-61.6859653000439,570000,BipedalWalker-v3,SAC
115,173.54718021033,575000,BipedalWalker-v3,SAC
116,-71.2846202244769,580000,BipedalWalker-v3,SAC
117,279.111471874216,585000,BipedalWalker-v3,SAC
118,278.724121511377,590000,BipedalWalker-v3,SAC
119,282.372155883515,595000,BipedalWalker-v3,SAC
120,281.362013383298,600000,BipedalWalker-v3,SAC
121,284.500701946022,605000,BipedalWalker-v3,SAC
122,286.221938274396,610000,BipedalWalker-v3,SAC
123,290.276953740036,615000,BipedalWalker-v3,SAC
124,256.67464636361,620000,BipedalWalker-v3,SAC
125,293.322194514893,625000,BipedalWalker-v3,SAC
126,291.251485690808,630000,BipedalWalker-v3,SAC
127,293.167463033444,635000,BipedalWalker-v3,SAC
128,294.322976305216,640000,BipedalWalker-v3,SAC
129,295.024353698823,645000,BipedalWalker-v3,SAC
130,298.939083696241,650000,BipedalWalker-v3,SAC
131,186.239927602071,655000,BipedalWalker-v3,SAC
132,297.995287389092,660000,BipedalWalker-v3,SAC
133,292.68150448792,665000,BipedalWalker-v3,SAC
134,294.694685901471,670000,BipedalWalker-v3,SAC
135,302.814824506008,675000,BipedalWalker-v3,SAC
136,301.050081783551,680000,BipedalWalker-v3,SAC
137,299.305880993022,685000,BipedalWalker-v3,SAC
138,294.862543136012,690000,BipedalWalker-v3,SAC
139,298.956630703457,695000,BipedalWalker-v3,SAC
140,298.847591871443,700000,BipedalWalker-v3,SAC
141,305.557352002973,705000,BipedalWalker-v3,SAC
142,306.152893816246,710000,BipedalWalker-v3,SAC
143,249.648492451777,715000,BipedalWalker-v3,SAC
144,287.479715003736,720000,BipedalWalker-v3,SAC
145,298.101567026744,725000,BipedalWalker-v3,SAC
146,306.843799496707,730000,BipedalWalker-v3,SAC
147,292.243219069996,735000,BipedalWalker-v3,SAC
148,301.850027208027,740000,BipedalWalker-v3,SAC
149,302.238029642854,745000,BipedalWalker-v3,SAC
150,301.600005116433,750000,BipedalWalker-v3,SAC
151,301.744790740315,755000,BipedalWalker-v3,SAC
152,302.104502217844,760000,BipedalWalker-v3,SAC
153,114.99297014395,765000,BipedalWalker-v3,SAC
154,307.195554509673,770000,BipedalWalker-v3,SAC
155,305.475460702222,775000,BipedalWalker-v3,SAC
156,305.570516602916,780000,BipedalWalker-v3,SAC
157,305.309661982161,785000,BipedalWalker-v3,SAC
158,305.688048487513,790000,BipedalWalker-v3,SAC
159,293.011650378814,795000,BipedalWalker-v3,SAC
160,308.337438537661,800000,BipedalWalker-v3,SAC
161,305.219547446966,805000,BipedalWalker-v3,SAC
162,305.457596699993,810000,BipedalWalker-v3,SAC
163,306.415809444145,815000,BipedalWalker-v3,SAC
164,310.309622316043,820000,BipedalWalker-v3,SAC
165,306.350740023098,825000,BipedalWalker-v3,SAC
166,302.642779432334,830000,BipedalWalker-v3,SAC
167,306.720357322513,835000,BipedalWalker-v3,SAC
168,304.262471968527,840000,BipedalWalker-v3,SAC
169,305.77474446458,845000,BipedalWalker-v3,SAC
170,303.843518207955,850000,BipedalWalker-v3,SAC
171,306.477133709388,855000,BipedalWalker-v3,SAC
172,307.26871434563,860000,BipedalWalker-v3,SAC
173,306.789827074208,865000,BipedalWalker-v3,SAC
174,288.760888177629,870000,BipedalWalker-v3,SAC
175,309.994088102909,875000,BipedalWalker-v3,SAC
176,313.256952253885,880000,BipedalWalker-v3,SAC
177,311.541411070337,885000,BipedalWalker-v3,SAC
178,315.165534327843,890000,BipedalWalker-v3,SAC
179,312.221843704651,895000,BipedalWalker-v3,SAC
180,309.066022119884,900000,BipedalWalker-v3,SAC
181,312.302983531068,905000,BipedalWalker-v3,SAC
182,312.868810969921,910000,BipedalWalker-v3,SAC
183,273.361030708123,915000,BipedalWalker-v3,SAC
184,310.53946399424,920000,BipedalWalker-v3,SAC
185,309.765943215647,925000,BipedalWalker-v3,SAC
186,299.069270748979,930000,BipedalWalker-v3,SAC
187,310.35907350934,935000,BipedalWalker-v3,SAC
188,311.150199868232,940000,BipedalWalker-v3,SAC
189,308.130254146501,945000,BipedalWalker-v3,SAC
190,311.350064237769,950000,BipedalWalker-v3,SAC
191,292.560559380404,955000,BipedalWalker-v3,SAC
192,314.125727357688,960000,BipedalWalker-v3,SAC
193,284.289651540005,965000,BipedalWalker-v3,SAC
194,223.015221961973,970000,BipedalWalker-v3,SAC
195,317.57566930157,975000,BipedalWalker-v3,SAC
196,313.93080170858,980000,BipedalWalker-v3,SAC
197,310.238585335423,985000,BipedalWalker-v3,SAC
198,319.189825129314,990000,BipedalWalker-v3,SAC
199,314.306120857129,995000,BipedalWalker-v3,SAC
200,284.883576505451,1000000,BipedalWalker-v3,SAC
