index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-114.10620133060713,0,BipedalWalker-v3,SACSYS,0,0
1,-101.86431317692451,5000,BipedalWalker-v3,SACSYS,5000,5000
2,-132.882184480728,10000,BipedalWalker-v3,SACSYS,10000,10000
3,-87.75475527077788,15000,BipedalWalker-v3,SACSYS,15000,15000
4,-103.04612600058373,20000,BipedalWalker-v3,SACSYS,20000,20000
5,-95.5467598303408,25000,BipedalWalker-v3,SACSYS,25000,25000
6,-101.13717657483132,30000,BipedalWalker-v3,SACSYS,30000,30000
7,-62.802939749753726,35000,BipedalWalker-v3,SACSYS,35000,35000
8,-84.54915199557277,40000,BipedalWalker-v3,SACSYS,40000,40000
9,-91.8105109568317,45000,BipedalWalker-v3,SACSYS,45000,45000
10,-78.35054239908277,50000,BipedalWalker-v3,SACSYS,50000,50000
11,-75.62224177616443,55000,BipedalWalker-v3,SACSYS,55000,55000
12,-73.79990725762477,60000,BipedalWalker-v3,SACSYS,60000,60000
13,-68.14413743499293,65000,BipedalWalker-v3,SACSYS,65000,65000
14,-46.69262585168586,70000,BipedalWalker-v3,SACSYS,70000,70000
15,-38.54927979101959,75000,BipedalWalker-v3,SACSYS,75000,75000
16,-66.07320573161405,80000,BipedalWalker-v3,SACSYS,80000,80000
17,-93.16622349240733,85000,BipedalWalker-v3,SACSYS,85000,85000
18,-56.83558780389908,90000,BipedalWalker-v3,SACSYS,90000,90000
19,-51.89290660852042,95000,BipedalWalker-v3,SACSYS,95000,95000
20,-82.57292073895863,100000,BipedalWalker-v3,SACSYS,100000,100000
21,-88.45112930950512,105000,BipedalWalker-v3,SACSYS,105000,105000
22,-110.40622904143521,110000,BipedalWalker-v3,SACSYS,110000,110000
23,-59.19624944466151,115000,BipedalWalker-v3,SACSYS,115000,115000
24,-63.049751740947826,120000,BipedalWalker-v3,SACSYS,120000,120000
25,-90.27016400751135,125000,BipedalWalker-v3,SACSYS,125000,125000
26,-26.33673896345521,130000,BipedalWalker-v3,SACSYS,130000,130000
27,-101.11405286579536,135000,BipedalWalker-v3,SACSYS,135000,135000
28,-46.29142381226404,140000,BipedalWalker-v3,SACSYS,140000,140000
29,-63.606311872119896,145000,BipedalWalker-v3,SACSYS,145000,145000
30,-60.34625313952718,150000,BipedalWalker-v3,SACSYS,150000,150000
31,-82.79926775097141,155000,BipedalWalker-v3,SACSYS,155000,155000
32,-26.919645720984807,160000,BipedalWalker-v3,SACSYS,160000,160000
33,-71.21476182325905,165000,BipedalWalker-v3,SACSYS,165000,165000
34,-96.99911396785843,170000,BipedalWalker-v3,SACSYS,170000,170000
35,-61.594856477738034,175000,BipedalWalker-v3,SACSYS,175000,175000
36,-133.42543340018443,180000,BipedalWalker-v3,SACSYS,180000,180000
37,-70.54341080289701,185000,BipedalWalker-v3,SACSYS,185000,185000
38,-46.5855157389765,190000,BipedalWalker-v3,SACSYS,190000,190000
39,-36.2028415714641,195000,BipedalWalker-v3,SACSYS,195000,195000
40,-54.83020159882058,200000,BipedalWalker-v3,SACSYS,200000,200000
41,-79.46375740709756,205000,BipedalWalker-v3,SACSYS,205000,205000
42,-15.812413765802381,210000,BipedalWalker-v3,SACSYS,210000,210000
43,-12.373289862117147,215000,BipedalWalker-v3,SACSYS,215000,215000
44,69.16402159880529,220000,BipedalWalker-v3,SACSYS,220000,220000
45,-26.92645079996016,225000,BipedalWalker-v3,SACSYS,225000,225000
46,14.72191661753742,230000,BipedalWalker-v3,SACSYS,230000,230000
