index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-3.181760814435932,0,BipedalWalker-v3,SYS_QRDW,0,0
1,-3.181760814435932,10000,BipedalWalker-v3,SYS_QRDW,5000,5000
2,-107.14656050429848,20000,BipedalWalker-v3,SYS_QRDW,10000,10000
3,-98.12086848313605,30000,BipedalWalker-v3,SYS_QRDW,15000,15000
4,-97.22729000929328,40000,BipedalWalker-v3,SYS_QRDW,20000,20000
5,-70.8677230034613,50000,BipedalWalker-v3,SYS_QRDW,25000,25000
6,-78.97398484893239,60000,BipedalWalker-v3,SYS_QRDW,30000,30000
7,-84.26647934099293,70000,BipedalWalker-v3,SYS_QRDW,35000,35000
8,-106.609041026398,80000,BipedalWalker-v3,SYS_QRDW,40000,40000
9,-60.94111873035189,90000,BipedalWalker-v3,SYS_QRDW,45000,45000
10,-81.92279282158788,100000,BipedalWalker-v3,SYS_QRDW,50000,50000
11,-124.48240584892629,110000,BipedalWalker-v3,SYS_QRDW,55000,55000
12,-74.66352364553119,120000,BipedalWalker-v3,SYS_QRDW,60000,60000
13,-41.66718827376085,130000,BipedalWalker-v3,SYS_QRDW,65000,65000
14,-18.502105822912807,140000,BipedalWalker-v3,SYS_QRDW,70000,70000
15,-50.07450903897995,150000,BipedalWalker-v3,SYS_QRDW,75000,75000
16,237.91673703653703,160000,BipedalWalker-v3,SYS_QRDW,80000,80000
17,-29.386489275298143,170000,BipedalWalker-v3,SYS_QRDW,85000,85000
18,228.67724334019297,180000,BipedalWalker-v3,SYS_QRDW,90000,90000
19,221.82395717061573,190000,BipedalWalker-v3,SYS_QRDW,95000,95000
20,127.78057769012725,200000,BipedalWalker-v3,SYS_QRDW,100000,100000
21,231.77794781893985,210000,BipedalWalker-v3,SYS_QRDW,105000,105000
22,275.7174862203772,220000,BipedalWalker-v3,SYS_QRDW,110000,110000
23,270.4632655525554,230000,BipedalWalker-v3,SYS_QRDW,115000,115000
24,284.3317126713165,240000,BipedalWalker-v3,SYS_QRDW,120000,120000
25,293.27580988881715,250000,BipedalWalker-v3,SYS_QRDW,125000,125000
26,266.82957254324776,260000,BipedalWalker-v3,SYS_QRDW,130000,130000
27,293.6121726980508,270000,BipedalWalker-v3,SYS_QRDW,135000,135000
28,301.28617586703194,280000,BipedalWalker-v3,SYS_QRDW,140000,140000
29,300.58962441670604,290000,BipedalWalker-v3,SYS_QRDW,145000,145000
30,294.90629220589403,300000,BipedalWalker-v3,SYS_QRDW,150000,150000
31,301.4586264615353,310000,BipedalWalker-v3,SYS_QRDW,155000,155000
32,277.01498523262103,320000,BipedalWalker-v3,SYS_QRDW,160000,160000
33,261.8108977099081,330000,BipedalWalker-v3,SYS_QRDW,165000,165000
34,301.47137565539094,340000,BipedalWalker-v3,SYS_QRDW,170000,170000
35,297.99903777790195,350000,BipedalWalker-v3,SYS_QRDW,175000,175000
36,296.7392907708896,360000,BipedalWalker-v3,SYS_QRDW,180000,180000
37,300.60078404189187,370000,BipedalWalker-v3,SYS_QRDW,185000,185000
38,241.7604549726216,380000,BipedalWalker-v3,SYS_QRDW,190000,190000
39,300.51895733214167,390000,BipedalWalker-v3,SYS_QRDW,195000,195000
40,300.5381899332598,400000,BipedalWalker-v3,SYS_QRDW,200000,200000
41,296.97718332779414,410000,BipedalWalker-v3,SYS_QRDW,205000,205000
42,303.97009776082365,420000,BipedalWalker-v3,SYS_QRDW,210000,210000
43,308.2228189354793,430000,BipedalWalker-v3,SYS_QRDW,215000,215000
44,238.7172462995007,440000,BipedalWalker-v3,SYS_QRDW,220000,220000
45,307.5893820203568,450000,BipedalWalker-v3,SYS_QRDW,225000,225000
46,305.66978683096727,460000,BipedalWalker-v3,SYS_QRDW,230000,230000
47,307.22230410900846,470000,BipedalWalker-v3,SYS_QRDW,235000,235000
48,308.2233897495654,480000,BipedalWalker-v3,SYS_QRDW,240000,240000
49,307.41221267568505,490000,BipedalWalker-v3,SYS_QRDW,245000,245000
50,311.0264058895676,500000,BipedalWalker-v3,SYS_QRDW,250000,250000
51,308.08269184677727,510000,BipedalWalker-v3,SYS_QRDW,255000,255000
52,306.05550063144887,520000,BipedalWalker-v3,SYS_QRDW,260000,260000
53,307.4295395265216,530000,BipedalWalker-v3,SYS_QRDW,265000,265000
54,305.3750059553996,540000,BipedalWalker-v3,SYS_QRDW,270000,270000
55,306.2270062189571,550000,BipedalWalker-v3,SYS_QRDW,275000,275000
56,307.20729756307554,560000,BipedalWalker-v3,SYS_QRDW,280000,280000
57,303.64049891477174,570000,BipedalWalker-v3,SYS_QRDW,285000,285000
58,311.50408106899044,580000,BipedalWalker-v3,SYS_QRDW,290000,290000
59,308.2104279602751,590000,BipedalWalker-v3,SYS_QRDW,295000,295000
60,316.2907365039798,600000,BipedalWalker-v3,SYS_QRDW,300000,300000
61,307.66237937889167,610000,BipedalWalker-v3,SYS_QRDW,305000,305000
62,305.0514718522923,620000,BipedalWalker-v3,SYS_QRDW,310000,310000
63,308.29782346496035,630000,BipedalWalker-v3,SYS_QRDW,315000,315000
64,311.9621307682866,640000,BipedalWalker-v3,SYS_QRDW,320000,320000
65,313.3504839292781,650000,BipedalWalker-v3,SYS_QRDW,325000,325000
66,308.1533094466862,660000,BipedalWalker-v3,SYS_QRDW,330000,330000
67,315.24838282767473,670000,BipedalWalker-v3,SYS_QRDW,335000,335000
68,310.2155722058,680000,BipedalWalker-v3,SYS_QRDW,340000,340000
69,312.89751816790294,690000,BipedalWalker-v3,SYS_QRDW,345000,345000
70,308.8057201126338,700000,BipedalWalker-v3,SYS_QRDW,350000,350000
71,310.86725919870827,710000,BipedalWalker-v3,SYS_QRDW,355000,355000
72,310.840768261613,720000,BipedalWalker-v3,SYS_QRDW,360000,360000
73,307.22439979318904,730000,BipedalWalker-v3,SYS_QRDW,365000,365000
74,308.4707403527725,740000,BipedalWalker-v3,SYS_QRDW,370000,370000
75,313.4215779116385,750000,BipedalWalker-v3,SYS_QRDW,375000,375000
76,312.8675255810968,760000,BipedalWalker-v3,SYS_QRDW,380000,380000
77,309.36496772218857,770000,BipedalWalker-v3,SYS_QRDW,385000,385000
78,308.75979731121305,780000,BipedalWalker-v3,SYS_QRDW,390000,390000
79,311.1442551346052,790000,BipedalWalker-v3,SYS_QRDW,395000,395000
80,310.29948029727365,800000,BipedalWalker-v3,SYS_QRDW,400000,400000
81,313.61868900071653,810000,BipedalWalker-v3,SYS_QRDW,405000,405000
82,309.69285048887934,820000,BipedalWalker-v3,SYS_QRDW,410000,410000
83,311.0251517548328,830000,BipedalWalker-v3,SYS_QRDW,415000,415000
84,310.18985693966414,840000,BipedalWalker-v3,SYS_QRDW,420000,420000
85,310.6475870482132,850000,BipedalWalker-v3,SYS_QRDW,425000,425000
86,315.27652998722414,860000,BipedalWalker-v3,SYS_QRDW,430000,430000
