index,Average Return,Timesteps,env,algorithm_name
0,-111.90523447537257,0,BipedalWalker-v3,TD3
1,-111.90523447537257,5000,BipedalWalker-v3,TD3
2,-111.90523447537257,10000,BipedalWalker-v3,TD3
3,-107.33675473508234,15000,BipedalWalker-v3,TD3
4,-115.64378721120056,20000,BipedalWalker-v3,TD3
5,-102.84039311931114,25000,BipedalWalker-v3,TD3
6,-94.842456332424,30000,BipedalWalker-v3,TD3
7,-105.54313984114592,35000,BipedalWalker-v3,TD3
8,-121.04341189791565,40000,BipedalWalker-v3,TD3
9,-100.2830196975869,45000,BipedalWalker-v3,TD3
10,-87.24618128066766,50000,BipedalWalker-v3,TD3
11,-74.22497472683621,55000,BipedalWalker-v3,TD3
12,-67.17534095893754,60000,BipedalWalker-v3,TD3
13,-80.36753895369142,65000,BipedalWalker-v3,TD3
14,-45.97455853161789,70000,BipedalWalker-v3,TD3
15,-88.3294359164274,75000,BipedalWalker-v3,TD3
16,-86.13907593464019,80000,BipedalWalker-v3,TD3
17,-99.2032706732618,85000,BipedalWalker-v3,TD3
18,-143.08573064709557,90000,BipedalWalker-v3,TD3
19,-124.49164466684664,95000,BipedalWalker-v3,TD3
20,-108.90463168622468,100000,BipedalWalker-v3,TD3
21,-68.1461614930464,105000,BipedalWalker-v3,TD3
22,-66.77366104578957,110000,BipedalWalker-v3,TD3
23,-117.3461372208637,115000,BipedalWalker-v3,TD3
24,-116.47460982939864,120000,BipedalWalker-v3,TD3
25,-79.76478604308596,125000,BipedalWalker-v3,TD3
26,-106.63850087036084,130000,BipedalWalker-v3,TD3
27,-69.57005034233882,135000,BipedalWalker-v3,TD3
28,-68.37994386520083,140000,BipedalWalker-v3,TD3
29,-35.27944370470908,145000,BipedalWalker-v3,TD3
30,-29.091796336889622,150000,BipedalWalker-v3,TD3
31,-56.432074251030976,155000,BipedalWalker-v3,TD3
32,-58.97309849167514,160000,BipedalWalker-v3,TD3
33,-59.94927086342493,165000,BipedalWalker-v3,TD3
34,-60.53044423295158,170000,BipedalWalker-v3,TD3
35,-32.1192910521888,175000,BipedalWalker-v3,TD3
36,-64.70398866014206,180000,BipedalWalker-v3,TD3
37,-110.75051766036547,185000,BipedalWalker-v3,TD3
38,-77.35924428265051,190000,BipedalWalker-v3,TD3
39,-97.79526459530076,195000,BipedalWalker-v3,TD3
40,-52.91281405131074,200000,BipedalWalker-v3,TD3
41,-69.38582626184217,205000,BipedalWalker-v3,TD3
42,-131.55962528892536,210000,BipedalWalker-v3,TD3
43,-76.14944422138974,215000,BipedalWalker-v3,TD3
44,-73.68283022604662,220000,BipedalWalker-v3,TD3
45,-52.6980604788878,225000,BipedalWalker-v3,TD3
46,-47.24897718135436,230000,BipedalWalker-v3,TD3
47,-102.58923877274437,235000,BipedalWalker-v3,TD3
48,-78.96226170233182,240000,BipedalWalker-v3,TD3
49,-80.78370866434624,245000,BipedalWalker-v3,TD3
50,-22.17892843786245,250000,BipedalWalker-v3,TD3
51,-22.054408786676188,255000,BipedalWalker-v3,TD3
52,-29.678191486684405,260000,BipedalWalker-v3,TD3
53,-82.27106364703886,265000,BipedalWalker-v3,TD3
54,-32.65126719742845,270000,BipedalWalker-v3,TD3
55,-52.84642116864617,275000,BipedalWalker-v3,TD3
56,-27.73148454059397,280000,BipedalWalker-v3,TD3
57,-61.47378179352139,285000,BipedalWalker-v3,TD3
58,-57.93125779819212,290000,BipedalWalker-v3,TD3
59,-45.61739746912962,295000,BipedalWalker-v3,TD3
60,-55.87213182420764,300000,BipedalWalker-v3,TD3
61,-51.37779807520072,305000,BipedalWalker-v3,TD3
62,-69.42204371931331,310000,BipedalWalker-v3,TD3
63,-55.594356212865065,315000,BipedalWalker-v3,TD3
64,-119.7525580907226,320000,BipedalWalker-v3,TD3
65,-41.1307424782869,325000,BipedalWalker-v3,TD3
66,-43.56539998571492,330000,BipedalWalker-v3,TD3
67,-76.84446931898927,335000,BipedalWalker-v3,TD3
68,-69.63411582849946,340000,BipedalWalker-v3,TD3
69,-46.68820907095846,345000,BipedalWalker-v3,TD3
70,-51.48264968166891,350000,BipedalWalker-v3,TD3
71,-32.16071931670107,355000,BipedalWalker-v3,TD3
72,-41.06457688181608,360000,BipedalWalker-v3,TD3
73,-42.208621096543695,365000,BipedalWalker-v3,TD3
74,-47.78474608142055,370000,BipedalWalker-v3,TD3
75,-45.335663696939285,375000,BipedalWalker-v3,TD3
76,-46.326202910703806,380000,BipedalWalker-v3,TD3
77,-42.477641167779424,385000,BipedalWalker-v3,TD3
78,-31.652461687721,390000,BipedalWalker-v3,TD3
79,-33.59852350989267,395000,BipedalWalker-v3,TD3
80,-41.869233437688166,400000,BipedalWalker-v3,TD3
81,-44.23731130886471,405000,BipedalWalker-v3,TD3
82,-42.63168133354819,410000,BipedalWalker-v3,TD3
83,-35.9312318700352,415000,BipedalWalker-v3,TD3
84,-32.17566270491093,420000,BipedalWalker-v3,TD3
85,-14.768585363129375,425000,BipedalWalker-v3,TD3
86,-47.62743255356973,430000,BipedalWalker-v3,TD3
87,-7.278605984974749,435000,BipedalWalker-v3,TD3
88,-19.910941191463856,440000,BipedalWalker-v3,TD3
89,-43.53637718118562,445000,BipedalWalker-v3,TD3
90,22.371794545702578,450000,BipedalWalker-v3,TD3
91,28.3597460417011,455000,BipedalWalker-v3,TD3
92,33.01307617979721,460000,BipedalWalker-v3,TD3
93,39.5679294928217,465000,BipedalWalker-v3,TD3
94,38.00856181886467,470000,BipedalWalker-v3,TD3
95,21.405157360260056,475000,BipedalWalker-v3,TD3
96,26.06846686964122,480000,BipedalWalker-v3,TD3
97,13.061184776702635,485000,BipedalWalker-v3,TD3
98,55.14643422940037,490000,BipedalWalker-v3,TD3
99,59.02160324242296,495000,BipedalWalker-v3,TD3
100,74.61579747708065,500000,BipedalWalker-v3,TD3
101,38.02143427754446,505000,BipedalWalker-v3,TD3
102,73.87523341635116,510000,BipedalWalker-v3,TD3
103,89.58732249253657,515000,BipedalWalker-v3,TD3
104,88.15223495262529,520000,BipedalWalker-v3,TD3
105,108.33917841608216,525000,BipedalWalker-v3,TD3
106,102.99094956874268,530000,BipedalWalker-v3,TD3
107,103.26875035877048,535000,BipedalWalker-v3,TD3
108,114.31458646010768,540000,BipedalWalker-v3,TD3
109,-110.88745129016138,545000,BipedalWalker-v3,TD3
110,113.34926071993088,550000,BipedalWalker-v3,TD3
111,125.94476409859456,555000,BipedalWalker-v3,TD3
112,122.02541690355028,560000,BipedalWalker-v3,TD3
113,135.49672436090626,565000,BipedalWalker-v3,TD3
114,73.49635228860984,570000,BipedalWalker-v3,TD3
115,109.4717566834767,575000,BipedalWalker-v3,TD3
116,135.8157612036186,580000,BipedalWalker-v3,TD3
117,141.6188693413672,585000,BipedalWalker-v3,TD3
118,116.86843645563708,590000,BipedalWalker-v3,TD3
119,141.00800518554573,595000,BipedalWalker-v3,TD3
120,139.85745446041355,600000,BipedalWalker-v3,TD3
121,138.53841325545488,605000,BipedalWalker-v3,TD3
122,146.12360730324045,610000,BipedalWalker-v3,TD3
123,157.06238673016512,615000,BipedalWalker-v3,TD3
124,145.70556075400754,620000,BipedalWalker-v3,TD3
125,160.4066745821141,625000,BipedalWalker-v3,TD3
126,124.88953086292564,630000,BipedalWalker-v3,TD3
127,171.5046349483554,635000,BipedalWalker-v3,TD3
128,166.0771200766967,640000,BipedalWalker-v3,TD3
129,146.65888500591635,645000,BipedalWalker-v3,TD3
