index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-92.5610589760615,0,BipedalWalker-v3,TD3,0,0
1,-92.5610589760615,10000,BipedalWalker-v3,TD3,5000,5000
2,-113.13849684443895,20000,BipedalWalker-v3,TD3,10000,10000
3,-93.0374863318978,30000,BipedalWalker-v3,TD3,15000,15000
4,-95.72327545190359,40000,BipedalWalker-v3,TD3,20000,20000
5,-99.35150907859034,50000,BipedalWalker-v3,TD3,25000,25000
6,-65.61923571870312,60000,BipedalWalker-v3,TD3,30000,30000
7,-100.79349549119853,70000,BipedalWalker-v3,TD3,35000,35000
8,-115.2915210031523,80000,BipedalWalker-v3,TD3,40000,40000
9,-64.69355565501418,90000,BipedalWalker-v3,TD3,45000,45000
10,-80.41825726731074,100000,BipedalWalker-v3,TD3,50000,50000
11,-53.3353834063967,110000,BipedalWalker-v3,TD3,55000,55000
12,-22.575926502756282,120000,BipedalWalker-v3,TD3,60000,60000
13,-95.75811509371582,130000,BipedalWalker-v3,TD3,65000,65000
14,-90.61148200341148,140000,BipedalWalker-v3,TD3,70000,70000
15,118.61219222450238,150000,BipedalWalker-v3,TD3,75000,75000
16,-7.183062233905402,160000,BipedalWalker-v3,TD3,80000,80000
17,162.03546959384656,170000,BipedalWalker-v3,TD3,85000,85000
18,229.3736124231601,180000,BipedalWalker-v3,TD3,90000,90000
19,208.6885304266344,190000,BipedalWalker-v3,TD3,95000,95000
20,238.39117151323688,200000,BipedalWalker-v3,TD3,100000,100000
21,-87.34306223973411,210000,BipedalWalker-v3,TD3,105000,105000
22,252.9994645730431,220000,BipedalWalker-v3,TD3,110000,110000
23,276.368955700108,230000,BipedalWalker-v3,TD3,115000,115000
24,233.8558906870491,240000,BipedalWalker-v3,TD3,120000,120000
25,284.83385239533806,250000,BipedalWalker-v3,TD3,125000,125000
26,284.79935001710817,260000,BipedalWalker-v3,TD3,130000,130000
27,286.5595320178353,270000,BipedalWalker-v3,TD3,135000,135000
28,286.10985625351316,280000,BipedalWalker-v3,TD3,140000,140000
29,289.4994418617178,290000,BipedalWalker-v3,TD3,145000,145000
30,292.9501173215635,300000,BipedalWalker-v3,TD3,150000,150000
31,295.7928312251686,310000,BipedalWalker-v3,TD3,155000,155000
32,292.25031593425115,320000,BipedalWalker-v3,TD3,160000,160000
33,291.8284259797432,330000,BipedalWalker-v3,TD3,165000,165000
34,293.99112335431295,340000,BipedalWalker-v3,TD3,170000,170000
35,293.15962853864613,350000,BipedalWalker-v3,TD3,175000,175000
36,191.3624513651593,360000,BipedalWalker-v3,TD3,180000,180000
37,291.9468688285591,370000,BipedalWalker-v3,TD3,185000,185000
38,293.8652559650292,380000,BipedalWalker-v3,TD3,190000,190000
39,292.3939054810717,390000,BipedalWalker-v3,TD3,195000,195000
40,140.69513984869369,400000,BipedalWalker-v3,TD3,200000,200000
41,295.0430118113528,410000,BipedalWalker-v3,TD3,205000,205000
42,249.02525124112557,420000,BipedalWalker-v3,TD3,210000,210000
43,247.5156707440573,430000,BipedalWalker-v3,TD3,215000,215000
44,275.26245984781934,440000,BipedalWalker-v3,TD3,220000,220000
45,299.1818395690279,450000,BipedalWalker-v3,TD3,225000,225000
46,298.9901690301543,460000,BipedalWalker-v3,TD3,230000,230000
47,264.9149997855566,470000,BipedalWalker-v3,TD3,235000,235000
48,302.57961556365933,480000,BipedalWalker-v3,TD3,240000,240000
49,299.8416073536663,490000,BipedalWalker-v3,TD3,245000,245000
50,276.8241685003788,500000,BipedalWalker-v3,TD3,250000,250000
51,189.78370509291017,510000,BipedalWalker-v3,TD3,255000,255000
52,305.2305984042215,520000,BipedalWalker-v3,TD3,260000,260000
53,305.5277024961842,530000,BipedalWalker-v3,TD3,265000,265000
54,306.53693673380764,540000,BipedalWalker-v3,TD3,270000,270000
55,308.3610563337076,550000,BipedalWalker-v3,TD3,275000,275000
56,311.2155340204933,560000,BipedalWalker-v3,TD3,280000,280000
57,314.5357057607133,570000,BipedalWalker-v3,TD3,285000,285000
58,254.98902773670483,580000,BipedalWalker-v3,TD3,290000,290000
59,305.2122730366803,590000,BipedalWalker-v3,TD3,295000,295000
60,307.85866460274565,600000,BipedalWalker-v3,TD3,300000,300000
61,308.1823353334653,610000,BipedalWalker-v3,TD3,305000,305000
62,307.4768544972511,620000,BipedalWalker-v3,TD3,310000,310000
63,310.39260011139726,630000,BipedalWalker-v3,TD3,315000,315000
64,235.41434579914062,640000,BipedalWalker-v3,TD3,320000,320000
65,310.81590239091463,650000,BipedalWalker-v3,TD3,325000,325000
66,310.99507219833527,660000,BipedalWalker-v3,TD3,330000,330000
67,310.7753571065362,670000,BipedalWalker-v3,TD3,335000,335000
68,311.8567133014832,680000,BipedalWalker-v3,TD3,340000,340000
69,291.3819207899668,690000,BipedalWalker-v3,TD3,345000,345000
70,306.68093993392574,700000,BipedalWalker-v3,TD3,350000,350000
71,312.2703996087095,710000,BipedalWalker-v3,TD3,355000,355000
72,306.99343504064814,720000,BipedalWalker-v3,TD3,360000,360000
73,253.96423887275267,730000,BipedalWalker-v3,TD3,365000,365000
74,308.9716083061928,740000,BipedalWalker-v3,TD3,370000,370000
75,304.4211417815908,750000,BipedalWalker-v3,TD3,375000,375000
76,312.7932306804296,760000,BipedalWalker-v3,TD3,380000,380000
77,307.9992665463775,770000,BipedalWalker-v3,TD3,385000,385000
78,313.5381769873839,780000,BipedalWalker-v3,TD3,390000,390000
79,314.26654415667815,790000,BipedalWalker-v3,TD3,395000,395000
80,307.6818100554053,800000,BipedalWalker-v3,TD3,400000,400000
81,316.032895690848,810000,BipedalWalker-v3,TD3,405000,405000
82,312.6460110592923,820000,BipedalWalker-v3,TD3,410000,410000
83,313.8796541892216,830000,BipedalWalker-v3,TD3,415000,415000
84,317.4701207313447,840000,BipedalWalker-v3,TD3,420000,420000
85,312.8345423703867,850000,BipedalWalker-v3,TD3,425000,425000
86,291.72422549545365,860000,BipedalWalker-v3,TD3,430000,430000
87,290.03778198046643,870000,BipedalWalker-v3,TD3,435000,435000
88,313.2555183902998,880000,BipedalWalker-v3,TD3,440000,440000
89,310.7386679930408,890000,BipedalWalker-v3,TD3,445000,445000
90,284.38643818908656,900000,BipedalWalker-v3,TD3,450000,450000
91,309.74609536607244,910000,BipedalWalker-v3,TD3,455000,455000
92,195.89645374402352,920000,BipedalWalker-v3,TD3,460000,460000
93,307.69011043853646,930000,BipedalWalker-v3,TD3,465000,465000
94,309.7646414560812,940000,BipedalWalker-v3,TD3,470000,470000
95,314.61231203132735,950000,BipedalWalker-v3,TD3,475000,475000
96,306.93663898228715,960000,BipedalWalker-v3,TD3,480000,480000
97,307.8892873802289,970000,BipedalWalker-v3,TD3,485000,485000
98,314.08918121022776,980000,BipedalWalker-v3,TD3,490000,490000
99,310.4779470114657,990000,BipedalWalker-v3,TD3,495000,495000
100,309.08382107530986,1000000,BipedalWalker-v3,TD3,500000,500000
