index,Average Return,Timesteps,env,algorithm_name
0,-92.71972168067896,0,BipedalWalker-v3,TD3_FORK
1,-92.7272778797793,5000,BipedalWalker-v3,TD3_FORK
2,-92.7241329402626,10000,BipedalWalker-v3,TD3_FORK
3,-112.89267439983414,15000,BipedalWalker-v3,TD3_FORK
4,-76.46905241909077,20000,BipedalWalker-v3,TD3_FORK
5,-115.0454382959082,25000,BipedalWalker-v3,TD3_FORK
6,-99.1098617503416,30000,BipedalWalker-v3,TD3_FORK
7,-110.72904681947412,35000,BipedalWalker-v3,TD3_FORK
8,-105.70771515517212,40000,BipedalWalker-v3,TD3_FORK
9,-109.50957874191376,45000,BipedalWalker-v3,TD3_FORK
10,-69.48786176293717,50000,BipedalWalker-v3,TD3_FORK
11,-110.07223145842036,55000,BipedalWalker-v3,TD3_FORK
12,-49.009270013787855,60000,BipedalWalker-v3,TD3_FORK
13,-79.71536309226357,65000,BipedalWalker-v3,TD3_FORK
14,-114.4698020977166,70000,BipedalWalker-v3,TD3_FORK
15,121.90671733751768,75000,BipedalWalker-v3,TD3_FORK
16,-48.31147674716222,80000,BipedalWalker-v3,TD3_FORK
17,9.398916364012733,85000,BipedalWalker-v3,TD3_FORK
18,103.75156882984538,90000,BipedalWalker-v3,TD3_FORK
19,90.78896916749434,95000,BipedalWalker-v3,TD3_FORK
20,274.4061128859497,100000,BipedalWalker-v3,TD3_FORK
21,24.10194642750707,105000,BipedalWalker-v3,TD3_FORK
22,254.31625241685435,110000,BipedalWalker-v3,TD3_FORK
23,251.0212139217108,115000,BipedalWalker-v3,TD3_FORK
24,111.11531179289804,120000,BipedalWalker-v3,TD3_FORK
25,264.73868049612173,125000,BipedalWalker-v3,TD3_FORK
26,262.81786130666023,130000,BipedalWalker-v3,TD3_FORK
27,267.83537723630894,135000,BipedalWalker-v3,TD3_FORK
28,238.97208637180796,140000,BipedalWalker-v3,TD3_FORK
29,266.8963744794712,145000,BipedalWalker-v3,TD3_FORK
30,293.91426825359576,150000,BipedalWalker-v3,TD3_FORK
31,289.7531736135357,155000,BipedalWalker-v3,TD3_FORK
32,230.3830035851185,160000,BipedalWalker-v3,TD3_FORK
33,274.5618304211023,165000,BipedalWalker-v3,TD3_FORK
34,180.04098938720844,170000,BipedalWalker-v3,TD3_FORK
35,295.2547473940311,175000,BipedalWalker-v3,TD3_FORK
36,282.2520225777465,180000,BipedalWalker-v3,TD3_FORK
37,295.39517104450084,185000,BipedalWalker-v3,TD3_FORK
38,291.4679632063031,190000,BipedalWalker-v3,TD3_FORK
39,294.19272468980984,195000,BipedalWalker-v3,TD3_FORK
40,264.5460404569893,200000,BipedalWalker-v3,TD3_FORK
41,279.08392941031707,205000,BipedalWalker-v3,TD3_FORK
42,298.6266528679729,210000,BipedalWalker-v3,TD3_FORK
43,300.41145991583613,215000,BipedalWalker-v3,TD3_FORK
44,256.83001636119263,220000,BipedalWalker-v3,TD3_FORK
45,278.8640410265962,225000,BipedalWalker-v3,TD3_FORK
46,300.9704271578833,230000,BipedalWalker-v3,TD3_FORK
47,302.6845493961313,235000,BipedalWalker-v3,TD3_FORK
48,282.4685314447639,240000,BipedalWalker-v3,TD3_FORK
49,309.8786328733015,245000,BipedalWalker-v3,TD3_FORK
50,305.37012473419503,250000,BipedalWalker-v3,TD3_FORK
51,275.714666659533,255000,BipedalWalker-v3,TD3_FORK
52,307.35074135016083,260000,BipedalWalker-v3,TD3_FORK
53,309.511348368563,265000,BipedalWalker-v3,TD3_FORK
54,304.7653134271847,270000,BipedalWalker-v3,TD3_FORK
55,314.1713807259475,275000,BipedalWalker-v3,TD3_FORK
56,92.3366179099938,280000,BipedalWalker-v3,TD3_FORK
57,270.2005678869074,285000,BipedalWalker-v3,TD3_FORK
58,308.03670134528664,290000,BipedalWalker-v3,TD3_FORK
59,308.89533306714486,295000,BipedalWalker-v3,TD3_FORK
60,301.3415506333945,300000,BipedalWalker-v3,TD3_FORK
61,273.1100976431069,305000,BipedalWalker-v3,TD3_FORK
62,-95.04603422846525,310000,BipedalWalker-v3,TD3_FORK
63,309.2779751502324,315000,BipedalWalker-v3,TD3_FORK
64,312.2623580988793,320000,BipedalWalker-v3,TD3_FORK
65,310.0574683261425,325000,BipedalWalker-v3,TD3_FORK
66,313.0005913051627,330000,BipedalWalker-v3,TD3_FORK
67,287.14407845785576,335000,BipedalWalker-v3,TD3_FORK
68,314.72224726404346,340000,BipedalWalker-v3,TD3_FORK
69,293.2018656738892,345000,BipedalWalker-v3,TD3_FORK
70,292.5046612177456,350000,BipedalWalker-v3,TD3_FORK
71,312.7019641009648,355000,BipedalWalker-v3,TD3_FORK
72,310.50751019755745,360000,BipedalWalker-v3,TD3_FORK
73,226.84996273255211,365000,BipedalWalker-v3,TD3_FORK
74,269.4850427493879,370000,BipedalWalker-v3,TD3_FORK
75,216.338457110913,375000,BipedalWalker-v3,TD3_FORK
76,281.62364769748694,380000,BipedalWalker-v3,TD3_FORK
77,313.1452305237452,385000,BipedalWalker-v3,TD3_FORK
78,312.02946537694544,390000,BipedalWalker-v3,TD3_FORK
79,305.46823946788345,395000,BipedalWalker-v3,TD3_FORK
80,309.81733044213115,400000,BipedalWalker-v3,TD3_FORK
81,309.17508092821964,405000,BipedalWalker-v3,TD3_FORK
82,306.53561684086264,410000,BipedalWalker-v3,TD3_FORK
83,217.35499683729213,415000,BipedalWalker-v3,TD3_FORK
84,311.3375128309856,420000,BipedalWalker-v3,TD3_FORK
85,224.87738629101267,425000,BipedalWalker-v3,TD3_FORK
86,211.26936685965148,430000,BipedalWalker-v3,TD3_FORK
87,300.2708178773526,435000,BipedalWalker-v3,TD3_FORK
88,310.99483463291034,440000,BipedalWalker-v3,TD3_FORK
89,315.8882070265622,445000,BipedalWalker-v3,TD3_FORK
90,280.44579641417414,450000,BipedalWalker-v3,TD3_FORK
91,281.41758311784724,455000,BipedalWalker-v3,TD3_FORK
92,293.11359137224696,460000,BipedalWalker-v3,TD3_FORK
93,315.0485003720588,465000,BipedalWalker-v3,TD3_FORK
94,309.1970238831515,470000,BipedalWalker-v3,TD3_FORK
95,318.24057657721653,475000,BipedalWalker-v3,TD3_FORK
96,313.7042357699314,480000,BipedalWalker-v3,TD3_FORK
97,288.2891492892285,485000,BipedalWalker-v3,TD3_FORK
98,309.85189105760554,490000,BipedalWalker-v3,TD3_FORK
99,266.7123013222078,495000,BipedalWalker-v3,TD3_FORK
100,316.2056753201312,500000,BipedalWalker-v3,TD3_FORK
101,293.73680231697483,505000,BipedalWalker-v3,TD3_FORK
102,315.6881256264552,510000,BipedalWalker-v3,TD3_FORK
103,296.1999089998072,515000,BipedalWalker-v3,TD3_FORK
104,317.48956793087865,520000,BipedalWalker-v3,TD3_FORK
105,313.87907702622573,525000,BipedalWalker-v3,TD3_FORK
106,314.40901939977186,530000,BipedalWalker-v3,TD3_FORK
107,316.8322590591181,535000,BipedalWalker-v3,TD3_FORK
108,276.11329837427246,540000,BipedalWalker-v3,TD3_FORK
109,316.0199508560616,545000,BipedalWalker-v3,TD3_FORK
110,299.3220047180872,550000,BipedalWalker-v3,TD3_FORK
111,313.73524157765485,555000,BipedalWalker-v3,TD3_FORK
112,284.8827906152057,560000,BipedalWalker-v3,TD3_FORK
113,317.8314660374908,565000,BipedalWalker-v3,TD3_FORK
114,317.114136325785,570000,BipedalWalker-v3,TD3_FORK
115,296.1883043149687,575000,BipedalWalker-v3,TD3_FORK
116,272.9796370815536,580000,BipedalWalker-v3,TD3_FORK
117,284.9002120446001,585000,BipedalWalker-v3,TD3_FORK
118,315.1583599034851,590000,BipedalWalker-v3,TD3_FORK
119,286.2938110360122,595000,BipedalWalker-v3,TD3_FORK
120,315.5523971401378,600000,BipedalWalker-v3,TD3_FORK
121,313.7089380855613,605000,BipedalWalker-v3,TD3_FORK
122,314.8765326524443,610000,BipedalWalker-v3,TD3_FORK
123,314.21641436432685,615000,BipedalWalker-v3,TD3_FORK
124,316.78137118983426,620000,BipedalWalker-v3,TD3_FORK
125,302.20563918065346,625000,BipedalWalker-v3,TD3_FORK
126,290.60931787431093,630000,BipedalWalker-v3,TD3_FORK
127,318.5311405475131,635000,BipedalWalker-v3,TD3_FORK
128,306.6266039038461,640000,BipedalWalker-v3,TD3_FORK
129,319.8346096179936,645000,BipedalWalker-v3,TD3_FORK
130,267.1237849442714,650000,BipedalWalker-v3,TD3_FORK
131,278.4488757785201,655000,BipedalWalker-v3,TD3_FORK
132,320.1135296584712,660000,BipedalWalker-v3,TD3_FORK
133,317.4718481197115,665000,BipedalWalker-v3,TD3_FORK
134,319.548866455202,670000,BipedalWalker-v3,TD3_FORK
135,316.60679777286595,675000,BipedalWalker-v3,TD3_FORK
136,319.82197015807867,680000,BipedalWalker-v3,TD3_FORK
137,320.1890694616912,685000,BipedalWalker-v3,TD3_FORK
138,319.12895870427826,690000,BipedalWalker-v3,TD3_FORK
139,320.9066290422038,695000,BipedalWalker-v3,TD3_FORK
140,317.67031315150166,700000,BipedalWalker-v3,TD3_FORK
141,318.4927258890776,705000,BipedalWalker-v3,TD3_FORK
142,322.19675033924625,710000,BipedalWalker-v3,TD3_FORK
143,319.03427610434267,715000,BipedalWalker-v3,TD3_FORK
144,320.05345716227185,720000,BipedalWalker-v3,TD3_FORK
145,316.7329500630291,725000,BipedalWalker-v3,TD3_FORK
146,317.16480743660946,730000,BipedalWalker-v3,TD3_FORK
147,317.0030158938257,735000,BipedalWalker-v3,TD3_FORK
148,321.900173902052,740000,BipedalWalker-v3,TD3_FORK
149,320.4242483823043,745000,BipedalWalker-v3,TD3_FORK
150,320.9262441784302,750000,BipedalWalker-v3,TD3_FORK
151,320.22498906524686,755000,BipedalWalker-v3,TD3_FORK
152,322.4720582282505,760000,BipedalWalker-v3,TD3_FORK
153,319.9411107835711,765000,BipedalWalker-v3,TD3_FORK
154,319.47557243204744,770000,BipedalWalker-v3,TD3_FORK
155,316.7806014958786,775000,BipedalWalker-v3,TD3_FORK
156,317.7045483910164,780000,BipedalWalker-v3,TD3_FORK
157,317.9462970845685,785000,BipedalWalker-v3,TD3_FORK
158,319.54896032813525,790000,BipedalWalker-v3,TD3_FORK
159,319.61207930998376,795000,BipedalWalker-v3,TD3_FORK
160,320.7208473541915,800000,BipedalWalker-v3,TD3_FORK
161,320.7864182643456,805000,BipedalWalker-v3,TD3_FORK
162,317.9810843926149,810000,BipedalWalker-v3,TD3_FORK
163,321.7458885944353,815000,BipedalWalker-v3,TD3_FORK
164,319.20252516687907,820000,BipedalWalker-v3,TD3_FORK
165,304.90517228427467,825000,BipedalWalker-v3,TD3_FORK
166,320.1635147964474,830000,BipedalWalker-v3,TD3_FORK
167,319.9577430433493,835000,BipedalWalker-v3,TD3_FORK
168,320.61660689456164,840000,BipedalWalker-v3,TD3_FORK
169,318.8534766342804,845000,BipedalWalker-v3,TD3_FORK
170,270.4262532282568,850000,BipedalWalker-v3,TD3_FORK
171,143.34006467145986,855000,BipedalWalker-v3,TD3_FORK
172,320.581848192567,860000,BipedalWalker-v3,TD3_FORK
173,318.60793482744555,865000,BipedalWalker-v3,TD3_FORK
174,322.4904208457519,870000,BipedalWalker-v3,TD3_FORK
175,249.28511905105432,875000,BipedalWalker-v3,TD3_FORK
176,322.5823692627961,880000,BipedalWalker-v3,TD3_FORK
177,323.56848121704087,885000,BipedalWalker-v3,TD3_FORK
178,322.0182383930509,890000,BipedalWalker-v3,TD3_FORK
179,323.49965190419346,895000,BipedalWalker-v3,TD3_FORK
180,321.9691593266353,900000,BipedalWalker-v3,TD3_FORK
181,321.8473615788564,905000,BipedalWalker-v3,TD3_FORK
182,322.3452840184325,910000,BipedalWalker-v3,TD3_FORK
183,322.24138428776325,915000,BipedalWalker-v3,TD3_FORK
184,310.22670395002194,920000,BipedalWalker-v3,TD3_FORK
185,321.74576445168725,925000,BipedalWalker-v3,TD3_FORK
186,322.9607154028375,930000,BipedalWalker-v3,TD3_FORK
187,319.0495525933306,935000,BipedalWalker-v3,TD3_FORK
188,321.8377626209581,940000,BipedalWalker-v3,TD3_FORK
189,319.4688183570464,945000,BipedalWalker-v3,TD3_FORK
190,319.4326548569219,950000,BipedalWalker-v3,TD3_FORK
191,320.8900463943324,955000,BipedalWalker-v3,TD3_FORK
192,320.88955470072176,960000,BipedalWalker-v3,TD3_FORK
193,322.1763969170121,965000,BipedalWalker-v3,TD3_FORK
194,320.8839243559347,970000,BipedalWalker-v3,TD3_FORK
195,321.7274634886565,975000,BipedalWalker-v3,TD3_FORK
196,293.84165690061707,980000,BipedalWalker-v3,TD3_FORK
197,320.52191102542594,985000,BipedalWalker-v3,TD3_FORK
198,321.8749995033586,990000,BipedalWalker-v3,TD3_FORK
199,318.4774961633025,995000,BipedalWalker-v3,TD3_FORK
200,233.32446782795628,1000000,BipedalWalker-v3,TD3_FORK
