index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-2.5060281023568236,0,HalfCheetah-v3,SAC,0,0
1,-283.780599280663,5000,HalfCheetah-v3,SAC,5000,5000
2,-460.37299498914734,10000,HalfCheetah-v3,SAC,10000,10000
3,-328.4666315130735,15000,HalfCheetah-v3,SAC,15000,15000
4,-312.34463488857466,20000,HalfCheetah-v3,SAC,20000,20000
5,1155.9550775438915,25000,HalfCheetah-v3,SAC,25000,25000
6,1372.085753212111,30000,HalfCheetah-v3,SAC,30000,30000
7,1104.1292543829854,35000,HalfCheetah-v3,SAC,35000,35000
8,1952.795425226716,40000,HalfCheetah-v3,SAC,40000,40000
9,2844.7592241923326,45000,HalfCheetah-v3,SAC,45000,45000
10,2509.1661958964096,50000,HalfCheetah-v3,SAC,50000,50000
11,2887.1579981195514,55000,HalfCheetah-v3,SAC,55000,55000
12,3850.067073287275,60000,HalfCheetah-v3,SAC,60000,60000
13,3842.6866930538613,65000,HalfCheetah-v3,SAC,65000,65000
14,4324.044952478783,70000,HalfCheetah-v3,SAC,70000,70000
15,3657.759360648414,75000,HalfCheetah-v3,SAC,75000,75000
16,4434.173024998925,80000,HalfCheetah-v3,SAC,80000,80000
17,4605.380766516589,85000,HalfCheetah-v3,SAC,85000,85000
18,4943.037923321787,90000,HalfCheetah-v3,SAC,90000,90000
19,4334.162704440192,95000,HalfCheetah-v3,SAC,95000,95000
20,4788.704450360422,100000,HalfCheetah-v3,SAC,100000,100000
21,4855.7855857063205,105000,HalfCheetah-v3,SAC,105000,105000
22,5237.452086713167,110000,HalfCheetah-v3,SAC,110000,110000
23,5623.648925609646,115000,HalfCheetah-v3,SAC,115000,115000
24,5661.3874231803065,120000,HalfCheetah-v3,SAC,120000,120000
25,5916.279220666489,125000,HalfCheetah-v3,SAC,125000,125000
26,5284.4188748738925,130000,HalfCheetah-v3,SAC,130000,130000
27,5863.5941423037975,135000,HalfCheetah-v3,SAC,135000,135000
28,5904.948905401294,140000,HalfCheetah-v3,SAC,140000,140000
29,6155.271678172116,145000,HalfCheetah-v3,SAC,145000,145000
30,6022.078970965,150000,HalfCheetah-v3,SAC,150000,150000
31,6091.1927202824745,155000,HalfCheetah-v3,SAC,155000,155000
32,6400.836994042985,160000,HalfCheetah-v3,SAC,160000,160000
33,6474.420405467529,165000,HalfCheetah-v3,SAC,165000,165000
34,6693.469577999002,170000,HalfCheetah-v3,SAC,170000,170000
35,5948.043261909459,175000,HalfCheetah-v3,SAC,175000,175000
36,6540.743612793796,180000,HalfCheetah-v3,SAC,180000,180000
37,6534.659182661608,185000,HalfCheetah-v3,SAC,185000,185000
38,6306.099727814039,190000,HalfCheetah-v3,SAC,190000,190000
39,6449.622334635489,195000,HalfCheetah-v3,SAC,195000,195000
40,6932.085307679397,200000,HalfCheetah-v3,SAC,200000,200000
41,7080.636701062702,205000,HalfCheetah-v3,SAC,205000,205000
42,7127.502415336874,210000,HalfCheetah-v3,SAC,210000,210000
43,7217.08751450884,215000,HalfCheetah-v3,SAC,215000,215000
44,6684.253204570025,220000,HalfCheetah-v3,SAC,220000,220000
45,7287.567346313359,225000,HalfCheetah-v3,SAC,225000,225000
46,7211.026425004066,230000,HalfCheetah-v3,SAC,230000,230000
47,7313.179909742005,235000,HalfCheetah-v3,SAC,235000,235000
