index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-27.29644967599053,0,HalfCheetah-v3,SACSYS,0,0
1,-159.53687106992396,5000,HalfCheetah-v3,SACSYS,5000,5000
2,-681.4686211198833,10000,HalfCheetah-v3,SACSYS,10000,10000
3,-277.3979159575729,15000,HalfCheetah-v3,SACSYS,15000,15000
4,90.59840037329123,20000,HalfCheetah-v3,SACSYS,20000,20000
5,1265.4005599560494,25000,HalfCheetah-v3,SACSYS,25000,25000
6,2349.1596036201186,30000,HalfCheetah-v3,SACSYS,30000,30000
7,2705.3478927016668,35000,HalfCheetah-v3,SACSYS,35000,35000
8,3306.557885068452,40000,HalfCheetah-v3,SACSYS,40000,40000
9,3343.1038407929077,45000,HalfCheetah-v3,SACSYS,45000,45000
10,2989.576678981152,50000,HalfCheetah-v3,SACSYS,50000,50000
11,4535.663982982034,55000,HalfCheetah-v3,SACSYS,55000,55000
12,4983.323362451507,60000,HalfCheetah-v3,SACSYS,60000,60000
13,5442.160251672764,65000,HalfCheetah-v3,SACSYS,65000,65000
14,5878.691692668082,70000,HalfCheetah-v3,SACSYS,70000,70000
15,5978.725640505686,75000,HalfCheetah-v3,SACSYS,75000,75000
16,5725.3854501689675,80000,HalfCheetah-v3,SACSYS,80000,80000
17,5884.125472867672,85000,HalfCheetah-v3,SACSYS,85000,85000
18,5246.430975519837,90000,HalfCheetah-v3,SACSYS,90000,90000
19,5500.748793885548,95000,HalfCheetah-v3,SACSYS,95000,95000
20,6266.5701962165695,100000,HalfCheetah-v3,SACSYS,100000,100000
21,6502.244374028445,105000,HalfCheetah-v3,SACSYS,105000,105000
22,6619.013514179565,110000,HalfCheetah-v3,SACSYS,110000,110000
23,6528.917051433385,115000,HalfCheetah-v3,SACSYS,115000,115000
24,6738.449948782552,120000,HalfCheetah-v3,SACSYS,120000,120000
25,6725.277117312651,125000,HalfCheetah-v3,SACSYS,125000,125000
26,6775.842224585288,130000,HalfCheetah-v3,SACSYS,130000,130000
27,7015.056951891887,135000,HalfCheetah-v3,SACSYS,135000,135000
28,7026.512462131292,140000,HalfCheetah-v3,SACSYS,140000,140000
29,7040.410956679788,145000,HalfCheetah-v3,SACSYS,145000,145000
30,7329.038541380633,150000,HalfCheetah-v3,SACSYS,150000,150000
31,7242.326029039449,155000,HalfCheetah-v3,SACSYS,155000,155000
32,7158.676786124351,160000,HalfCheetah-v3,SACSYS,160000,160000
33,7231.038895638773,165000,HalfCheetah-v3,SACSYS,165000,165000
34,7473.696117478711,170000,HalfCheetah-v3,SACSYS,170000,170000
35,7304.834916743804,175000,HalfCheetah-v3,SACSYS,175000,175000
36,7490.479104595453,180000,HalfCheetah-v3,SACSYS,180000,180000
37,7401.851028298291,185000,HalfCheetah-v3,SACSYS,185000,185000
38,7381.468088643251,190000,HalfCheetah-v3,SACSYS,190000,190000
39,7440.382899490934,195000,HalfCheetah-v3,SACSYS,195000,195000
40,7614.824569479429,200000,HalfCheetah-v3,SACSYS,200000,200000
41,7036.518660135883,205000,HalfCheetah-v3,SACSYS,205000,205000
42,7558.843488634651,210000,HalfCheetah-v3,SACSYS,210000,210000
43,7672.54535029544,215000,HalfCheetah-v3,SACSYS,215000,215000
44,7516.008299455112,220000,HalfCheetah-v3,SACSYS,220000,220000
45,7355.191277578549,225000,HalfCheetah-v3,SACSYS,225000,225000
46,7760.6852776583155,230000,HalfCheetah-v3,SACSYS,230000,230000
47,7806.544606396496,235000,HalfCheetah-v3,SACSYS,235000,235000
48,7778.651485751828,240000,HalfCheetah-v3,SACSYS,240000,240000
49,7721.03865072644,245000,HalfCheetah-v3,SACSYS,245000,245000
50,7735.5773247577235,250000,HalfCheetah-v3,SACSYS,250000,250000
51,7905.142463174951,255000,HalfCheetah-v3,SACSYS,255000,255000
52,7782.116587811684,260000,HalfCheetah-v3,SACSYS,260000,260000
53,7740.23693496263,265000,HalfCheetah-v3,SACSYS,265000,265000
54,7853.847217960856,270000,HalfCheetah-v3,SACSYS,270000,270000
55,7967.0301212275135,275000,HalfCheetah-v3,SACSYS,275000,275000
56,8062.499905809384,280000,HalfCheetah-v3,SACSYS,280000,280000
57,8041.353757795815,285000,HalfCheetah-v3,SACSYS,285000,285000
58,7761.869086661825,290000,HalfCheetah-v3,SACSYS,290000,290000
59,7927.306997654404,295000,HalfCheetah-v3,SACSYS,295000,295000
60,7886.0723559078015,300000,HalfCheetah-v3,SACSYS,300000,300000
61,7977.90013980443,305000,HalfCheetah-v3,SACSYS,305000,305000
62,7714.870751590649,310000,HalfCheetah-v3,SACSYS,310000,310000
63,8057.546428678127,315000,HalfCheetah-v3,SACSYS,315000,315000
64,8096.1168123175075,320000,HalfCheetah-v3,SACSYS,320000,320000
65,7991.087941379662,325000,HalfCheetah-v3,SACSYS,325000,325000
66,8182.6411748739,330000,HalfCheetah-v3,SACSYS,330000,330000
67,8188.849551172422,335000,HalfCheetah-v3,SACSYS,335000,335000
68,8125.134814633491,340000,HalfCheetah-v3,SACSYS,340000,340000
69,8286.039903450077,345000,HalfCheetah-v3,SACSYS,345000,345000
70,8447.693334272824,350000,HalfCheetah-v3,SACSYS,350000,350000
71,8247.6857996652,355000,HalfCheetah-v3,SACSYS,355000,355000
72,8287.265046278197,360000,HalfCheetah-v3,SACSYS,360000,360000
73,8187.2556421859,365000,HalfCheetah-v3,SACSYS,365000,365000
74,8250.006868294911,370000,HalfCheetah-v3,SACSYS,370000,370000
75,8085.604544356917,375000,HalfCheetah-v3,SACSYS,375000,375000
76,8407.776271775998,380000,HalfCheetah-v3,SACSYS,380000,380000
77,8316.471147989141,385000,HalfCheetah-v3,SACSYS,385000,385000
78,8248.052804691235,390000,HalfCheetah-v3,SACSYS,390000,390000
79,8432.475028101646,395000,HalfCheetah-v3,SACSYS,395000,395000
80,8384.885698601554,400000,HalfCheetah-v3,SACSYS,400000,400000
81,8283.57320211126,405000,HalfCheetah-v3,SACSYS,405000,405000
82,8265.60147915564,410000,HalfCheetah-v3,SACSYS,410000,410000
83,8166.541464763094,415000,HalfCheetah-v3,SACSYS,415000,415000
84,8423.39820363758,420000,HalfCheetah-v3,SACSYS,420000,420000
85,8507.329221694836,425000,HalfCheetah-v3,SACSYS,425000,425000
86,8140.788521463053,430000,HalfCheetah-v3,SACSYS,430000,430000
87,8609.398389112192,435000,HalfCheetah-v3,SACSYS,435000,435000
88,8473.660921997409,440000,HalfCheetah-v3,SACSYS,440000,440000
89,8503.840028722718,445000,HalfCheetah-v3,SACSYS,445000,445000
90,8558.021895238964,450000,HalfCheetah-v3,SACSYS,450000,450000
91,8551.766583739929,455000,HalfCheetah-v3,SACSYS,455000,455000
92,8567.182277649397,460000,HalfCheetah-v3,SACSYS,460000,460000
93,8638.194654001067,465000,HalfCheetah-v3,SACSYS,465000,465000
94,8646.913230014372,470000,HalfCheetah-v3,SACSYS,470000,470000
95,8700.005319363949,475000,HalfCheetah-v3,SACSYS,475000,475000
96,8701.921667258463,480000,HalfCheetah-v3,SACSYS,480000,480000
97,8597.220489506033,485000,HalfCheetah-v3,SACSYS,485000,485000
98,8683.046963439354,490000,HalfCheetah-v3,SACSYS,490000,490000
99,8751.05380962379,495000,HalfCheetah-v3,SACSYS,495000,495000
100,8778.0404127369,500000,HalfCheetah-v3,SACSYS,500000,500000
