index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-1.846531735639716,0,HalfCheetah-v3,SYS_QRDW,0,0
1,-1.846531735639716,10000,HalfCheetah-v3,SYS_QRDW,5000,5000
2,-275.37129855681235,20000,HalfCheetah-v3,SYS_QRDW,10000,10000
3,555.1449103657503,30000,HalfCheetah-v3,SYS_QRDW,15000,15000
4,1512.7252521249768,40000,HalfCheetah-v3,SYS_QRDW,20000,20000
5,530.9052572252244,50000,HalfCheetah-v3,SYS_QRDW,25000,25000
6,2890.0111357848436,60000,HalfCheetah-v3,SYS_QRDW,30000,30000
7,2531.7876798626353,70000,HalfCheetah-v3,SYS_QRDW,35000,35000
8,4029.6827964071917,80000,HalfCheetah-v3,SYS_QRDW,40000,40000
9,4326.0418643441335,90000,HalfCheetah-v3,SYS_QRDW,45000,45000
10,4754.719720489464,100000,HalfCheetah-v3,SYS_QRDW,50000,50000
11,4650.980938264429,110000,HalfCheetah-v3,SYS_QRDW,55000,55000
12,3570.5905493834825,120000,HalfCheetah-v3,SYS_QRDW,60000,60000
13,5587.653053374978,130000,HalfCheetah-v3,SYS_QRDW,65000,65000
14,5928.685805504511,140000,HalfCheetah-v3,SYS_QRDW,70000,70000
15,6506.207233064832,150000,HalfCheetah-v3,SYS_QRDW,75000,75000
16,6304.985062344067,160000,HalfCheetah-v3,SYS_QRDW,80000,80000
17,6510.301048266029,170000,HalfCheetah-v3,SYS_QRDW,85000,85000
18,6545.297296238637,180000,HalfCheetah-v3,SYS_QRDW,90000,90000
19,6942.001564259948,190000,HalfCheetah-v3,SYS_QRDW,95000,95000
20,6757.412133108443,200000,HalfCheetah-v3,SYS_QRDW,100000,100000
21,7404.763795777413,210000,HalfCheetah-v3,SYS_QRDW,105000,105000
22,7525.591002951491,220000,HalfCheetah-v3,SYS_QRDW,110000,110000
23,7605.949262486872,230000,HalfCheetah-v3,SYS_QRDW,115000,115000
24,7484.784968879341,240000,HalfCheetah-v3,SYS_QRDW,120000,120000
25,7649.7784576701415,250000,HalfCheetah-v3,SYS_QRDW,125000,125000
26,7376.3692653479175,260000,HalfCheetah-v3,SYS_QRDW,130000,130000
27,7652.412866806041,270000,HalfCheetah-v3,SYS_QRDW,135000,135000
28,7847.114884047905,280000,HalfCheetah-v3,SYS_QRDW,140000,140000
29,7634.5506771697355,290000,HalfCheetah-v3,SYS_QRDW,145000,145000
30,8038.017432376309,300000,HalfCheetah-v3,SYS_QRDW,150000,150000
31,8073.41394092249,310000,HalfCheetah-v3,SYS_QRDW,155000,155000
32,7678.329885965673,320000,HalfCheetah-v3,SYS_QRDW,160000,160000
33,7874.1901383580835,330000,HalfCheetah-v3,SYS_QRDW,165000,165000
34,8243.230946256424,340000,HalfCheetah-v3,SYS_QRDW,170000,170000
35,8157.289700067011,350000,HalfCheetah-v3,SYS_QRDW,175000,175000
36,8345.153151309703,360000,HalfCheetah-v3,SYS_QRDW,180000,180000
37,8151.433483208168,370000,HalfCheetah-v3,SYS_QRDW,185000,185000
38,8330.538882130331,380000,HalfCheetah-v3,SYS_QRDW,190000,190000
39,8373.15710070109,390000,HalfCheetah-v3,SYS_QRDW,195000,195000
40,8253.345914048687,400000,HalfCheetah-v3,SYS_QRDW,200000,200000
41,8314.09763172817,410000,HalfCheetah-v3,SYS_QRDW,205000,205000
42,8557.247679773422,420000,HalfCheetah-v3,SYS_QRDW,210000,210000
43,8639.979621404167,430000,HalfCheetah-v3,SYS_QRDW,215000,215000
44,8556.577184295802,440000,HalfCheetah-v3,SYS_QRDW,220000,220000
45,8663.047583497057,450000,HalfCheetah-v3,SYS_QRDW,225000,225000
46,8580.782286269603,460000,HalfCheetah-v3,SYS_QRDW,230000,230000
47,8606.502869237529,470000,HalfCheetah-v3,SYS_QRDW,235000,235000
48,8697.496150624753,480000,HalfCheetah-v3,SYS_QRDW,240000,240000
49,9004.188094553316,490000,HalfCheetah-v3,SYS_QRDW,245000,245000
50,8986.752537581862,500000,HalfCheetah-v3,SYS_QRDW,250000,250000
51,8856.632589800018,510000,HalfCheetah-v3,SYS_QRDW,255000,255000
52,8886.670775513587,520000,HalfCheetah-v3,SYS_QRDW,260000,260000
53,8973.845997265715,530000,HalfCheetah-v3,SYS_QRDW,265000,265000
54,8853.899938229191,540000,HalfCheetah-v3,SYS_QRDW,270000,270000
55,9252.509935425682,550000,HalfCheetah-v3,SYS_QRDW,275000,275000
56,9117.283492403938,560000,HalfCheetah-v3,SYS_QRDW,280000,280000
57,9164.850103936642,570000,HalfCheetah-v3,SYS_QRDW,285000,285000
58,9034.038633194232,580000,HalfCheetah-v3,SYS_QRDW,290000,290000
59,9376.492043490445,590000,HalfCheetah-v3,SYS_QRDW,295000,295000
60,8947.165227904079,600000,HalfCheetah-v3,SYS_QRDW,300000,300000
61,9480.840544563189,610000,HalfCheetah-v3,SYS_QRDW,305000,305000
62,9298.588690536428,620000,HalfCheetah-v3,SYS_QRDW,310000,310000
63,9240.68520538214,630000,HalfCheetah-v3,SYS_QRDW,315000,315000
64,8966.00401151879,640000,HalfCheetah-v3,SYS_QRDW,320000,320000
65,9256.851105244592,650000,HalfCheetah-v3,SYS_QRDW,325000,325000
66,9527.714946859793,660000,HalfCheetah-v3,SYS_QRDW,330000,330000
67,9284.169410733604,670000,HalfCheetah-v3,SYS_QRDW,335000,335000
68,9744.066977857794,680000,HalfCheetah-v3,SYS_QRDW,340000,340000
69,9622.007433932678,690000,HalfCheetah-v3,SYS_QRDW,345000,345000
70,9630.98277822939,700000,HalfCheetah-v3,SYS_QRDW,350000,350000
71,9558.793112358271,710000,HalfCheetah-v3,SYS_QRDW,355000,355000
72,9546.921175963493,720000,HalfCheetah-v3,SYS_QRDW,360000,360000
73,9863.605053719046,730000,HalfCheetah-v3,SYS_QRDW,365000,365000
74,9879.216919016171,740000,HalfCheetah-v3,SYS_QRDW,370000,370000
75,9832.2680001747,750000,HalfCheetah-v3,SYS_QRDW,375000,375000
76,9780.611751306637,760000,HalfCheetah-v3,SYS_QRDW,380000,380000
77,9558.40136881138,770000,HalfCheetah-v3,SYS_QRDW,385000,385000
78,9701.085623638404,780000,HalfCheetah-v3,SYS_QRDW,390000,390000
79,9759.873027842388,790000,HalfCheetah-v3,SYS_QRDW,395000,395000
80,9699.705703587022,800000,HalfCheetah-v3,SYS_QRDW,400000,400000
81,9945.20088394093,810000,HalfCheetah-v3,SYS_QRDW,405000,405000
82,10182.199746725104,820000,HalfCheetah-v3,SYS_QRDW,410000,410000
83,10060.067898229008,830000,HalfCheetah-v3,SYS_QRDW,415000,415000
84,10006.495313228077,840000,HalfCheetah-v3,SYS_QRDW,420000,420000
85,9996.483418243199,850000,HalfCheetah-v3,SYS_QRDW,425000,425000
86,10114.119823210673,860000,HalfCheetah-v3,SYS_QRDW,430000,430000
