index,Average Return,Timesteps,env,algorithm_name
0,-1.0644251974512282,0,HalfCheetah-v3,TD3
1,-1.0644251974512282,5000,HalfCheetah-v3,TD3
2,-1.0644251974512282,10000,HalfCheetah-v3,TD3
3,-448.6462522590502,15000,HalfCheetah-v3,TD3
4,-356.81795351800463,20000,HalfCheetah-v3,TD3
5,-184.4394678540654,25000,HalfCheetah-v3,TD3
6,89.27114409965795,30000,HalfCheetah-v3,TD3
7,1036.9616244471476,35000,HalfCheetah-v3,TD3
8,670.6776313919482,40000,HalfCheetah-v3,TD3
9,1006.0426637043907,45000,HalfCheetah-v3,TD3
10,1305.1639456524729,50000,HalfCheetah-v3,TD3
11,1294.7121021402409,55000,HalfCheetah-v3,TD3
12,1585.602313848036,60000,HalfCheetah-v3,TD3
13,1574.6084707327905,65000,HalfCheetah-v3,TD3
14,1272.485095104295,70000,HalfCheetah-v3,TD3
15,1828.449609183209,75000,HalfCheetah-v3,TD3
16,2481.706127906441,80000,HalfCheetah-v3,TD3
17,2901.4781739767864,85000,HalfCheetah-v3,TD3
18,2927.8748476317123,90000,HalfCheetah-v3,TD3
19,3289.2398769873407,95000,HalfCheetah-v3,TD3
20,3384.776809737071,100000,HalfCheetah-v3,TD3
21,3752.5769215739215,105000,HalfCheetah-v3,TD3
22,3896.117229308032,110000,HalfCheetah-v3,TD3
23,4248.757091532388,115000,HalfCheetah-v3,TD3
24,4025.628732225729,120000,HalfCheetah-v3,TD3
25,3489.397088985882,125000,HalfCheetah-v3,TD3
26,4253.397935602883,130000,HalfCheetah-v3,TD3
27,4570.871528783499,135000,HalfCheetah-v3,TD3
28,4729.724156908005,140000,HalfCheetah-v3,TD3
29,4725.524218966943,145000,HalfCheetah-v3,TD3
30,4802.22750800082,150000,HalfCheetah-v3,TD3
31,4724.84999952948,155000,HalfCheetah-v3,TD3
32,4881.687762837856,160000,HalfCheetah-v3,TD3
33,4898.232841417625,165000,HalfCheetah-v3,TD3
34,5072.000821095496,170000,HalfCheetah-v3,TD3
35,5084.468468607023,175000,HalfCheetah-v3,TD3
36,5135.17331277186,180000,HalfCheetah-v3,TD3
37,4984.200454208599,185000,HalfCheetah-v3,TD3
38,5313.128753994889,190000,HalfCheetah-v3,TD3
39,5246.790085477156,195000,HalfCheetah-v3,TD3
40,5461.092479819451,200000,HalfCheetah-v3,TD3
41,5475.9996748079775,205000,HalfCheetah-v3,TD3
42,5497.608066168254,210000,HalfCheetah-v3,TD3
43,5596.368092898871,215000,HalfCheetah-v3,TD3
44,5292.90570923111,220000,HalfCheetah-v3,TD3
45,5834.779501761541,225000,HalfCheetah-v3,TD3
46,5924.124318550045,230000,HalfCheetah-v3,TD3
47,5408.0286612527125,235000,HalfCheetah-v3,TD3
48,6081.204359667352,240000,HalfCheetah-v3,TD3
49,6465.7440610565045,245000,HalfCheetah-v3,TD3
50,6030.30125185351,250000,HalfCheetah-v3,TD3
51,5860.6862937152455,255000,HalfCheetah-v3,TD3
52,6979.659043528033,260000,HalfCheetah-v3,TD3
53,6912.761990482335,265000,HalfCheetah-v3,TD3
54,6391.076316558473,270000,HalfCheetah-v3,TD3
55,6878.287578190221,275000,HalfCheetah-v3,TD3
56,6648.946787067245,280000,HalfCheetah-v3,TD3
57,7196.194574182188,285000,HalfCheetah-v3,TD3
58,7215.364969919584,290000,HalfCheetah-v3,TD3
59,7330.522003130044,295000,HalfCheetah-v3,TD3
60,6936.268223736854,300000,HalfCheetah-v3,TD3
61,7203.932755241,305000,HalfCheetah-v3,TD3
62,7196.484265393476,310000,HalfCheetah-v3,TD3
63,7273.537355482927,315000,HalfCheetah-v3,TD3
64,7295.266142130485,320000,HalfCheetah-v3,TD3
65,7031.8142415055045,325000,HalfCheetah-v3,TD3
66,7514.543364622511,330000,HalfCheetah-v3,TD3
67,7473.858791863075,335000,HalfCheetah-v3,TD3
68,6387.318472408074,340000,HalfCheetah-v3,TD3
69,7652.052061470835,345000,HalfCheetah-v3,TD3
70,7563.047889743568,350000,HalfCheetah-v3,TD3
71,7771.857794419282,355000,HalfCheetah-v3,TD3
72,7159.827296573577,360000,HalfCheetah-v3,TD3
73,7749.69628472363,365000,HalfCheetah-v3,TD3
74,7850.556120497696,370000,HalfCheetah-v3,TD3
75,7325.028260196717,375000,HalfCheetah-v3,TD3
76,7434.260003679876,380000,HalfCheetah-v3,TD3
77,7656.175877766676,385000,HalfCheetah-v3,TD3
78,7696.056525642253,390000,HalfCheetah-v3,TD3
79,7996.175153106511,395000,HalfCheetah-v3,TD3
80,7848.587401470446,400000,HalfCheetah-v3,TD3
81,7966.140778439529,405000,HalfCheetah-v3,TD3
82,7863.7514706025295,410000,HalfCheetah-v3,TD3
83,7702.025302901253,415000,HalfCheetah-v3,TD3
84,7790.996169245207,420000,HalfCheetah-v3,TD3
85,7894.480112751398,425000,HalfCheetah-v3,TD3
86,8159.536292290805,430000,HalfCheetah-v3,TD3
87,5258.956076799911,435000,HalfCheetah-v3,TD3
88,6688.744678705613,440000,HalfCheetah-v3,TD3
89,7740.291029911537,445000,HalfCheetah-v3,TD3
90,7510.863617022665,450000,HalfCheetah-v3,TD3
91,7237.071184767131,455000,HalfCheetah-v3,TD3
92,6789.497295789408,460000,HalfCheetah-v3,TD3
93,7192.540086041209,465000,HalfCheetah-v3,TD3
94,8038.796891270207,470000,HalfCheetah-v3,TD3
95,7524.92422182469,475000,HalfCheetah-v3,TD3
96,7669.955056854403,480000,HalfCheetah-v3,TD3
97,8244.194717658629,485000,HalfCheetah-v3,TD3
98,7883.462424253004,490000,HalfCheetah-v3,TD3
99,8209.580353815561,495000,HalfCheetah-v3,TD3
100,8277.937826992837,500000,HalfCheetah-v3,TD3
101,7747.914755820573,505000,HalfCheetah-v3,TD3
102,8345.378286665768,510000,HalfCheetah-v3,TD3
103,7930.306871537107,515000,HalfCheetah-v3,TD3
104,8298.888684765978,520000,HalfCheetah-v3,TD3
105,7074.1363352441695,525000,HalfCheetah-v3,TD3
106,7870.275480575273,530000,HalfCheetah-v3,TD3
107,8449.50267291343,535000,HalfCheetah-v3,TD3
108,7226.857051429348,540000,HalfCheetah-v3,TD3
109,8571.181308980234,545000,HalfCheetah-v3,TD3
110,8673.309736813591,550000,HalfCheetah-v3,TD3
111,7733.10720857016,555000,HalfCheetah-v3,TD3
112,8758.171881979424,560000,HalfCheetah-v3,TD3
113,8788.575144606159,565000,HalfCheetah-v3,TD3
114,8299.072228133935,570000,HalfCheetah-v3,TD3
115,8943.736096118151,575000,HalfCheetah-v3,TD3
116,8841.681177391254,580000,HalfCheetah-v3,TD3
117,8686.164724059083,585000,HalfCheetah-v3,TD3
118,8883.288351712768,590000,HalfCheetah-v3,TD3
119,8719.270763547664,595000,HalfCheetah-v3,TD3
120,6625.578784806077,600000,HalfCheetah-v3,TD3
121,8598.091060533066,605000,HalfCheetah-v3,TD3
122,9056.15926015116,610000,HalfCheetah-v3,TD3
123,8280.132643282868,615000,HalfCheetah-v3,TD3
124,8358.965207565361,620000,HalfCheetah-v3,TD3
125,9085.319599495211,625000,HalfCheetah-v3,TD3
126,9040.384136535024,630000,HalfCheetah-v3,TD3
127,9053.997126349375,635000,HalfCheetah-v3,TD3
128,8891.021058765773,640000,HalfCheetah-v3,TD3
129,9086.082908056693,645000,HalfCheetah-v3,TD3
130,8588.935769874803,650000,HalfCheetah-v3,TD3
131,9063.839890948277,655000,HalfCheetah-v3,TD3
132,9118.741607755504,660000,HalfCheetah-v3,TD3
133,8763.959986107124,665000,HalfCheetah-v3,TD3
134,9067.5477184824,670000,HalfCheetah-v3,TD3
135,9319.962243352962,675000,HalfCheetah-v3,TD3
136,8884.900325520188,680000,HalfCheetah-v3,TD3
137,9146.470763560366,685000,HalfCheetah-v3,TD3
138,9347.958417164062,690000,HalfCheetah-v3,TD3
139,9200.531437355272,695000,HalfCheetah-v3,TD3
140,9258.241368965397,700000,HalfCheetah-v3,TD3
141,9292.77801208322,705000,HalfCheetah-v3,TD3
142,9273.583884422796,710000,HalfCheetah-v3,TD3
143,9284.894407124204,715000,HalfCheetah-v3,TD3
144,9421.055559867516,720000,HalfCheetah-v3,TD3
145,9335.696100364145,725000,HalfCheetah-v3,TD3
146,9471.417240361832,730000,HalfCheetah-v3,TD3
147,8869.614877983124,735000,HalfCheetah-v3,TD3
148,9395.44100767647,740000,HalfCheetah-v3,TD3
149,9399.48060838993,745000,HalfCheetah-v3,TD3
150,9309.656657350102,750000,HalfCheetah-v3,TD3
151,8946.650274769137,755000,HalfCheetah-v3,TD3
152,9502.916127823004,760000,HalfCheetah-v3,TD3
153,9073.314456366435,765000,HalfCheetah-v3,TD3
154,9415.041056221082,770000,HalfCheetah-v3,TD3
155,9454.712278117568,775000,HalfCheetah-v3,TD3
156,9658.00093311133,780000,HalfCheetah-v3,TD3
157,9559.744965930891,785000,HalfCheetah-v3,TD3
158,9514.784850146423,790000,HalfCheetah-v3,TD3
159,9469.202134333307,795000,HalfCheetah-v3,TD3
160,9637.373174873755,800000,HalfCheetah-v3,TD3
161,8492.28207673151,805000,HalfCheetah-v3,TD3
162,9669.15577871607,810000,HalfCheetah-v3,TD3
163,9512.176756212337,815000,HalfCheetah-v3,TD3
164,9601.242204737173,820000,HalfCheetah-v3,TD3
165,9555.812712010502,825000,HalfCheetah-v3,TD3
166,9740.953881484498,830000,HalfCheetah-v3,TD3
167,9534.349268595548,835000,HalfCheetah-v3,TD3
168,9771.783096894394,840000,HalfCheetah-v3,TD3
169,9522.927613716143,845000,HalfCheetah-v3,TD3
170,9514.530531663577,850000,HalfCheetah-v3,TD3
171,9568.411384460842,855000,HalfCheetah-v3,TD3
172,8722.781478527408,860000,HalfCheetah-v3,TD3
173,9360.94958020282,865000,HalfCheetah-v3,TD3
174,9792.82778915656,870000,HalfCheetah-v3,TD3
175,9540.836872058877,875000,HalfCheetah-v3,TD3
176,9943.345730099383,880000,HalfCheetah-v3,TD3
177,9445.51272033735,885000,HalfCheetah-v3,TD3
178,9098.173003363643,890000,HalfCheetah-v3,TD3
179,9808.969798378334,895000,HalfCheetah-v3,TD3
180,9623.937582335077,900000,HalfCheetah-v3,TD3
181,9615.031715478552,905000,HalfCheetah-v3,TD3
182,8777.703955084591,910000,HalfCheetah-v3,TD3
183,9715.85904109306,915000,HalfCheetah-v3,TD3
184,9871.98444341918,920000,HalfCheetah-v3,TD3
185,8789.835671043287,925000,HalfCheetah-v3,TD3
186,9094.572381345157,930000,HalfCheetah-v3,TD3
187,9836.726263229732,935000,HalfCheetah-v3,TD3
188,9991.72191201639,940000,HalfCheetah-v3,TD3
189,9631.620833147595,945000,HalfCheetah-v3,TD3
190,9486.800622404266,950000,HalfCheetah-v3,TD3
191,10162.860592256267,955000,HalfCheetah-v3,TD3
192,9942.664105415148,960000,HalfCheetah-v3,TD3
193,9350.874880869258,965000,HalfCheetah-v3,TD3
194,9666.50785521005,970000,HalfCheetah-v3,TD3
195,9810.583581638844,975000,HalfCheetah-v3,TD3
196,10267.210689939668,980000,HalfCheetah-v3,TD3
197,9822.313239600291,985000,HalfCheetah-v3,TD3
198,10361.915500625002,990000,HalfCheetah-v3,TD3
199,10189.80219390322,995000,HalfCheetah-v3,TD3
200,10123.054500196882,1000000,HalfCheetah-v3,TD3
