index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-1.846531735639716,0,HalfCheetah-v3,TD3,0,0
1,-1.846531735639716,10000,HalfCheetah-v3,TD3,5000,5000
2,-505.88161916679934,20000,HalfCheetah-v3,TD3,10000,10000
3,728.9372888804512,30000,HalfCheetah-v3,TD3,15000,15000
4,1959.3222225544018,40000,HalfCheetah-v3,TD3,20000,20000
5,2865.1362829278532,50000,HalfCheetah-v3,TD3,25000,25000
6,3214.556786915039,60000,HalfCheetah-v3,TD3,30000,30000
7,3863.111138043462,70000,HalfCheetah-v3,TD3,35000,35000
8,4256.430769176574,80000,HalfCheetah-v3,TD3,40000,40000
9,4643.552988555837,90000,HalfCheetah-v3,TD3,45000,45000
10,4642.216206747428,100000,HalfCheetah-v3,TD3,50000,50000
11,4358.32952227057,110000,HalfCheetah-v3,TD3,55000,55000
12,4872.9935366003365,120000,HalfCheetah-v3,TD3,60000,60000
13,4911.463805983788,130000,HalfCheetah-v3,TD3,65000,65000
14,5341.9711252820225,140000,HalfCheetah-v3,TD3,70000,70000
15,5250.13511384323,150000,HalfCheetah-v3,TD3,75000,75000
16,5414.111729691618,160000,HalfCheetah-v3,TD3,80000,80000
17,5223.683600739276,170000,HalfCheetah-v3,TD3,85000,85000
18,5710.624832337235,180000,HalfCheetah-v3,TD3,90000,90000
19,5544.258437134105,190000,HalfCheetah-v3,TD3,95000,95000
20,5740.591344476426,200000,HalfCheetah-v3,TD3,100000,100000
21,6142.145152592291,210000,HalfCheetah-v3,TD3,105000,105000
22,6184.722249168511,220000,HalfCheetah-v3,TD3,110000,110000
23,6186.081943040157,230000,HalfCheetah-v3,TD3,115000,115000
24,6246.508397881014,240000,HalfCheetah-v3,TD3,120000,120000
25,6381.356257552618,250000,HalfCheetah-v3,TD3,125000,125000
26,6364.4557660530345,260000,HalfCheetah-v3,TD3,130000,130000
27,6513.038277590584,270000,HalfCheetah-v3,TD3,135000,135000
28,6500.292171086893,280000,HalfCheetah-v3,TD3,140000,140000
29,6636.264570452922,290000,HalfCheetah-v3,TD3,145000,145000
30,6568.810759655387,300000,HalfCheetah-v3,TD3,150000,150000
31,6605.469224508083,310000,HalfCheetah-v3,TD3,155000,155000
32,6865.453978601524,320000,HalfCheetah-v3,TD3,160000,160000
33,6923.460192545404,330000,HalfCheetah-v3,TD3,165000,165000
34,6905.788219502317,340000,HalfCheetah-v3,TD3,170000,170000
35,6944.070461659392,350000,HalfCheetah-v3,TD3,175000,175000
36,6567.767682784006,360000,HalfCheetah-v3,TD3,180000,180000
37,6861.322886519528,370000,HalfCheetah-v3,TD3,185000,185000
38,7189.490663623705,380000,HalfCheetah-v3,TD3,190000,190000
39,7045.672198003189,390000,HalfCheetah-v3,TD3,195000,195000
40,7223.724839213147,400000,HalfCheetah-v3,TD3,200000,200000
41,6797.826825058849,410000,HalfCheetah-v3,TD3,205000,205000
42,7201.423587680857,420000,HalfCheetah-v3,TD3,210000,210000
43,7570.624338014953,430000,HalfCheetah-v3,TD3,215000,215000
44,7198.097188771421,440000,HalfCheetah-v3,TD3,220000,220000
45,7933.085267459331,450000,HalfCheetah-v3,TD3,225000,225000
46,7408.010594007256,460000,HalfCheetah-v3,TD3,230000,230000
47,7689.179828484373,470000,HalfCheetah-v3,TD3,235000,235000
48,7751.5551959522745,480000,HalfCheetah-v3,TD3,240000,240000
49,7762.1359610937025,490000,HalfCheetah-v3,TD3,245000,245000
50,7883.1829801185995,500000,HalfCheetah-v3,TD3,250000,250000
51,8150.417047360312,510000,HalfCheetah-v3,TD3,255000,255000
52,8093.422993775567,520000,HalfCheetah-v3,TD3,260000,260000
53,8233.430237016304,530000,HalfCheetah-v3,TD3,265000,265000
54,8196.73408925247,540000,HalfCheetah-v3,TD3,270000,270000
55,7861.852616594096,550000,HalfCheetah-v3,TD3,275000,275000
56,8290.493650201626,560000,HalfCheetah-v3,TD3,280000,280000
57,8267.392432935234,570000,HalfCheetah-v3,TD3,285000,285000
58,8314.439138468355,580000,HalfCheetah-v3,TD3,290000,290000
59,8503.262704090852,590000,HalfCheetah-v3,TD3,295000,295000
60,8514.731355973094,600000,HalfCheetah-v3,TD3,300000,300000
61,7502.389092856164,610000,HalfCheetah-v3,TD3,305000,305000
62,8796.391771795083,620000,HalfCheetah-v3,TD3,310000,310000
63,8614.073395733323,630000,HalfCheetah-v3,TD3,315000,315000
64,8790.671335291096,640000,HalfCheetah-v3,TD3,320000,320000
65,8831.630249780083,650000,HalfCheetah-v3,TD3,325000,325000
66,9018.183939757315,660000,HalfCheetah-v3,TD3,330000,330000
67,9128.80337834535,670000,HalfCheetah-v3,TD3,335000,335000
