index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,45.490331395050475,0,Hopper-v3,DDPG,0,0
1,45.490331395050475,10000,Hopper-v3,DDPG,5000,5000
2,39.7172648012676,20000,Hopper-v3,DDPG,10000,10000
3,169.8790858620185,30000,Hopper-v3,DDPG,15000,15000
4,254.47453430706489,40000,Hopper-v3,DDPG,20000,20000
5,295.75122897204466,50000,Hopper-v3,DDPG,25000,25000
6,367.60361991726,60000,Hopper-v3,DDPG,30000,30000
7,263.43171976922724,70000,Hopper-v3,DDPG,35000,35000
8,308.4346500697809,80000,Hopper-v3,DDPG,40000,40000
9,271.0409041049392,90000,Hopper-v3,DDPG,45000,45000
10,373.01368665183367,100000,Hopper-v3,DDPG,50000,50000
11,328.8091229681782,110000,Hopper-v3,DDPG,55000,55000
12,410.94288399396004,120000,Hopper-v3,DDPG,60000,60000
13,294.4851320249728,130000,Hopper-v3,DDPG,65000,65000
14,287.84220302710753,140000,Hopper-v3,DDPG,70000,70000
15,257.47616859203583,150000,Hopper-v3,DDPG,75000,75000
16,227.78831770548427,160000,Hopper-v3,DDPG,80000,80000
17,241.51267684855884,170000,Hopper-v3,DDPG,85000,85000
18,255.05974422496712,180000,Hopper-v3,DDPG,90000,90000
19,275.63069597760534,190000,Hopper-v3,DDPG,95000,95000
20,198.43765197935585,200000,Hopper-v3,DDPG,100000,100000
21,180.3489283580399,210000,Hopper-v3,DDPG,105000,105000
22,269.63516412382387,220000,Hopper-v3,DDPG,110000,110000
23,307.2380115972428,230000,Hopper-v3,DDPG,115000,115000
24,221.94156510164368,240000,Hopper-v3,DDPG,120000,120000
25,228.58695256700088,250000,Hopper-v3,DDPG,125000,125000
26,226.29295817332127,260000,Hopper-v3,DDPG,130000,130000
27,3.957060737761005,270000,Hopper-v3,DDPG,135000,135000
28,48.267755650928834,280000,Hopper-v3,DDPG,140000,140000
29,191.2580513027894,290000,Hopper-v3,DDPG,145000,145000
30,159.00073413004895,300000,Hopper-v3,DDPG,150000,150000
31,189.46196930971084,310000,Hopper-v3,DDPG,155000,155000
32,1059.2895253005465,320000,Hopper-v3,DDPG,160000,160000
33,427.2438462024018,330000,Hopper-v3,DDPG,165000,165000
34,278.4852341450977,340000,Hopper-v3,DDPG,170000,170000
35,619.1312954851551,350000,Hopper-v3,DDPG,175000,175000
36,450.10748002374766,360000,Hopper-v3,DDPG,180000,180000
37,114.37967060251611,370000,Hopper-v3,DDPG,185000,185000
