index,Average Return,Timesteps,env,algorithm_name
0,18.5922390200334,0,Hopper-v3,DDPG
1,18.5922390200334,5000,Hopper-v3,DDPG
2,18.5922390200334,10000,Hopper-v3,DDPG
3,186.6667331923881,15000,Hopper-v3,DDPG
4,175.2267327392982,20000,Hopper-v3,DDPG
5,168.67600006639557,25000,Hopper-v3,DDPG
6,183.14319117829427,30000,Hopper-v3,DDPG
7,249.82168605980533,35000,Hopper-v3,DDPG
8,301.1056795911927,40000,Hopper-v3,DDPG
9,275.6509517568789,45000,Hopper-v3,DDPG
10,263.06249093555584,50000,Hopper-v3,DDPG
11,514.7603805528485,55000,Hopper-v3,DDPG
12,228.5817054049477,60000,Hopper-v3,DDPG
13,393.9485995206875,65000,Hopper-v3,DDPG
14,102.58282895895108,70000,Hopper-v3,DDPG
15,1919.823164829468,75000,Hopper-v3,DDPG
16,251.81345006906983,80000,Hopper-v3,DDPG
17,269.2536189425265,85000,Hopper-v3,DDPG
18,681.7903422601262,90000,Hopper-v3,DDPG
19,213.2705240879536,95000,Hopper-v3,DDPG
20,224.0791512835906,100000,Hopper-v3,DDPG
21,1726.4812395146068,105000,Hopper-v3,DDPG
22,2116.464405091351,110000,Hopper-v3,DDPG
23,2369.832249598124,115000,Hopper-v3,DDPG
24,727.2411245668394,120000,Hopper-v3,DDPG
25,284.3995069640234,125000,Hopper-v3,DDPG
26,1070.9203949450048,130000,Hopper-v3,DDPG
27,1041.6515614666553,135000,Hopper-v3,DDPG
28,675.4438073554215,140000,Hopper-v3,DDPG
29,835.0613190381534,145000,Hopper-v3,DDPG
30,759.2534851993966,150000,Hopper-v3,DDPG
31,1493.0296698875916,155000,Hopper-v3,DDPG
32,579.0918141995402,160000,Hopper-v3,DDPG
33,954.5580476322664,165000,Hopper-v3,DDPG
34,371.20478651978993,170000,Hopper-v3,DDPG
35,2462.2160475694905,175000,Hopper-v3,DDPG
36,1687.612592685094,180000,Hopper-v3,DDPG
37,1662.1544873521568,185000,Hopper-v3,DDPG
38,1795.16263744315,190000,Hopper-v3,DDPG
39,2726.0355396659647,195000,Hopper-v3,DDPG
40,1980.1189273777572,200000,Hopper-v3,DDPG
41,1786.0334204319734,205000,Hopper-v3,DDPG
42,2421.49969611728,210000,Hopper-v3,DDPG
43,1225.7615875611714,215000,Hopper-v3,DDPG
44,2536.5428706597995,220000,Hopper-v3,DDPG
45,2667.0110424773425,225000,Hopper-v3,DDPG
46,1944.066365470189,230000,Hopper-v3,DDPG
47,2537.266778564393,235000,Hopper-v3,DDPG
48,2908.905929302544,240000,Hopper-v3,DDPG
49,1947.3241060643163,245000,Hopper-v3,DDPG
50,370.8869581109236,250000,Hopper-v3,DDPG
51,1115.2065699791724,255000,Hopper-v3,DDPG
52,474.5682622545476,260000,Hopper-v3,DDPG
53,3199.342198911505,265000,Hopper-v3,DDPG
54,3133.595908355552,270000,Hopper-v3,DDPG
55,2423.9087181180785,275000,Hopper-v3,DDPG
56,3190.415426939345,280000,Hopper-v3,DDPG
57,3286.8964601984385,285000,Hopper-v3,DDPG
58,2660.421715648335,290000,Hopper-v3,DDPG
59,3070.230142621252,295000,Hopper-v3,DDPG
60,1854.844052240985,300000,Hopper-v3,DDPG
61,2911.084003474797,305000,Hopper-v3,DDPG
62,2888.767146898105,310000,Hopper-v3,DDPG
63,1575.605592639298,315000,Hopper-v3,DDPG
64,3199.4712891708614,320000,Hopper-v3,DDPG
65,3058.1294259686265,325000,Hopper-v3,DDPG
66,3158.5164111782888,330000,Hopper-v3,DDPG
67,1661.424904142729,335000,Hopper-v3,DDPG
68,3171.415019519406,340000,Hopper-v3,DDPG
69,3230.442084713929,345000,Hopper-v3,DDPG
70,3091.1633135246407,350000,Hopper-v3,DDPG
71,3101.97456575533,355000,Hopper-v3,DDPG
72,1297.350108711434,360000,Hopper-v3,DDPG
73,3430.142494624936,365000,Hopper-v3,DDPG
74,1008.3730395123182,370000,Hopper-v3,DDPG
75,1346.92800659006,375000,Hopper-v3,DDPG
76,1601.7758926917668,380000,Hopper-v3,DDPG
77,3052.7542375581183,385000,Hopper-v3,DDPG
78,1384.9784850212309,390000,Hopper-v3,DDPG
79,2680.0535953618123,395000,Hopper-v3,DDPG
80,3277.1086672605334,400000,Hopper-v3,DDPG
81,3153.435614680899,405000,Hopper-v3,DDPG
82,3104.6207104687865,410000,Hopper-v3,DDPG
83,1373.4418423055538,415000,Hopper-v3,DDPG
84,3280.277644232972,420000,Hopper-v3,DDPG
85,2323.048414458147,425000,Hopper-v3,DDPG
86,2716.242551421092,430000,Hopper-v3,DDPG
87,3035.571635094017,435000,Hopper-v3,DDPG
88,2123.701584001018,440000,Hopper-v3,DDPG
89,3088.619875103683,445000,Hopper-v3,DDPG
90,1226.9205009834209,450000,Hopper-v3,DDPG
91,1856.3024830306624,455000,Hopper-v3,DDPG
92,2929.9083283415184,460000,Hopper-v3,DDPG
93,938.568191831689,465000,Hopper-v3,DDPG
94,1114.7881022247984,470000,Hopper-v3,DDPG
95,3149.6765368978604,475000,Hopper-v3,DDPG
96,1461.1696313417303,480000,Hopper-v3,DDPG
97,993.240805945596,485000,Hopper-v3,DDPG
98,3327.7522161778443,490000,Hopper-v3,DDPG
99,1639.51498397385,495000,Hopper-v3,DDPG
100,3192.824966279553,500000,Hopper-v3,DDPG
101,2954.6674189483037,505000,Hopper-v3,DDPG
102,2747.3981921640407,510000,Hopper-v3,DDPG
103,3385.4378803226296,515000,Hopper-v3,DDPG
104,1270.7369188018995,520000,Hopper-v3,DDPG
105,2628.1155755312748,525000,Hopper-v3,DDPG
106,2006.0550642260405,530000,Hopper-v3,DDPG
107,1831.1255495358323,535000,Hopper-v3,DDPG
108,1021.1717787371672,540000,Hopper-v3,DDPG
109,2143.294616933406,545000,Hopper-v3,DDPG
110,2726.891994916189,550000,Hopper-v3,DDPG
111,2249.83996640171,555000,Hopper-v3,DDPG
112,3254.836547922117,560000,Hopper-v3,DDPG
113,1496.6965071784184,565000,Hopper-v3,DDPG
114,452.4987570361387,570000,Hopper-v3,DDPG
115,2963.063845212097,575000,Hopper-v3,DDPG
116,3224.2194533569195,580000,Hopper-v3,DDPG
117,3264.53716465846,585000,Hopper-v3,DDPG
118,3115.052530892016,590000,Hopper-v3,DDPG
119,3476.1505007423984,595000,Hopper-v3,DDPG
120,2773.3972807411574,600000,Hopper-v3,DDPG
121,2541.051085636412,605000,Hopper-v3,DDPG
122,2717.5979612056026,610000,Hopper-v3,DDPG
123,3315.641739326882,615000,Hopper-v3,DDPG
124,1487.674897118323,620000,Hopper-v3,DDPG
125,3234.1177958967032,625000,Hopper-v3,DDPG
126,2674.7294113048447,630000,Hopper-v3,DDPG
127,1712.689552346547,635000,Hopper-v3,DDPG
128,2522.103949613724,640000,Hopper-v3,DDPG
129,1788.814335059411,645000,Hopper-v3,DDPG
130,2364.231623569522,650000,Hopper-v3,DDPG
131,1472.3315295662728,655000,Hopper-v3,DDPG
132,3065.250065208847,660000,Hopper-v3,DDPG
133,3188.5470856206525,665000,Hopper-v3,DDPG
134,2228.0640855468982,670000,Hopper-v3,DDPG
135,2494.784754422284,675000,Hopper-v3,DDPG
136,1484.0272063613293,680000,Hopper-v3,DDPG
137,2029.6962834556236,685000,Hopper-v3,DDPG
138,1817.7818595561464,690000,Hopper-v3,DDPG
139,3378.4123513927407,695000,Hopper-v3,DDPG
140,3157.3974048865125,700000,Hopper-v3,DDPG
141,3445.684873688976,705000,Hopper-v3,DDPG
142,1973.202516733411,710000,Hopper-v3,DDPG
143,1403.6697042085427,715000,Hopper-v3,DDPG
144,3154.402463891423,720000,Hopper-v3,DDPG
145,3303.6970155244417,725000,Hopper-v3,DDPG
146,1710.8390278049642,730000,Hopper-v3,DDPG
147,2956.377526634717,735000,Hopper-v3,DDPG
148,3332.9322154587485,740000,Hopper-v3,DDPG
149,3263.2040904148485,745000,Hopper-v3,DDPG
