index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,27.525596873831468,0,Hopper-v3,SAC,0,0
1,212.78074274563232,5000,Hopper-v3,SAC,5000,5000
2,199.070829004769,10000,Hopper-v3,SAC,10000,10000
3,8.762619348437362,15000,Hopper-v3,SAC,15000,15000
4,308.6107657306005,20000,Hopper-v3,SAC,20000,20000
5,1009.2962313844721,25000,Hopper-v3,SAC,25000,25000
6,420.2795117386797,30000,Hopper-v3,SAC,30000,30000
7,291.80408521421384,35000,Hopper-v3,SAC,35000,35000
8,202.37297754470882,40000,Hopper-v3,SAC,40000,40000
9,417.9678105968534,45000,Hopper-v3,SAC,45000,45000
10,766.9990078542087,50000,Hopper-v3,SAC,50000,50000
11,298.5875258593567,55000,Hopper-v3,SAC,55000,55000
12,591.0680353980945,60000,Hopper-v3,SAC,60000,60000
13,627.9407930977297,65000,Hopper-v3,SAC,65000,65000
14,978.7827888076672,70000,Hopper-v3,SAC,70000,70000
15,404.2513343885649,75000,Hopper-v3,SAC,75000,75000
16,354.3926892444117,80000,Hopper-v3,SAC,80000,80000
17,318.079606796132,85000,Hopper-v3,SAC,85000,85000
18,328.4949026409737,90000,Hopper-v3,SAC,90000,90000
19,821.2149165720664,95000,Hopper-v3,SAC,95000,95000
20,475.0303344948066,100000,Hopper-v3,SAC,100000,100000
21,418.6003883579838,105000,Hopper-v3,SAC,105000,105000
22,395.3688954927675,110000,Hopper-v3,SAC,110000,110000
23,382.45989400308656,115000,Hopper-v3,SAC,115000,115000
24,502.2903771818114,120000,Hopper-v3,SAC,120000,120000
25,518.9067347776961,125000,Hopper-v3,SAC,125000,125000
26,1507.2895901523254,130000,Hopper-v3,SAC,130000,130000
27,646.8748195842611,135000,Hopper-v3,SAC,135000,135000
28,774.4518044744332,140000,Hopper-v3,SAC,140000,140000
29,1182.054150187722,145000,Hopper-v3,SAC,145000,145000
30,1427.6488697046439,150000,Hopper-v3,SAC,150000,150000
