index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,22.41596429264579,0,Hopper-v3,SACSYS,0,0
1,187.21825361247062,5000,Hopper-v3,SACSYS,5000,5000
2,202.4649781879367,10000,Hopper-v3,SACSYS,10000,10000
3,0.8205309215409263,15000,Hopper-v3,SACSYS,15000,15000
4,999.8166414986076,20000,Hopper-v3,SACSYS,20000,20000
5,596.8399717527998,25000,Hopper-v3,SACSYS,25000,25000
6,518.3876162894136,30000,Hopper-v3,SACSYS,30000,30000
7,331.72259451217474,35000,Hopper-v3,SACSYS,35000,35000
8,852.2586015668968,40000,Hopper-v3,SACSYS,40000,40000
9,311.0049181734558,45000,Hopper-v3,SACSYS,45000,45000
10,501.54729968570365,50000,Hopper-v3,SACSYS,50000,50000
11,1013.4727283090117,55000,Hopper-v3,SACSYS,55000,55000
12,755.8505544210277,60000,Hopper-v3,SACSYS,60000,60000
13,485.93898519146364,65000,Hopper-v3,SACSYS,65000,65000
14,987.0116368526919,70000,Hopper-v3,SACSYS,70000,70000
15,978.1162302103933,75000,Hopper-v3,SACSYS,75000,75000
16,1003.2084820653024,80000,Hopper-v3,SACSYS,80000,80000
17,488.48309935148313,85000,Hopper-v3,SACSYS,85000,85000
18,732.4896235142985,90000,Hopper-v3,SACSYS,90000,90000
19,328.9149977435589,95000,Hopper-v3,SACSYS,95000,95000
20,247.33635771691428,100000,Hopper-v3,SACSYS,100000,100000
21,677.2722537187408,105000,Hopper-v3,SACSYS,105000,105000
22,766.6157506496286,110000,Hopper-v3,SACSYS,110000,110000
23,619.0981268788582,115000,Hopper-v3,SACSYS,115000,115000
24,940.2235581189732,120000,Hopper-v3,SACSYS,120000,120000
25,669.0104547253087,125000,Hopper-v3,SACSYS,125000,125000
26,604.4425764922233,130000,Hopper-v3,SACSYS,130000,130000
27,471.0159480780789,135000,Hopper-v3,SACSYS,135000,135000
28,1134.4575835215105,140000,Hopper-v3,SACSYS,140000,140000
29,528.5611100990217,145000,Hopper-v3,SACSYS,145000,145000
30,3081.369552903317,150000,Hopper-v3,SACSYS,150000,150000
31,696.3009016766918,155000,Hopper-v3,SACSYS,155000,155000
32,2887.2807431895603,160000,Hopper-v3,SACSYS,160000,160000
33,1459.5114275516114,165000,Hopper-v3,SACSYS,165000,165000
34,2042.9106499342065,170000,Hopper-v3,SACSYS,170000,170000
35,2375.8818303892317,175000,Hopper-v3,SACSYS,175000,175000
36,712.4226057492189,180000,Hopper-v3,SACSYS,180000,180000
37,2665.3400650167405,185000,Hopper-v3,SACSYS,185000,185000
38,1855.265667610216,190000,Hopper-v3,SACSYS,190000,190000
39,1199.7163145268205,195000,Hopper-v3,SACSYS,195000,195000
40,1638.9936877819346,200000,Hopper-v3,SACSYS,200000,200000
41,2341.8215340697907,205000,Hopper-v3,SACSYS,205000,205000
42,1168.9395730141382,210000,Hopper-v3,SACSYS,210000,210000
43,1481.3619986121366,215000,Hopper-v3,SACSYS,215000,215000
44,995.4364861558929,220000,Hopper-v3,SACSYS,220000,220000
45,1257.0214062559762,225000,Hopper-v3,SACSYS,225000,225000
46,938.9583989326552,230000,Hopper-v3,SACSYS,230000,230000
47,2591.090420070832,235000,Hopper-v3,SACSYS,235000,235000
48,1301.3915740093767,240000,Hopper-v3,SACSYS,240000,240000
