index,Average Return,Timesteps,env,algorithm_name,Time_consuming
0,226.19488566033297,0,Hopper-v3,SAC_FORK,2
1,133.76190685985037,5000,Hopper-v3,SAC_FORK,66
2,96.39226724964901,10000,Hopper-v3,SAC_FORK,143
3,63.35008451356373,15000,Hopper-v3,SAC_FORK,218
4,217.40389671055323,20000,Hopper-v3,SAC_FORK,304
5,454.68679276751345,25000,Hopper-v3,SAC_FORK,390
6,1013.1659659262298,30000,Hopper-v3,SAC_FORK,487
7,973.3387200732204,35000,Hopper-v3,SAC_FORK,593
8,219.5181553515788,40000,Hopper-v3,SAC_FORK,687
9,736.8820184914407,45000,Hopper-v3,SAC_FORK,785
10,229.1382951529302,50000,Hopper-v3,SAC_FORK,878
11,413.6334095055689,55000,Hopper-v3,SAC_FORK,975
12,566.892528832186,60000,Hopper-v3,SAC_FORK,1070
13,310.9035089658087,65000,Hopper-v3,SAC_FORK,1166
14,470.2410348817392,70000,Hopper-v3,SAC_FORK,1264
15,484.1302900081358,75000,Hopper-v3,SAC_FORK,1370
16,765.4996867122763,80000,Hopper-v3,SAC_FORK,1478
17,772.8434904424531,85000,Hopper-v3,SAC_FORK,1590
18,840.6842173797952,90000,Hopper-v3,SAC_FORK,1691
19,981.3767685124412,95000,Hopper-v3,SAC_FORK,1792
20,937.1871329560214,100000,Hopper-v3,SAC_FORK,1891
21,847.7014341573401,105000,Hopper-v3,SAC_FORK,1989
22,1067.7580266390783,110000,Hopper-v3,SAC_FORK,2087
23,1460.821331497909,115000,Hopper-v3,SAC_FORK,2188
24,1615.0952814212676,120000,Hopper-v3,SAC_FORK,2289
25,1146.685718202968,125000,Hopper-v3,SAC_FORK,2388
26,1780.1564856487992,130000,Hopper-v3,SAC_FORK,2488
27,1885.4315404223605,135000,Hopper-v3,SAC_FORK,2590
28,1740.4975660344455,140000,Hopper-v3,SAC_FORK,2692
29,1200.8796960421926,145000,Hopper-v3,SAC_FORK,2793
30,922.1749264708167,150000,Hopper-v3,SAC_FORK,2893
31,2161.4440981420994,155000,Hopper-v3,SAC_FORK,2998
32,1596.0019276107419,160000,Hopper-v3,SAC_FORK,3102
33,2512.3528781789537,165000,Hopper-v3,SAC_FORK,3210
34,2673.4254071314,170000,Hopper-v3,SAC_FORK,3317
35,2733.1786054215713,175000,Hopper-v3,SAC_FORK,3427
36,3037.2116106597528,180000,Hopper-v3,SAC_FORK,3538
37,2919.7531726216675,185000,Hopper-v3,SAC_FORK,3648
38,2471.6212348414947,190000,Hopper-v3,SAC_FORK,3758
39,1615.1106374792348,195000,Hopper-v3,SAC_FORK,3865
40,308.7805802976119,200000,Hopper-v3,SAC_FORK,3968
41,2987.648878476615,205000,Hopper-v3,SAC_FORK,4081
42,1754.2264827253014,210000,Hopper-v3,SAC_FORK,4188
43,1160.733046295028,215000,Hopper-v3,SAC_FORK,4292
44,2807.3767207387364,220000,Hopper-v3,SAC_FORK,4399
45,2430.021229200625,225000,Hopper-v3,SAC_FORK,4507
46,1005.4989597334919,230000,Hopper-v3,SAC_FORK,4613
47,2887.78567402496,235000,Hopper-v3,SAC_FORK,4723
48,1379.7182440253146,240000,Hopper-v3,SAC_FORK,4831
49,2138.9291017822893,245000,Hopper-v3,SAC_FORK,4940
50,1686.3776796341688,250000,Hopper-v3,SAC_FORK,5049
51,3259.453673578895,255000,Hopper-v3,SAC_FORK,5163
52,1392.536435954245,260000,Hopper-v3,SAC_FORK,5270
53,2287.6777871214044,265000,Hopper-v3,SAC_FORK,5382
54,1239.6320453566773,270000,Hopper-v3,SAC_FORK,5489
55,1345.8543132779666,275000,Hopper-v3,SAC_FORK,5595
56,2377.3946085425796,280000,Hopper-v3,SAC_FORK,5706
57,1367.0109875394057,285000,Hopper-v3,SAC_FORK,5814
58,3210.995637681989,290000,Hopper-v3,SAC_FORK,5930
59,1333.9427068324555,295000,Hopper-v3,SAC_FORK,6037
60,2366.608952932625,300000,Hopper-v3,SAC_FORK,6149
61,3274.80181788007,305000,Hopper-v3,SAC_FORK,6264
62,2665.8087054201096,310000,Hopper-v3,SAC_FORK,6377
63,1993.3289467297666,315000,Hopper-v3,SAC_FORK,6488
64,3015.800104994306,320000,Hopper-v3,SAC_FORK,6603
65,3260.3473389856254,325000,Hopper-v3,SAC_FORK,6718
66,3116.019602082223,330000,Hopper-v3,SAC_FORK,6830
67,1755.954332454491,335000,Hopper-v3,SAC_FORK,6939
68,3265.9784700860864,340000,Hopper-v3,SAC_FORK,7054
69,3101.911759347383,345000,Hopper-v3,SAC_FORK,7169
70,2996.7778421459943,350000,Hopper-v3,SAC_FORK,7283
71,3175.731086258627,355000,Hopper-v3,SAC_FORK,7397
72,3161.971377746118,360000,Hopper-v3,SAC_FORK,7512
73,3214.489339833118,365000,Hopper-v3,SAC_FORK,7627
74,2095.6789867163884,370000,Hopper-v3,SAC_FORK,7738
75,1915.1748610315087,375000,Hopper-v3,SAC_FORK,7849
76,3028.567444450942,380000,Hopper-v3,SAC_FORK,7963
77,3207.823222654358,385000,Hopper-v3,SAC_FORK,8078
78,3206.782434737709,390000,Hopper-v3,SAC_FORK,8193
79,2914.608755888489,395000,Hopper-v3,SAC_FORK,8307
80,3327.988599574842,400000,Hopper-v3,SAC_FORK,8422
81,3301.7476782604026,405000,Hopper-v3,SAC_FORK,8537
82,3217.4042855283246,410000,Hopper-v3,SAC_FORK,8652
83,3318.838879867574,415000,Hopper-v3,SAC_FORK,8767
84,3320.807511819811,420000,Hopper-v3,SAC_FORK,8883
85,3291.9578446880723,425000,Hopper-v3,SAC_FORK,8998
86,3277.0610861758278,430000,Hopper-v3,SAC_FORK,9113
87,3239.923833469084,435000,Hopper-v3,SAC_FORK,9228
88,3211.6668331863907,440000,Hopper-v3,SAC_FORK,9343
89,3133.8118226129814,445000,Hopper-v3,SAC_FORK,9459
90,3218.1424342678915,450000,Hopper-v3,SAC_FORK,9573
91,3249.0834019563263,455000,Hopper-v3,SAC_FORK,9690
92,3296.233341670408,460000,Hopper-v3,SAC_FORK,9805
93,3392.808522942904,465000,Hopper-v3,SAC_FORK,9921
94,3354.0294423319647,470000,Hopper-v3,SAC_FORK,10035
95,3186.9730607876218,475000,Hopper-v3,SAC_FORK,10149
96,3191.932324202021,480000,Hopper-v3,SAC_FORK,10263
97,3181.7174591808575,485000,Hopper-v3,SAC_FORK,10377
98,3029.0321745503634,490000,Hopper-v3,SAC_FORK,10493
99,3312.0835089166103,495000,Hopper-v3,SAC_FORK,10608
100,3302.381867610225,500000,Hopper-v3,SAC_FORK,10723
101,3482.6082428132527,505000,Hopper-v3,SAC_FORK,10839
102,3368.3814956234187,510000,Hopper-v3,SAC_FORK,10954
103,3358.059687884111,515000,Hopper-v3,SAC_FORK,11069
104,3321.6326585485776,520000,Hopper-v3,SAC_FORK,11184
105,3235.6616636886724,525000,Hopper-v3,SAC_FORK,11300
106,3279.838559202929,530000,Hopper-v3,SAC_FORK,11415
107,1530.2025889861625,535000,Hopper-v3,SAC_FORK,11523
