index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,57.3205451179316,0,Hopper-v3,TD3,0,0
1,57.3205451179316,10000,Hopper-v3,TD3,5000,5000
2,168.56972664634753,20000,Hopper-v3,TD3,10000,10000
3,205.1927590163981,30000,Hopper-v3,TD3,15000,15000
4,169.9703068553946,40000,Hopper-v3,TD3,20000,20000
5,282.0188105352711,50000,Hopper-v3,TD3,25000,25000
6,279.19436956060946,60000,Hopper-v3,TD3,30000,30000
7,309.3736679546713,70000,Hopper-v3,TD3,35000,35000
8,298.102390167905,80000,Hopper-v3,TD3,40000,40000
9,416.4375771759487,90000,Hopper-v3,TD3,45000,45000
10,315.6928857281676,100000,Hopper-v3,TD3,50000,50000
11,327.5679038580996,110000,Hopper-v3,TD3,55000,55000
12,308.9469385455405,120000,Hopper-v3,TD3,60000,60000
13,320.844116134742,130000,Hopper-v3,TD3,65000,65000
14,311.8702020223968,140000,Hopper-v3,TD3,70000,70000
15,320.3565122834227,150000,Hopper-v3,TD3,75000,75000
16,319.38044126612283,160000,Hopper-v3,TD3,80000,80000
17,322.8926471642588,170000,Hopper-v3,TD3,85000,85000
18,326.37599442849614,180000,Hopper-v3,TD3,90000,90000
19,330.3257785374295,190000,Hopper-v3,TD3,95000,95000
20,251.01001394991516,200000,Hopper-v3,TD3,100000,100000
21,315.50541247522386,210000,Hopper-v3,TD3,105000,105000
22,321.79669190791293,220000,Hopper-v3,TD3,110000,110000
23,320.05218578087954,230000,Hopper-v3,TD3,115000,115000
24,323.75950580395534,240000,Hopper-v3,TD3,120000,120000
25,322.4480779918701,250000,Hopper-v3,TD3,125000,125000
26,321.6226193645488,260000,Hopper-v3,TD3,130000,130000
27,330.2770067806315,270000,Hopper-v3,TD3,135000,135000
28,333.9456856197432,280000,Hopper-v3,TD3,140000,140000
29,327.6486208839492,290000,Hopper-v3,TD3,145000,145000
30,330.9823055368082,300000,Hopper-v3,TD3,150000,150000
31,331.9042775253434,310000,Hopper-v3,TD3,155000,155000
32,327.9726866152647,320000,Hopper-v3,TD3,160000,160000
33,330.26245141540267,330000,Hopper-v3,TD3,165000,165000
34,327.70014730339267,340000,Hopper-v3,TD3,170000,170000
35,302.23018737311776,350000,Hopper-v3,TD3,175000,175000
36,342.58266666377847,360000,Hopper-v3,TD3,180000,180000
37,328.4697697517493,370000,Hopper-v3,TD3,185000,185000
38,331.1341065789448,380000,Hopper-v3,TD3,190000,190000
39,352.7575994504944,390000,Hopper-v3,TD3,195000,195000
40,337.1558834365432,400000,Hopper-v3,TD3,200000,200000
41,357.01418173566765,410000,Hopper-v3,TD3,205000,205000
42,361.2982456828151,420000,Hopper-v3,TD3,210000,210000
43,327.25795978766547,430000,Hopper-v3,TD3,215000,215000
44,316.69519164356177,440000,Hopper-v3,TD3,220000,220000
45,350.2650716202283,450000,Hopper-v3,TD3,225000,225000
46,377.2942236878114,460000,Hopper-v3,TD3,230000,230000
47,398.9176959989375,470000,Hopper-v3,TD3,235000,235000
48,358.35659707236493,480000,Hopper-v3,TD3,240000,240000
49,374.3833771655371,490000,Hopper-v3,TD3,245000,245000
50,459.9718645470289,500000,Hopper-v3,TD3,250000,250000
51,496.54868650867826,510000,Hopper-v3,TD3,255000,255000
52,460.8249649032586,520000,Hopper-v3,TD3,260000,260000
53,448.1688231213426,530000,Hopper-v3,TD3,265000,265000
54,485.5412127022077,540000,Hopper-v3,TD3,270000,270000
55,481.2664947083002,550000,Hopper-v3,TD3,275000,275000
56,348.0134225514438,560000,Hopper-v3,TD3,280000,280000
57,564.3953013422806,570000,Hopper-v3,TD3,285000,285000
58,787.9775187643975,580000,Hopper-v3,TD3,290000,290000
59,804.939790945677,590000,Hopper-v3,TD3,295000,295000
60,308.7694510240247,600000,Hopper-v3,TD3,300000,300000
61,625.7723803609829,610000,Hopper-v3,TD3,305000,305000
62,2126.4254245963093,620000,Hopper-v3,TD3,310000,310000
63,665.6640109750067,630000,Hopper-v3,TD3,315000,315000
64,1312.7390760794651,640000,Hopper-v3,TD3,320000,320000
65,801.8021390667958,650000,Hopper-v3,TD3,325000,325000
66,1294.6426624164399,660000,Hopper-v3,TD3,330000,330000
67,1820.4134695108173,670000,Hopper-v3,TD3,335000,335000
68,1158.215696424843,680000,Hopper-v3,TD3,340000,340000
69,2482.5221311406203,690000,Hopper-v3,TD3,345000,345000
70,3359.6844960620892,700000,Hopper-v3,TD3,350000,350000
71,1514.385789973817,710000,Hopper-v3,TD3,355000,355000
72,2787.003536932429,720000,Hopper-v3,TD3,360000,360000
73,1559.0598455400545,730000,Hopper-v3,TD3,365000,365000
74,1534.6677856877704,740000,Hopper-v3,TD3,370000,370000
75,1614.8071516829084,750000,Hopper-v3,TD3,375000,375000
76,1829.1924421987685,760000,Hopper-v3,TD3,380000,380000
77,3225.643334856653,770000,Hopper-v3,TD3,385000,385000
78,3136.4009083242577,780000,Hopper-v3,TD3,390000,390000
79,2985.622541162233,790000,Hopper-v3,TD3,395000,395000
80,2354.5585968040978,800000,Hopper-v3,TD3,400000,400000
81,3356.437371994505,810000,Hopper-v3,TD3,405000,405000
82,3288.8269053602367,820000,Hopper-v3,TD3,410000,410000
83,2844.2191877050927,830000,Hopper-v3,TD3,415000,415000
84,3188.41614724907,840000,Hopper-v3,TD3,420000,420000
85,2971.555464241017,850000,Hopper-v3,TD3,425000,425000
86,3336.5747048804674,860000,Hopper-v3,TD3,430000,430000
87,1591.2093326587787,870000,Hopper-v3,TD3,435000,435000
88,1776.8218034553088,880000,Hopper-v3,TD3,440000,440000
89,2673.760254985691,890000,Hopper-v3,TD3,445000,445000
90,1886.7134789133265,900000,Hopper-v3,TD3,450000,450000
91,2550.2038119351278,910000,Hopper-v3,TD3,455000,455000
92,2409.5431862778987,920000,Hopper-v3,TD3,460000,460000
93,3471.050504307496,930000,Hopper-v3,TD3,465000,465000
94,2314.665278297076,940000,Hopper-v3,TD3,470000,470000
95,3351.9874272518578,950000,Hopper-v3,TD3,475000,475000
96,3354.5027766107605,960000,Hopper-v3,TD3,480000,480000
97,3551.647555059703,970000,Hopper-v3,TD3,485000,485000
98,2887.484543641513,980000,Hopper-v3,TD3,490000,490000
99,3591.4195109096777,990000,Hopper-v3,TD3,495000,495000
100,1391.9962114568864,1000000,Hopper-v3,TD3,500000,500000
