index,Average Return,Timesteps,env,algorithm_name
0,12.204394053083876,0,Hopper-v3,TD3
1,12.204394053083876,5000,Hopper-v3,TD3
2,12.204394053083876,10000,Hopper-v3,TD3
3,166.9699169940604,15000,Hopper-v3,TD3
4,238.49962128675983,20000,Hopper-v3,TD3
5,320.93006120195554,25000,Hopper-v3,TD3
6,340.94365302192915,30000,Hopper-v3,TD3
7,255.66522776643103,35000,Hopper-v3,TD3
8,247.8865042006373,40000,Hopper-v3,TD3
9,266.1088052483583,45000,Hopper-v3,TD3
10,411.4860311371467,50000,Hopper-v3,TD3
11,449.5744121415082,55000,Hopper-v3,TD3
12,383.846850966036,60000,Hopper-v3,TD3
13,376.07326861806354,65000,Hopper-v3,TD3
14,519.3814664180011,70000,Hopper-v3,TD3
15,315.2696760268908,75000,Hopper-v3,TD3
16,302.97441894967494,80000,Hopper-v3,TD3
17,580.8665064186471,85000,Hopper-v3,TD3
18,368.8797950976656,90000,Hopper-v3,TD3
19,398.1900549844665,95000,Hopper-v3,TD3
20,773.6633380518495,100000,Hopper-v3,TD3
21,1067.2205801212142,105000,Hopper-v3,TD3
22,2727.554970789858,110000,Hopper-v3,TD3
23,2518.9620991484057,115000,Hopper-v3,TD3
24,1851.9551287010695,120000,Hopper-v3,TD3
25,2130.6073229289127,125000,Hopper-v3,TD3
26,957.1045027681836,130000,Hopper-v3,TD3
27,2947.0938868379267,135000,Hopper-v3,TD3
28,370.074325327599,140000,Hopper-v3,TD3
29,855.2659362424422,145000,Hopper-v3,TD3
30,2272.89056028954,150000,Hopper-v3,TD3
31,639.4945566496806,155000,Hopper-v3,TD3
32,806.9751525311399,160000,Hopper-v3,TD3
33,1652.6199756270976,165000,Hopper-v3,TD3
34,1365.5123094778148,170000,Hopper-v3,TD3
35,1072.2373750583774,175000,Hopper-v3,TD3
36,2122.6311474618337,180000,Hopper-v3,TD3
37,1214.0526113818228,185000,Hopper-v3,TD3
38,1438.9505675764815,190000,Hopper-v3,TD3
39,1395.9761988450389,195000,Hopper-v3,TD3
40,1219.5337848022318,200000,Hopper-v3,TD3
41,267.0028794644542,205000,Hopper-v3,TD3
42,2137.477607024529,210000,Hopper-v3,TD3
43,1688.1374011768971,215000,Hopper-v3,TD3
44,1279.91967754602,220000,Hopper-v3,TD3
45,2990.9012520890947,225000,Hopper-v3,TD3
46,1133.0072522882772,230000,Hopper-v3,TD3
47,1898.1461037052748,235000,Hopper-v3,TD3
48,2910.979112638783,240000,Hopper-v3,TD3
49,1856.0325617360768,245000,Hopper-v3,TD3
50,1635.6665996894803,250000,Hopper-v3,TD3
51,1743.466898528237,255000,Hopper-v3,TD3
52,2500.760525185334,260000,Hopper-v3,TD3
53,2132.6484279449824,265000,Hopper-v3,TD3
54,2584.612958186612,270000,Hopper-v3,TD3
55,2476.1383549315915,275000,Hopper-v3,TD3
56,2340.79688163476,280000,Hopper-v3,TD3
57,2768.9064100186306,285000,Hopper-v3,TD3
58,2944.591591445823,290000,Hopper-v3,TD3
59,2963.43579124776,295000,Hopper-v3,TD3
60,2849.9362388937584,300000,Hopper-v3,TD3
61,2884.9349269039512,305000,Hopper-v3,TD3
62,2880.466959913493,310000,Hopper-v3,TD3
63,2902.5399398136697,315000,Hopper-v3,TD3
64,1818.918025230893,320000,Hopper-v3,TD3
65,899.9538415857409,325000,Hopper-v3,TD3
66,1408.2645526553224,330000,Hopper-v3,TD3
67,1896.533279451614,335000,Hopper-v3,TD3
68,1368.37644629968,340000,Hopper-v3,TD3
69,2532.8984427274654,345000,Hopper-v3,TD3
70,2686.6050966890957,350000,Hopper-v3,TD3
71,823.042740216124,355000,Hopper-v3,TD3
72,2251.683662934899,360000,Hopper-v3,TD3
73,2634.7918115655907,365000,Hopper-v3,TD3
74,3045.0352047774013,370000,Hopper-v3,TD3
75,2927.983558158317,375000,Hopper-v3,TD3
76,1012.2474007338304,380000,Hopper-v3,TD3
77,1206.952556677233,385000,Hopper-v3,TD3
78,1724.7152412173953,390000,Hopper-v3,TD3
79,1440.247446436702,395000,Hopper-v3,TD3
