index,Average Return,Timesteps,env,algorithm_name
0,17.90740339395135,0,Hopper-v3,TD3_FORK
1,17.90740339395135,5000,Hopper-v3,TD3_FORK
2,17.90740339395135,10000,Hopper-v3,TD3_FORK
3,170.0447743264726,15000,Hopper-v3,TD3_FORK
4,175.8353250756391,20000,Hopper-v3,TD3_FORK
5,149.40722029408371,25000,Hopper-v3,TD3_FORK
6,200.97855516047807,30000,Hopper-v3,TD3_FORK
7,203.0199170401037,35000,Hopper-v3,TD3_FORK
8,199.6215285079899,40000,Hopper-v3,TD3_FORK
9,223.35206264833096,45000,Hopper-v3,TD3_FORK
10,231.8034467510431,50000,Hopper-v3,TD3_FORK
11,239.32768110615453,55000,Hopper-v3,TD3_FORK
12,216.16614299743384,60000,Hopper-v3,TD3_FORK
13,194.3765903382396,65000,Hopper-v3,TD3_FORK
14,263.81719218467595,70000,Hopper-v3,TD3_FORK
15,252.24164695926456,75000,Hopper-v3,TD3_FORK
16,242.4050791520772,80000,Hopper-v3,TD3_FORK
17,246.54629751016395,85000,Hopper-v3,TD3_FORK
18,250.65416676173504,90000,Hopper-v3,TD3_FORK
19,277.2605995234873,95000,Hopper-v3,TD3_FORK
20,273.0271787941468,100000,Hopper-v3,TD3_FORK
21,312.4882064616017,105000,Hopper-v3,TD3_FORK
22,305.83509564112444,110000,Hopper-v3,TD3_FORK
23,297.5046615040738,115000,Hopper-v3,TD3_FORK
24,278.6969114530212,120000,Hopper-v3,TD3_FORK
25,276.7378657321996,125000,Hopper-v3,TD3_FORK
26,267.69763220349665,130000,Hopper-v3,TD3_FORK
27,327.61093338722594,135000,Hopper-v3,TD3_FORK
28,316.4252909970471,140000,Hopper-v3,TD3_FORK
29,298.14447479902054,145000,Hopper-v3,TD3_FORK
30,357.8613774547528,150000,Hopper-v3,TD3_FORK
31,324.3036673360047,155000,Hopper-v3,TD3_FORK
32,297.6478242060156,160000,Hopper-v3,TD3_FORK
33,354.43703636104897,165000,Hopper-v3,TD3_FORK
34,361.5709786067272,170000,Hopper-v3,TD3_FORK
35,293.37934190703777,175000,Hopper-v3,TD3_FORK
36,363.013885251431,180000,Hopper-v3,TD3_FORK
37,496.7359593088992,185000,Hopper-v3,TD3_FORK
38,383.9734100806916,190000,Hopper-v3,TD3_FORK
39,351.6055283771905,195000,Hopper-v3,TD3_FORK
40,858.3176372200787,200000,Hopper-v3,TD3_FORK
41,669.4731157083584,205000,Hopper-v3,TD3_FORK
42,337.3156000474364,210000,Hopper-v3,TD3_FORK
43,162.21434585340688,215000,Hopper-v3,TD3_FORK
44,617.6691761887203,220000,Hopper-v3,TD3_FORK
45,525.739654487739,225000,Hopper-v3,TD3_FORK
46,1167.5430081363725,230000,Hopper-v3,TD3_FORK
47,2573.8642018304,235000,Hopper-v3,TD3_FORK
48,1556.8661657136704,240000,Hopper-v3,TD3_FORK
49,551.4833388550783,245000,Hopper-v3,TD3_FORK
50,2235.9464838057943,250000,Hopper-v3,TD3_FORK
51,1038.3143678731365,255000,Hopper-v3,TD3_FORK
52,1871.0132924477691,260000,Hopper-v3,TD3_FORK
53,1527.6205542238245,265000,Hopper-v3,TD3_FORK
54,1089.7901425372297,270000,Hopper-v3,TD3_FORK
55,903.3222327736672,275000,Hopper-v3,TD3_FORK
56,1269.0851207842325,280000,Hopper-v3,TD3_FORK
57,2765.362438220314,285000,Hopper-v3,TD3_FORK
58,1071.9470113824796,290000,Hopper-v3,TD3_FORK
59,2325.861956088644,295000,Hopper-v3,TD3_FORK
60,1769.42652411076,300000,Hopper-v3,TD3_FORK
61,1622.782382924828,305000,Hopper-v3,TD3_FORK
62,975.4007623443676,310000,Hopper-v3,TD3_FORK
63,1699.7536324207715,315000,Hopper-v3,TD3_FORK
64,1574.0317686346775,320000,Hopper-v3,TD3_FORK
65,1490.6029077908174,325000,Hopper-v3,TD3_FORK
66,948.2319622857352,330000,Hopper-v3,TD3_FORK
67,1413.2124860054078,335000,Hopper-v3,TD3_FORK
68,1574.6517831546175,340000,Hopper-v3,TD3_FORK
69,2599.0389186059847,345000,Hopper-v3,TD3_FORK
70,2946.1091662523545,350000,Hopper-v3,TD3_FORK
71,1654.2320970370197,355000,Hopper-v3,TD3_FORK
72,3122.5597376112373,360000,Hopper-v3,TD3_FORK
73,1197.8957623523215,365000,Hopper-v3,TD3_FORK
74,2847.464510589366,370000,Hopper-v3,TD3_FORK
75,3321.245035188353,375000,Hopper-v3,TD3_FORK
76,3215.409188654277,380000,Hopper-v3,TD3_FORK
77,3074.0975209596963,385000,Hopper-v3,TD3_FORK
78,3267.094123954555,390000,Hopper-v3,TD3_FORK
79,3235.366740642211,395000,Hopper-v3,TD3_FORK
80,2828.368910732057,400000,Hopper-v3,TD3_FORK
81,3238.744337430803,405000,Hopper-v3,TD3_FORK
82,3309.3555858861023,410000,Hopper-v3,TD3_FORK
83,3296.336190429771,415000,Hopper-v3,TD3_FORK
84,3286.388338283753,420000,Hopper-v3,TD3_FORK
85,3235.037800905158,425000,Hopper-v3,TD3_FORK
86,3248.479827368075,430000,Hopper-v3,TD3_FORK
87,3181.0391903267578,435000,Hopper-v3,TD3_FORK
88,3273.262435825848,440000,Hopper-v3,TD3_FORK
89,3185.70071761783,445000,Hopper-v3,TD3_FORK
90,3290.9384433308887,450000,Hopper-v3,TD3_FORK
91,3196.341692663801,455000,Hopper-v3,TD3_FORK
92,3288.919774516567,460000,Hopper-v3,TD3_FORK
93,3364.263014234565,465000,Hopper-v3,TD3_FORK
94,2903.769182297407,470000,Hopper-v3,TD3_FORK
95,3268.0204580871787,475000,Hopper-v3,TD3_FORK
96,3257.0407412496725,480000,Hopper-v3,TD3_FORK
