index,Average Return,Timesteps,env,algorithm_name
0,128.767583579691,0,Humanoid-v3,SAC
1,84.7267483175771,5000,Humanoid-v3,SAC
2,296.81303349571,10000,Humanoid-v3,SAC
3,335.026146427394,15000,Humanoid-v3,SAC
4,263.49010407129,20000,Humanoid-v3,SAC
5,446.988981775065,25000,Humanoid-v3,SAC
6,395.986867251721,30000,Humanoid-v3,SAC
7,492.786096735295,35000,Humanoid-v3,SAC
8,401.379640941577,40000,Humanoid-v3,SAC
9,361.452824186687,45000,Humanoid-v3,SAC
10,388.181377964125,50000,Humanoid-v3,SAC
11,427.1498116431,55000,Humanoid-v3,SAC
12,479.070627649433,60000,Humanoid-v3,SAC
13,470.24347080065,65000,Humanoid-v3,SAC
14,461.582777749364,70000,Humanoid-v3,SAC
15,560.35652826971,75000,Humanoid-v3,SAC
16,497.793036311976,80000,Humanoid-v3,SAC
17,525.170561167682,85000,Humanoid-v3,SAC
18,557.69592185559,90000,Humanoid-v3,SAC
19,534.143074964345,95000,Humanoid-v3,SAC
20,559.91175848288,100000,Humanoid-v3,SAC
21,577.858065910514,105000,Humanoid-v3,SAC
22,538.808330386099,110000,Humanoid-v3,SAC
23,495.686022639289,115000,Humanoid-v3,SAC
24,393.28693586065,120000,Humanoid-v3,SAC
25,490.721298574632,125000,Humanoid-v3,SAC
26,627.455199461265,130000,Humanoid-v3,SAC
27,551.279752074439,135000,Humanoid-v3,SAC
28,547.402034816663,140000,Humanoid-v3,SAC
29,664.814314981862,145000,Humanoid-v3,SAC
30,580.392565353328,150000,Humanoid-v3,SAC
31,686.107698073125,155000,Humanoid-v3,SAC
32,601.187831493035,160000,Humanoid-v3,SAC
33,657.106123114601,165000,Humanoid-v3,SAC
34,599.817812944394,170000,Humanoid-v3,SAC
35,607.324616467596,175000,Humanoid-v3,SAC
36,716.155744522886,180000,Humanoid-v3,SAC
37,494.721700997531,185000,Humanoid-v3,SAC
38,613.620694857424,190000,Humanoid-v3,SAC
39,677.526348875309,195000,Humanoid-v3,SAC
40,714.879646893752,200000,Humanoid-v3,SAC
41,702.119343517328,205000,Humanoid-v3,SAC
42,1106.87151031625,210000,Humanoid-v3,SAC
43,936.870639938094,215000,Humanoid-v3,SAC
