index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,162.37971708282362,0,Humanoid-v3,SAC,0,0
1,84.64964157885207,5000,Humanoid-v3,SAC,5000,5000
2,92.67469972107277,10000,Humanoid-v3,SAC,10000,10000
3,312.3180197656133,15000,Humanoid-v3,SAC,15000,15000
4,324.5707373449779,20000,Humanoid-v3,SAC,20000,20000
5,528.7811431379838,25000,Humanoid-v3,SAC,25000,25000
6,335.08160039475564,30000,Humanoid-v3,SAC,30000,30000
7,425.756421521724,35000,Humanoid-v3,SAC,35000,35000
8,475.42521727445813,40000,Humanoid-v3,SAC,40000,40000
9,502.9798448373857,45000,Humanoid-v3,SAC,45000,45000
10,484.1187380779737,50000,Humanoid-v3,SAC,50000,50000
11,527.3596209652396,55000,Humanoid-v3,SAC,55000,55000
12,509.9284038313089,60000,Humanoid-v3,SAC,60000,60000
13,542.6296462857193,65000,Humanoid-v3,SAC,65000,65000
14,464.05459795532687,70000,Humanoid-v3,SAC,70000,70000
15,541.2024941194112,75000,Humanoid-v3,SAC,75000,75000
16,589.4477189795905,80000,Humanoid-v3,SAC,80000,80000
17,593.6476992419267,85000,Humanoid-v3,SAC,85000,85000
18,569.7214331944817,90000,Humanoid-v3,SAC,90000,90000
19,645.3950630086414,95000,Humanoid-v3,SAC,95000,95000
20,673.3633268664006,100000,Humanoid-v3,SAC,100000,100000
21,639.6787688297758,105000,Humanoid-v3,SAC,105000,105000
22,671.3668390920786,110000,Humanoid-v3,SAC,110000,110000
23,669.6941650754253,115000,Humanoid-v3,SAC,115000,115000
24,689.2914359509974,120000,Humanoid-v3,SAC,120000,120000
25,724.0021861182734,125000,Humanoid-v3,SAC,125000,125000
26,634.2186086528711,130000,Humanoid-v3,SAC,130000,130000
27,685.4917719857514,135000,Humanoid-v3,SAC,135000,135000
28,581.5801620760677,140000,Humanoid-v3,SAC,140000,140000
29,624.4364481947052,145000,Humanoid-v3,SAC,145000,145000
30,860.1254870646285,150000,Humanoid-v3,SAC,150000,150000
31,592.9137688879878,155000,Humanoid-v3,SAC,155000,155000
32,869.2377157447353,160000,Humanoid-v3,SAC,160000,160000
33,707.873564730995,165000,Humanoid-v3,SAC,165000,165000
34,656.7084450004061,170000,Humanoid-v3,SAC,170000,170000
35,617.8569412997838,175000,Humanoid-v3,SAC,175000,175000
36,661.4641807103787,180000,Humanoid-v3,SAC,180000,180000
37,582.5532994406556,185000,Humanoid-v3,SAC,185000,185000
38,793.8459327449957,190000,Humanoid-v3,SAC,190000,190000
39,849.7828495151097,195000,Humanoid-v3,SAC,195000,195000
40,1010.4686560698804,200000,Humanoid-v3,SAC,200000,200000
41,940.685144351087,205000,Humanoid-v3,SAC,205000,205000
42,954.0904952741349,210000,Humanoid-v3,SAC,210000,210000
43,1191.3544301331199,215000,Humanoid-v3,SAC,215000,215000
44,1034.4898238479616,220000,Humanoid-v3,SAC,220000,220000
45,747.6799205148061,225000,Humanoid-v3,SAC,225000,225000
46,944.7576041193672,230000,Humanoid-v3,SAC,230000,230000
47,1045.2360237393075,235000,Humanoid-v3,SAC,235000,235000
48,1601.1847868478894,240000,Humanoid-v3,SAC,240000,240000
49,1461.7633384179805,245000,Humanoid-v3,SAC,245000,245000
50,977.0984645659552,250000,Humanoid-v3,SAC,250000,250000
51,1183.649209754005,255000,Humanoid-v3,SAC,255000,255000
52,1101.8607280811866,260000,Humanoid-v3,SAC,260000,260000
53,1366.1932066113345,265000,Humanoid-v3,SAC,265000,265000
54,1465.2295258401693,270000,Humanoid-v3,SAC,270000,270000
55,1198.4172991262578,275000,Humanoid-v3,SAC,275000,275000
56,2192.9878505139927,280000,Humanoid-v3,SAC,280000,280000
57,2294.081282423352,285000,Humanoid-v3,SAC,285000,285000
58,3954.0301561856895,290000,Humanoid-v3,SAC,290000,290000
59,3342.2517281238056,295000,Humanoid-v3,SAC,295000,295000
60,3106.6901500764,300000,Humanoid-v3,SAC,300000,300000
61,1400.9872971391433,305000,Humanoid-v3,SAC,305000,305000
