index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,71.08439386018195,0,Humanoid-v3,SACSYS,0,0
1,130.96141830354006,5000,Humanoid-v3,SACSYS,5000,5000
2,254.6122447439693,10000,Humanoid-v3,SACSYS,10000,10000
3,290.10663022258257,15000,Humanoid-v3,SACSYS,15000,15000
4,378.71958995155853,20000,Humanoid-v3,SACSYS,20000,20000
5,304.6547010425556,25000,Humanoid-v3,SACSYS,25000,25000
6,387.856234217292,30000,Humanoid-v3,SACSYS,30000,30000
7,534.2707901528448,35000,Humanoid-v3,SACSYS,35000,35000
8,434.12772985466586,40000,Humanoid-v3,SACSYS,40000,40000
9,517.7266716494631,45000,Humanoid-v3,SACSYS,45000,45000
10,584.168796168383,50000,Humanoid-v3,SACSYS,50000,50000
11,432.12323900525627,55000,Humanoid-v3,SACSYS,55000,55000
12,515.7968922621064,60000,Humanoid-v3,SACSYS,60000,60000
13,576.7121005163738,65000,Humanoid-v3,SACSYS,65000,65000
14,562.9308738515397,70000,Humanoid-v3,SACSYS,70000,70000
15,542.6011374836496,75000,Humanoid-v3,SACSYS,75000,75000
16,596.3480075940588,80000,Humanoid-v3,SACSYS,80000,80000
17,611.3621348663922,85000,Humanoid-v3,SACSYS,85000,85000
18,505.16925893131867,90000,Humanoid-v3,SACSYS,90000,90000
19,622.4267067022312,95000,Humanoid-v3,SACSYS,95000,95000
20,642.6646526546966,100000,Humanoid-v3,SACSYS,100000,100000
21,680.6774946482312,105000,Humanoid-v3,SACSYS,105000,105000
22,635.9947875574826,110000,Humanoid-v3,SACSYS,110000,110000
23,679.6859845130963,115000,Humanoid-v3,SACSYS,115000,115000
24,626.3281221328975,120000,Humanoid-v3,SACSYS,120000,120000
25,627.0456084236075,125000,Humanoid-v3,SACSYS,125000,125000
26,629.9939920357342,130000,Humanoid-v3,SACSYS,130000,130000
27,723.3671139528909,135000,Humanoid-v3,SACSYS,135000,135000
28,850.0546208244548,140000,Humanoid-v3,SACSYS,140000,140000
29,587.7984553096637,145000,Humanoid-v3,SACSYS,145000,145000
30,907.4333097420442,150000,Humanoid-v3,SACSYS,150000,150000
31,772.5085469847978,155000,Humanoid-v3,SACSYS,155000,155000
32,733.9185369575143,160000,Humanoid-v3,SACSYS,160000,160000
33,840.8147789104618,165000,Humanoid-v3,SACSYS,165000,165000
34,929.7652981298863,170000,Humanoid-v3,SACSYS,170000,170000
35,680.357531532932,175000,Humanoid-v3,SACSYS,175000,175000
36,638.0268945304177,180000,Humanoid-v3,SACSYS,180000,180000
37,1062.0969577387461,185000,Humanoid-v3,SACSYS,185000,185000
38,659.7342556662741,190000,Humanoid-v3,SACSYS,190000,190000
39,897.1766379055629,195000,Humanoid-v3,SACSYS,195000,195000
40,1117.2248781898131,200000,Humanoid-v3,SACSYS,200000,200000
41,1293.3920559314133,205000,Humanoid-v3,SACSYS,205000,205000
42,1116.9391693060354,210000,Humanoid-v3,SACSYS,210000,210000
43,1670.2377686227665,215000,Humanoid-v3,SACSYS,215000,215000
44,1087.3132196851886,220000,Humanoid-v3,SACSYS,220000,220000
45,1457.4030386578283,225000,Humanoid-v3,SACSYS,225000,225000
46,889.829270467422,230000,Humanoid-v3,SACSYS,230000,230000
47,1299.5754924575176,235000,Humanoid-v3,SACSYS,235000,235000
48,2292.720602009672,240000,Humanoid-v3,SACSYS,240000,240000
49,3593.346206891228,245000,Humanoid-v3,SACSYS,245000,245000
50,4009.1149926898406,250000,Humanoid-v3,SACSYS,250000,250000
51,2286.1060735964265,255000,Humanoid-v3,SACSYS,255000,255000
52,1802.2611426582232,260000,Humanoid-v3,SACSYS,260000,260000
53,4196.005706545218,265000,Humanoid-v3,SACSYS,265000,265000
54,4547.550394370556,270000,Humanoid-v3,SACSYS,270000,270000
55,5145.490972596278,275000,Humanoid-v3,SACSYS,275000,275000
56,3723.3770298162976,280000,Humanoid-v3,SACSYS,280000,280000
