index,Average Return,Timesteps,env,algorithm_name
0,159.5421305853294,0,Humanoid-v3,TD3
1,159.5421305853294,5000,Humanoid-v3,TD3
2,159.5421305853294,10000,Humanoid-v3,TD3
3,228.99833859822647,15000,Humanoid-v3,TD3
4,213.9636909705768,20000,Humanoid-v3,TD3
5,264.7230706780199,25000,Humanoid-v3,TD3
6,102.0896195620458,30000,Humanoid-v3,TD3
7,169.0824125147233,35000,Humanoid-v3,TD3
8,169.66242995222842,40000,Humanoid-v3,TD3
9,163.61593811426536,45000,Humanoid-v3,TD3
10,172.59972031194906,50000,Humanoid-v3,TD3
11,213.7757233164308,55000,Humanoid-v3,TD3
12,341.5227165017004,60000,Humanoid-v3,TD3
13,382.1856145201799,65000,Humanoid-v3,TD3
14,256.57279465091733,70000,Humanoid-v3,TD3
15,327.5840521916084,75000,Humanoid-v3,TD3
16,377.18077239028673,80000,Humanoid-v3,TD3
17,364.71815068717103,85000,Humanoid-v3,TD3
18,417.9144319510393,90000,Humanoid-v3,TD3
19,428.1180039817887,95000,Humanoid-v3,TD3
20,308.0528182905656,100000,Humanoid-v3,TD3
21,308.72054571558385,105000,Humanoid-v3,TD3
22,433.4373798703096,110000,Humanoid-v3,TD3
23,385.0750551853372,115000,Humanoid-v3,TD3
24,511.1174308750569,120000,Humanoid-v3,TD3
25,350.0119937628594,125000,Humanoid-v3,TD3
26,508.7082526252008,130000,Humanoid-v3,TD3
27,429.8191563783286,135000,Humanoid-v3,TD3
28,537.6114025100749,140000,Humanoid-v3,TD3
29,476.5323178986244,145000,Humanoid-v3,TD3
30,497.2217009166649,150000,Humanoid-v3,TD3
31,418.8062174734631,155000,Humanoid-v3,TD3
32,507.1706247915157,160000,Humanoid-v3,TD3
33,502.55170469157554,165000,Humanoid-v3,TD3
34,564.7758380765011,170000,Humanoid-v3,TD3
35,515.9858776815997,175000,Humanoid-v3,TD3
36,641.7361129476143,180000,Humanoid-v3,TD3
37,512.211889964049,185000,Humanoid-v3,TD3
38,570.0727907839117,190000,Humanoid-v3,TD3
39,462.7910268081367,195000,Humanoid-v3,TD3
40,512.0601696158242,200000,Humanoid-v3,TD3
41,625.7166227343059,205000,Humanoid-v3,TD3
42,641.9595462470564,210000,Humanoid-v3,TD3
43,628.6147269240114,215000,Humanoid-v3,TD3
44,654.8819977948258,220000,Humanoid-v3,TD3
45,556.2100574274002,225000,Humanoid-v3,TD3
46,558.1145745380963,230000,Humanoid-v3,TD3
47,612.1344231012752,235000,Humanoid-v3,TD3
48,634.4523459504722,240000,Humanoid-v3,TD3
49,584.6896225762138,245000,Humanoid-v3,TD3
50,587.1277877784062,250000,Humanoid-v3,TD3
51,640.3550058713653,255000,Humanoid-v3,TD3
52,638.3374492456221,260000,Humanoid-v3,TD3
53,654.6668755895428,265000,Humanoid-v3,TD3
54,618.4131753455152,270000,Humanoid-v3,TD3
55,883.1359942140298,275000,Humanoid-v3,TD3
56,667.2100685180865,280000,Humanoid-v3,TD3
