index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,189.0536310132612,0,Humanoid-v3,TD3,0,0
1,189.0536310132612,10000,Humanoid-v3,TD3,5000,5000
2,470.8966442089003,20000,Humanoid-v3,TD3,10000,10000
3,191.73899911717322,30000,Humanoid-v3,TD3,15000,15000
4,379.2614437757033,40000,Humanoid-v3,TD3,20000,20000
5,367.0840113894212,50000,Humanoid-v3,TD3,25000,25000
6,253.18452155161827,60000,Humanoid-v3,TD3,30000,30000
7,450.4595779975962,70000,Humanoid-v3,TD3,35000,35000
8,424.27627615604814,80000,Humanoid-v3,TD3,40000,40000
9,552.1783517049712,90000,Humanoid-v3,TD3,45000,45000
10,406.744765957305,100000,Humanoid-v3,TD3,50000,50000
11,477.81640216375035,110000,Humanoid-v3,TD3,55000,55000
12,628.9641038445342,120000,Humanoid-v3,TD3,60000,60000
13,464.3744124890821,130000,Humanoid-v3,TD3,65000,65000
14,494.2853045520095,140000,Humanoid-v3,TD3,70000,70000
15,427.7339431206423,150000,Humanoid-v3,TD3,75000,75000
16,544.5726616103741,160000,Humanoid-v3,TD3,80000,80000
17,543.5955164412883,170000,Humanoid-v3,TD3,85000,85000
18,562.2835269914574,180000,Humanoid-v3,TD3,90000,90000
19,661.6569484035117,190000,Humanoid-v3,TD3,95000,95000
20,656.9141786271846,200000,Humanoid-v3,TD3,100000,100000
21,590.7334477655287,210000,Humanoid-v3,TD3,105000,105000
22,660.0317508934038,220000,Humanoid-v3,TD3,110000,110000
23,796.610033708888,230000,Humanoid-v3,TD3,115000,115000
24,640.7591938654566,240000,Humanoid-v3,TD3,120000,120000
25,952.4527797584996,250000,Humanoid-v3,TD3,125000,125000
26,880.0607528484297,260000,Humanoid-v3,TD3,130000,130000
27,685.8269507310408,270000,Humanoid-v3,TD3,135000,135000
28,1194.409589126505,280000,Humanoid-v3,TD3,140000,140000
29,967.8884121757886,290000,Humanoid-v3,TD3,145000,145000
30,989.1443082472078,300000,Humanoid-v3,TD3,150000,150000
31,1773.9852983694072,310000,Humanoid-v3,TD3,155000,155000
32,1303.9809305909414,320000,Humanoid-v3,TD3,160000,160000
33,2992.4918640944024,330000,Humanoid-v3,TD3,165000,165000
34,2601.2805318599108,340000,Humanoid-v3,TD3,170000,170000
35,4162.530634377014,350000,Humanoid-v3,TD3,175000,175000
