index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,1.1321002933036548,0,Walker2d-v3,SAC,0,0
1,329.206624867146,5000,Walker2d-v3,SAC,5000,5000
2,331.73181570160006,10000,Walker2d-v3,SAC,10000,10000
3,157.95172527238998,15000,Walker2d-v3,SAC,15000,15000
4,-17.902332370590837,20000,Walker2d-v3,SAC,20000,20000
5,18.565231180783066,25000,Walker2d-v3,SAC,25000,25000
6,210.83287609061455,30000,Walker2d-v3,SAC,30000,30000
7,240.4742621753881,35000,Walker2d-v3,SAC,35000,35000
8,456.9488168316098,40000,Walker2d-v3,SAC,40000,40000
9,570.4946784099445,45000,Walker2d-v3,SAC,45000,45000
10,402.34265086501586,50000,Walker2d-v3,SAC,50000,50000
11,79.47926914568896,55000,Walker2d-v3,SAC,55000,55000
12,391.3269644581591,60000,Walker2d-v3,SAC,60000,60000
13,353.84917571059225,65000,Walker2d-v3,SAC,65000,65000
14,476.2648158600012,70000,Walker2d-v3,SAC,70000,70000
15,406.0089485574815,75000,Walker2d-v3,SAC,75000,75000
16,326.020308323746,80000,Walker2d-v3,SAC,80000,80000
17,522.0967033466212,85000,Walker2d-v3,SAC,85000,85000
18,393.39337362965546,90000,Walker2d-v3,SAC,90000,90000
19,303.5184611752345,95000,Walker2d-v3,SAC,95000,95000
20,341.49936612042706,100000,Walker2d-v3,SAC,100000,100000
21,549.3442219436176,105000,Walker2d-v3,SAC,105000,105000
22,520.3903754342922,110000,Walker2d-v3,SAC,110000,110000
23,482.2984286105937,115000,Walker2d-v3,SAC,115000,115000
24,416.26992142178614,120000,Walker2d-v3,SAC,120000,120000
25,484.05900148151017,125000,Walker2d-v3,SAC,125000,125000
26,385.2286669210035,130000,Walker2d-v3,SAC,130000,130000
27,459.5401082285415,135000,Walker2d-v3,SAC,135000,135000
28,514.8727318467844,140000,Walker2d-v3,SAC,140000,140000
29,375.6389099742884,145000,Walker2d-v3,SAC,145000,145000
30,735.1651924133981,150000,Walker2d-v3,SAC,150000,150000
31,680.5504248805225,155000,Walker2d-v3,SAC,155000,155000
32,527.9770089317392,160000,Walker2d-v3,SAC,160000,160000
33,331.6988688876617,165000,Walker2d-v3,SAC,165000,165000
34,353.3193508705831,170000,Walker2d-v3,SAC,170000,170000
35,675.4467466985433,175000,Walker2d-v3,SAC,175000,175000
36,476.43163700001094,180000,Walker2d-v3,SAC,180000,180000
37,474.6642493784697,185000,Walker2d-v3,SAC,185000,185000
