index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,-4.9151594951875355,0,Walker2d-v3,SACSYS,0,0
1,85.39448531210998,5000,Walker2d-v3,SACSYS,5000,5000
2,938.8322940005316,10000,Walker2d-v3,SACSYS,10000,10000
3,-31.09072970694481,15000,Walker2d-v3,SACSYS,15000,15000
4,10.619300297627225,20000,Walker2d-v3,SACSYS,20000,20000
5,-12.554007477165596,25000,Walker2d-v3,SACSYS,25000,25000
6,184.3058070887336,30000,Walker2d-v3,SACSYS,30000,30000
7,330.22265993423457,35000,Walker2d-v3,SACSYS,35000,35000
8,331.17867031570097,40000,Walker2d-v3,SACSYS,40000,40000
9,458.122064263773,45000,Walker2d-v3,SACSYS,45000,45000
10,854.9097243084766,50000,Walker2d-v3,SACSYS,50000,50000
11,858.3482615287506,55000,Walker2d-v3,SACSYS,55000,55000
12,377.4271144778834,60000,Walker2d-v3,SACSYS,60000,60000
13,392.0133920114225,65000,Walker2d-v3,SACSYS,65000,65000
14,265.51848708700487,70000,Walker2d-v3,SACSYS,70000,70000
15,226.0009713654584,75000,Walker2d-v3,SACSYS,75000,75000
16,377.9233268777797,80000,Walker2d-v3,SACSYS,80000,80000
17,352.4398243629872,85000,Walker2d-v3,SACSYS,85000,85000
18,181.99947402077967,90000,Walker2d-v3,SACSYS,90000,90000
19,322.57015779450967,95000,Walker2d-v3,SACSYS,95000,95000
20,668.4147288999274,100000,Walker2d-v3,SACSYS,100000,100000
21,557.4476396429957,105000,Walker2d-v3,SACSYS,105000,105000
22,316.4738021068788,110000,Walker2d-v3,SACSYS,110000,110000
23,708.8453478601193,115000,Walker2d-v3,SACSYS,115000,115000
24,928.4804091549324,120000,Walker2d-v3,SACSYS,120000,120000
25,467.33821417066116,125000,Walker2d-v3,SACSYS,125000,125000
26,345.4221140881154,130000,Walker2d-v3,SACSYS,130000,130000
27,419.9476768133029,135000,Walker2d-v3,SACSYS,135000,135000
28,426.2663253898244,140000,Walker2d-v3,SACSYS,140000,140000
29,327.94176041601713,145000,Walker2d-v3,SACSYS,145000,145000
30,378.17717302682564,150000,Walker2d-v3,SACSYS,150000,150000
31,641.2267361784648,155000,Walker2d-v3,SACSYS,155000,155000
32,533.6237877458036,160000,Walker2d-v3,SACSYS,160000,160000
33,704.6470954980821,165000,Walker2d-v3,SACSYS,165000,165000
34,1204.3297117848801,170000,Walker2d-v3,SACSYS,170000,170000
35,403.31322829230896,175000,Walker2d-v3,SACSYS,175000,175000
36,430.15570911620847,180000,Walker2d-v3,SACSYS,180000,180000
37,560.0464093870145,185000,Walker2d-v3,SACSYS,185000,185000
38,951.4665636110201,190000,Walker2d-v3,SACSYS,190000,190000
39,1228.4610027071226,195000,Walker2d-v3,SACSYS,195000,195000
40,811.5063458898102,200000,Walker2d-v3,SACSYS,200000,200000
41,572.7951265521534,205000,Walker2d-v3,SACSYS,205000,205000
42,896.9954328062735,210000,Walker2d-v3,SACSYS,210000,210000
43,1001.4874795904448,215000,Walker2d-v3,SACSYS,215000,215000
44,3049.4206935807433,220000,Walker2d-v3,SACSYS,220000,220000
45,3068.365684416059,225000,Walker2d-v3,SACSYS,225000,225000
46,2861.5186120692188,230000,Walker2d-v3,SACSYS,230000,230000
47,3368.2362255553553,235000,Walker2d-v3,SACSYS,235000,235000
48,2948.547649406708,240000,Walker2d-v3,SACSYS,240000,240000
49,3266.9739389912156,245000,Walker2d-v3,SACSYS,245000,245000
50,2899.2969746996528,250000,Walker2d-v3,SACSYS,250000,250000
51,2850.014374511223,255000,Walker2d-v3,SACSYS,255000,255000
52,3142.0897857714867,260000,Walker2d-v3,SACSYS,260000,260000
53,2994.372436107459,265000,Walker2d-v3,SACSYS,265000,265000
54,3183.0469593279468,270000,Walker2d-v3,SACSYS,270000,270000
55,3190.3859778040114,275000,Walker2d-v3,SACSYS,275000,275000
56,3152.999651239058,280000,Walker2d-v3,SACSYS,280000,280000
57,3385.169213262041,285000,Walker2d-v3,SACSYS,285000,285000
58,3144.1730328740027,290000,Walker2d-v3,SACSYS,290000,290000
59,3174.707754301103,295000,Walker2d-v3,SACSYS,295000,295000
60,3100.6446535426653,300000,Walker2d-v3,SACSYS,300000,300000
61,3385.533160512062,305000,Walker2d-v3,SACSYS,305000,305000
62,3208.0094519671975,310000,Walker2d-v3,SACSYS,310000,310000
63,1960.0108907113174,315000,Walker2d-v3,SACSYS,315000,315000
64,3507.4525492034795,320000,Walker2d-v3,SACSYS,320000,320000
65,3145.460351265289,325000,Walker2d-v3,SACSYS,325000,325000
66,2781.998731966464,330000,Walker2d-v3,SACSYS,330000,330000
67,3022.6041531691917,335000,Walker2d-v3,SACSYS,335000,335000
68,2225.1839442203104,340000,Walker2d-v3,SACSYS,340000,340000
69,1736.8465565094893,345000,Walker2d-v3,SACSYS,345000,345000
70,2938.3393798580687,350000,Walker2d-v3,SACSYS,350000,350000
71,2279.852418559637,355000,Walker2d-v3,SACSYS,355000,355000
72,1058.1908882890552,360000,Walker2d-v3,SACSYS,360000,360000
73,3308.689289786182,365000,Walker2d-v3,SACSYS,365000,365000
74,3431.8860918577875,370000,Walker2d-v3,SACSYS,370000,370000
75,3127.151645380405,375000,Walker2d-v3,SACSYS,375000,375000
76,379.27428839225774,380000,Walker2d-v3,SACSYS,380000,380000
77,3357.747458014289,385000,Walker2d-v3,SACSYS,385000,385000
78,595.8673091285477,390000,Walker2d-v3,SACSYS,390000,390000
79,3402.0607389218685,395000,Walker2d-v3,SACSYS,395000,395000
80,3435.5949773697803,400000,Walker2d-v3,SACSYS,400000,400000
81,3459.7273490775856,405000,Walker2d-v3,SACSYS,405000,405000
82,2730.0544912757105,410000,Walker2d-v3,SACSYS,410000,410000
83,3248.653691003888,415000,Walker2d-v3,SACSYS,415000,415000
84,3255.0405512209254,420000,Walker2d-v3,SACSYS,420000,420000
85,2972.425622640989,425000,Walker2d-v3,SACSYS,425000,425000
86,3257.456418654455,430000,Walker2d-v3,SACSYS,430000,430000
87,3585.8110354147225,435000,Walker2d-v3,SACSYS,435000,435000
88,2982.2910548532727,440000,Walker2d-v3,SACSYS,440000,440000
89,3718.637959507201,445000,Walker2d-v3,SACSYS,445000,445000
90,3645.563327461369,450000,Walker2d-v3,SACSYS,450000,450000
91,3671.861163524222,455000,Walker2d-v3,SACSYS,455000,455000
92,3445.4240816777465,460000,Walker2d-v3,SACSYS,460000,460000
93,3585.7157366539727,465000,Walker2d-v3,SACSYS,465000,465000
94,3488.446996277477,470000,Walker2d-v3,SACSYS,470000,470000
95,2319.21589119893,475000,Walker2d-v3,SACSYS,475000,475000
96,3528.3772133653138,480000,Walker2d-v3,SACSYS,480000,480000
97,3620.5186584052803,485000,Walker2d-v3,SACSYS,485000,485000
98,3647.1942944581456,490000,Walker2d-v3,SACSYS,490000,490000
99,3561.744850517813,495000,Walker2d-v3,SACSYS,495000,495000
100,3565.5929764990087,500000,Walker2d-v3,SACSYS,500000,500000
