index,Average Return,Timesteps,env,algorithm_name
0,7.882844302586795,0,Walker2d-v3,TD3
1,7.882844302586795,5000,Walker2d-v3,TD3
2,7.882844302586795,10000,Walker2d-v3,TD3
3,298.0730872174876,15000,Walker2d-v3,TD3
4,210.24086142769,20000,Walker2d-v3,TD3
5,400.9136616692867,25000,Walker2d-v3,TD3
6,323.22281300700274,30000,Walker2d-v3,TD3
7,377.7779339415618,35000,Walker2d-v3,TD3
8,343.63424871248804,40000,Walker2d-v3,TD3
9,467.9730433328805,45000,Walker2d-v3,TD3
10,403.0755224362452,50000,Walker2d-v3,TD3
11,315.1810569898461,55000,Walker2d-v3,TD3
12,354.2948153468832,60000,Walker2d-v3,TD3
13,446.27189574224894,65000,Walker2d-v3,TD3
14,386.9419899365521,70000,Walker2d-v3,TD3
15,405.47012807097065,75000,Walker2d-v3,TD3
16,411.9175609539028,80000,Walker2d-v3,TD3
17,296.8052781378796,85000,Walker2d-v3,TD3
18,403.9775408962072,90000,Walker2d-v3,TD3
19,521.9130874691737,95000,Walker2d-v3,TD3
20,498.46391667902327,100000,Walker2d-v3,TD3
21,515.7904183813641,105000,Walker2d-v3,TD3
22,584.3831131000877,110000,Walker2d-v3,TD3
23,526.6183876035636,115000,Walker2d-v3,TD3
24,345.75272797705134,120000,Walker2d-v3,TD3
25,452.7452455548333,125000,Walker2d-v3,TD3
26,605.1821669949996,130000,Walker2d-v3,TD3
27,573.9640643343494,135000,Walker2d-v3,TD3
28,601.7262020238568,140000,Walker2d-v3,TD3
29,545.4278795051823,145000,Walker2d-v3,TD3
30,621.1511514306536,150000,Walker2d-v3,TD3
31,693.8240387031353,155000,Walker2d-v3,TD3
32,594.5937385508344,160000,Walker2d-v3,TD3
33,886.5816753703612,165000,Walker2d-v3,TD3
34,949.375551215416,170000,Walker2d-v3,TD3
35,511.5140550534526,175000,Walker2d-v3,TD3
36,649.2118937577351,180000,Walker2d-v3,TD3
37,632.6847268878222,185000,Walker2d-v3,TD3
38,402.2519870677047,190000,Walker2d-v3,TD3
39,453.0503048344984,195000,Walker2d-v3,TD3
40,771.4339250653786,200000,Walker2d-v3,TD3
41,644.9764876750385,205000,Walker2d-v3,TD3
42,546.7210555698564,210000,Walker2d-v3,TD3
43,406.2782167923357,215000,Walker2d-v3,TD3
44,475.34400739485255,220000,Walker2d-v3,TD3
45,439.2944309538925,225000,Walker2d-v3,TD3
46,417.5826530513633,230000,Walker2d-v3,TD3
47,658.8797236964213,235000,Walker2d-v3,TD3
48,656.2190416404974,240000,Walker2d-v3,TD3
49,890.3496206511878,245000,Walker2d-v3,TD3
50,832.3395561163479,250000,Walker2d-v3,TD3
51,765.6784622928234,255000,Walker2d-v3,TD3
52,734.1491825816546,260000,Walker2d-v3,TD3
53,961.5728373794252,265000,Walker2d-v3,TD3
54,812.2076854932525,270000,Walker2d-v3,TD3
55,1485.499471802356,275000,Walker2d-v3,TD3
56,1168.09119487842,280000,Walker2d-v3,TD3
57,1540.577674888415,285000,Walker2d-v3,TD3
58,1365.6418130137529,290000,Walker2d-v3,TD3
59,875.6897473834426,295000,Walker2d-v3,TD3
60,1827.9273225243537,300000,Walker2d-v3,TD3
61,1552.3317905840518,305000,Walker2d-v3,TD3
62,1626.7108359677247,310000,Walker2d-v3,TD3
63,1838.9201748396576,315000,Walker2d-v3,TD3
64,1397.2170357679504,320000,Walker2d-v3,TD3
65,2354.616956399048,325000,Walker2d-v3,TD3
66,1907.28374384626,330000,Walker2d-v3,TD3
67,1009.9919147389356,335000,Walker2d-v3,TD3
68,1601.7491772493486,340000,Walker2d-v3,TD3
69,2680.3491394388275,345000,Walker2d-v3,TD3
70,1906.0020927942537,350000,Walker2d-v3,TD3
71,1531.2154141251815,355000,Walker2d-v3,TD3
72,1916.1965474651668,360000,Walker2d-v3,TD3
73,1420.293189680327,365000,Walker2d-v3,TD3
74,1110.8619273352672,370000,Walker2d-v3,TD3
75,1081.182107693377,375000,Walker2d-v3,TD3
76,1040.1220426148443,380000,Walker2d-v3,TD3
77,1532.7946204746795,385000,Walker2d-v3,TD3
78,1763.9350309552187,390000,Walker2d-v3,TD3
79,1330.5864804905934,395000,Walker2d-v3,TD3
80,1795.415259501035,400000,Walker2d-v3,TD3
81,930.706843547336,405000,Walker2d-v3,TD3
82,2247.8411437156456,410000,Walker2d-v3,TD3
83,1984.6516932000368,415000,Walker2d-v3,TD3
84,2195.044472495464,420000,Walker2d-v3,TD3
85,2534.8492582435365,425000,Walker2d-v3,TD3
86,1580.993087881437,430000,Walker2d-v3,TD3
87,3157.874649370158,435000,Walker2d-v3,TD3
88,1938.05570032693,440000,Walker2d-v3,TD3
89,2896.6193293939705,445000,Walker2d-v3,TD3
90,3042.807165007868,450000,Walker2d-v3,TD3
91,2803.9506247710588,455000,Walker2d-v3,TD3
92,2442.767666198338,460000,Walker2d-v3,TD3
93,2676.046545651084,465000,Walker2d-v3,TD3
94,3770.545817839512,470000,Walker2d-v3,TD3
95,3465.070181962984,475000,Walker2d-v3,TD3
96,3061.019331085828,480000,Walker2d-v3,TD3
97,3343.3547437002803,485000,Walker2d-v3,TD3
98,3350.53363723952,490000,Walker2d-v3,TD3
99,3571.0223175126166,495000,Walker2d-v3,TD3
100,3038.714028363487,500000,Walker2d-v3,TD3
101,3585.1084444789294,505000,Walker2d-v3,TD3
102,3699.200572784253,510000,Walker2d-v3,TD3
103,3480.284135485599,515000,Walker2d-v3,TD3
104,3912.313171856026,520000,Walker2d-v3,TD3
105,3237.6119548982447,525000,Walker2d-v3,TD3
106,4093.9857348083992,530000,Walker2d-v3,TD3
107,3242.8877771868683,535000,Walker2d-v3,TD3
108,4077.805009148828,540000,Walker2d-v3,TD3
109,4018.105089156908,545000,Walker2d-v3,TD3
110,4125.475800485976,550000,Walker2d-v3,TD3
111,3764.1997484650833,555000,Walker2d-v3,TD3
112,3809.993724092557,560000,Walker2d-v3,TD3
113,3425.691117055352,565000,Walker2d-v3,TD3
114,3873.850838068842,570000,Walker2d-v3,TD3
115,3927.5631080439607,575000,Walker2d-v3,TD3
116,2858.43483271634,580000,Walker2d-v3,TD3
117,3674.949005874512,585000,Walker2d-v3,TD3
118,3392.611498441107,590000,Walker2d-v3,TD3
119,3446.078488581306,595000,Walker2d-v3,TD3
120,3392.080736940678,600000,Walker2d-v3,TD3
121,2016.6023115180265,605000,Walker2d-v3,TD3
122,3931.9944002159673,610000,Walker2d-v3,TD3
123,3786.6264973328457,615000,Walker2d-v3,TD3
124,3240.4327098551357,620000,Walker2d-v3,TD3
125,3701.479706638685,625000,Walker2d-v3,TD3
126,3742.175728541252,630000,Walker2d-v3,TD3
127,2744.607014690591,635000,Walker2d-v3,TD3
128,4367.445207395514,640000,Walker2d-v3,TD3
129,3811.222893596728,645000,Walker2d-v3,TD3
130,3659.541136458173,650000,Walker2d-v3,TD3
131,4113.699150826423,655000,Walker2d-v3,TD3
132,918.8362403417304,660000,Walker2d-v3,TD3
133,3751.441589198587,665000,Walker2d-v3,TD3
134,3238.874275915129,670000,Walker2d-v3,TD3
135,3861.102885732065,675000,Walker2d-v3,TD3
136,3911.310363523826,680000,Walker2d-v3,TD3
137,2506.98275962664,685000,Walker2d-v3,TD3
138,2885.4477862583385,690000,Walker2d-v3,TD3
139,3782.452272596545,695000,Walker2d-v3,TD3
140,2599.301505759116,700000,Walker2d-v3,TD3
141,1345.3717029359573,705000,Walker2d-v3,TD3
142,3504.282536001596,710000,Walker2d-v3,TD3
143,4270.2881379543305,715000,Walker2d-v3,TD3
144,4432.045663356716,720000,Walker2d-v3,TD3
145,4196.824519550823,725000,Walker2d-v3,TD3
146,4359.858978334958,730000,Walker2d-v3,TD3
147,4574.016926809538,735000,Walker2d-v3,TD3
148,4405.720713202082,740000,Walker2d-v3,TD3
149,4334.215065668651,745000,Walker2d-v3,TD3
150,3989.031456804467,750000,Walker2d-v3,TD3
151,4304.637966428495,755000,Walker2d-v3,TD3
152,3903.79599079086,760000,Walker2d-v3,TD3
