index,Average Returns,Timesteps,env,algorithm_name,Actor Training Times,Actor Training Steps
0,43.79673529014875,0,Walker2d-v3,TD3,0,0
1,43.79673529014875,10000,Walker2d-v3,TD3,5000,5000
2,185.87379970996426,20000,Walker2d-v3,TD3,10000,10000
3,240.76461403244542,30000,Walker2d-v3,TD3,15000,15000
4,267.65973847074366,40000,Walker2d-v3,TD3,20000,20000
5,439.2098634348303,50000,Walker2d-v3,TD3,25000,25000
6,493.212248438047,60000,Walker2d-v3,TD3,30000,30000
7,416.3558258004931,70000,Walker2d-v3,TD3,35000,35000
8,631.6976222474708,80000,Walker2d-v3,TD3,40000,40000
9,596.1137347942044,90000,Walker2d-v3,TD3,45000,45000
10,653.4672830671905,100000,Walker2d-v3,TD3,50000,50000
11,786.6104812337513,110000,Walker2d-v3,TD3,55000,55000
12,386.7688972250272,120000,Walker2d-v3,TD3,60000,60000
13,573.0804243102281,130000,Walker2d-v3,TD3,65000,65000
14,643.6941033768578,140000,Walker2d-v3,TD3,70000,70000
15,769.2829697092445,150000,Walker2d-v3,TD3,75000,75000
16,731.4311832646824,160000,Walker2d-v3,TD3,80000,80000
17,886.6287187105178,170000,Walker2d-v3,TD3,85000,85000
18,1886.5008478727725,180000,Walker2d-v3,TD3,90000,90000
19,1138.2073355211885,190000,Walker2d-v3,TD3,95000,95000
20,1493.1687964323694,200000,Walker2d-v3,TD3,100000,100000
21,1857.8321778264205,210000,Walker2d-v3,TD3,105000,105000
22,1338.7749452492446,220000,Walker2d-v3,TD3,110000,110000
23,1446.6614471379473,230000,Walker2d-v3,TD3,115000,115000
24,1794.0175315568954,240000,Walker2d-v3,TD3,120000,120000
25,969.8268608907124,250000,Walker2d-v3,TD3,125000,125000
26,2926.58538230886,260000,Walker2d-v3,TD3,130000,130000
27,1043.8754875431832,270000,Walker2d-v3,TD3,135000,135000
28,3404.501929910182,280000,Walker2d-v3,TD3,140000,140000
29,3406.230700962121,290000,Walker2d-v3,TD3,145000,145000
30,2707.965873892081,300000,Walker2d-v3,TD3,150000,150000
31,3415.365927810183,310000,Walker2d-v3,TD3,155000,155000
32,1263.513115665677,320000,Walker2d-v3,TD3,160000,160000
33,1400.9392369526481,330000,Walker2d-v3,TD3,165000,165000
34,1051.9976555646183,340000,Walker2d-v3,TD3,170000,170000
